,Player,League,Squad,Pos,Player Type,"Minutes
Played (%)",Goals,Assists,onxG,onxGA
812,Fábio,French Ligue-1,Nantes,DF,4,48.7,0,2,1.11,1.0
813,Wout Faes,French Ligue-1,Reims,DF,5,97.4,4,0,1.01,0.99
814,Romain Faivre,French Ligue-1,Lyon,FW,2,26.1,3,0,1.03,0.73
815,Romain Faivre,French Ligue-1,Brest,MF,2,52.4,7,5,1.05,0.91
816,Jordan Ferri,French Ligue-1,Montpellier,MF,3,85.0,0,2,0.99,0.96
817,Alexis Flips,French Ligue-1,Reims,MF,4,30.8,2,4,1.21,0.76
818,Seko Fofana,French Ligue-1,Lens,MF,2,98.2,8,1,1.01,1.0
819,Youssouf Fofana,French Ligue-1,Monaco,MF,3,63.9,0,4,1.04,1.16
820,Thomas Foket,French Ligue-1,Reims,DF,4,65.3,1,0,0.97,1.04
821,José Fonte,French Ligue-1,Lille,DF,5,100.0,0,2,1.0,1.0
822,Przemysław Frankowski,French Ligue-1,Lens,DF,4,71.6,6,5,1.01,1.06
823,Fransérgio,French Ligue-1,Bordeaux,MF,3,36.8,0,1,0.97,1.21
824,Angelo Fulgini,French Ligue-1,Angers,MF,2,85.5,5,4,1.0,1.0
825,Kévin Gameiro,French Ligue-1,Strasbourg,FW,1,69.7,11,3,0.96,0.97
826,Idrissa Gana Gueye,French Ligue-1,Paris S-G,MF,3,47.9,3,1,0.94,1.11
827,Ignatius Ganago,French Ligue-1,Lens,FW,1,30.0,5,1,1.02,1.07
828,Johan Gastien,French Ligue-1,Clermont Foot,MF,3,80.3,0,1,1.13,0.95
829,Valère Germain,French Ligue-1,Montpellier,FW,1,57.6,4,3,0.99,0.97
830,Gerson,French Ligue-1,Marseille,MF,2,74.5,9,4,0.98,0.92
831,Jimmy Giraudon,French Ligue-1,Troyes,DF,5,47.4,0,0,0.93,1.01
832,Andrei Girotto,French Ligue-1,Nantes,DF,5,92.1,6,1,0.99,0.96
833,Aleksandr Golovin,French Ligue-1,Monaco,FW,2,43.9,3,4,1.05,0.87
834,Angel Gomes,French Ligue-1,Lille,MF,2,27.9,1,1,0.98,1.01
835,Amine Gouiri,French Ligue-1,Nice,FW,2,80.5,10,9,1.02,0.95
836,Lucas Gourna-Douath,French Ligue-1,Saint-Étienne,MF,3,52.6,1,0,0.99,0.96
837,Jonathan Gradit,French Ligue-1,Lens,DF,3,89.7,0,0,0.99,1.01
838,Andrew Gravillon,French Ligue-1,Reims,DF,5,62.4,0,0,0.93,0.92
839,Gabriel Gudmundsson,French Ligue-1,Lille,DF,4,39.2,1,0,0.94,1.19
840,Mattéo Guendouzi,French Ligue-1,Marseille,MF,2,92.1,4,6,1.02,1.01
841,Pape Gueye,French Ligue-1,Marseille,MF,3,44.7,0,1,1.01,1.04
842,Josuha Guilavogui,French Ligue-1,Bordeaux,MF,3,38.9,1,1,1.08,0.89
843,Frederic Guilbert,French Ligue-1,Strasbourg,DF,4,73.7,0,4,1.0,0.93
844,Bruno Guimarães,French Ligue-1,Lyon,MF,3,47.9,0,3,0.92,1.04
845,Sehrou Guirassy,French Ligue-1,Rennes,FW,1,29.7,9,0,1.18,1.04
846,Malo Gusto,French Ligue-1,Lyon,DF,4,55.0,0,4,1.06,0.96
847,Massadio Haïdara,French Ligue-1,Lens,DF,4,31.6,1,1,0.83,1.01
848,Oualid El Hajjam,French Ligue-1,Troyes,DF,4,31.3,1,1,1.02,1.01
849,Achraf Hakimi,French Ligue-1,Paris S-G,DF,4,72.4,4,6,1.01,0.95
850,Romain Hamouma,French Ligue-1,Saint-Étienne,FW,2,25.8,2,1,1.38,1.0
851,Amine Harit,French Ligue-1,Marseille,FW,2,33.9,4,4,1.02,0.94
852,Henrique,French Ligue-1,Lyon,DF,4,32.4,0,1,1.03,0.92
853,Luis Henrique,French Ligue-1,Marseille,FW,2,20.5,0,1,0.73,1.08
854,Christophe Hérelle,French Ligue-1,Brest,DF,5,56.6,0,0,0.96,1.08
855,Ander Herrera,French Ligue-1,Paris S-G,MF,3,31.8,3,2,0.84,0.87
856,Franck Honorat,French Ligue-1,Brest,FW,2,84.7,11,4,0.96,0.9
857,Cédric Hountondji,French Ligue-1,Clermont Foot,DF,5,59.5,1,0,0.91,1.01
858,Mauro Icardi,French Ligue-1,Paris S-G,FW,1,30.0,4,0,0.92,1.01
859,Danylo Ihnatenko,French Ligue-1,Bordeaux,MF,3,20.3,0,3,1.52,0.73
860,Jonathan Ikone,French Ligue-1,Lille,MF,2,31.1,1,0,1.07,0.96
861,Bonke Innocent,French Ligue-1,Lorient,MF,3,25.5,0,0,0.87,0.96
862,Ismail Jakobs,French Ligue-1,Monaco,DF,4,35.3,0,1,1.0,0.96
863,Jemerson,French Ligue-1,Metz,DF,5,35.3,0,0,0.97,0.93
864,Moritz Jenz,French Ligue-1,Lorient,DF,5,40.3,1,0,1.09,1.0
865,Issa Kaboré,French Ligue-1,Troyes,DF,4,65.8,0,1,1.1,0.9
866,Gaël Kakuta,French Ligue-1,Lens,MF,2,48.9,3,2,0.94,0.89
867,Arnaud Kalimuendo,French Ligue-1,Lens,FW,1,62.9,12,0,0.94,0.99
868,Boubacar Kamara,French Ligue-1,Marseille,MF,3,81.3,1,0,0.98,0.94
869,Ilan Kebbal,French Ligue-1,Reims,MF,2,51.8,1,4,1.0,0.9
870,Thilo Kehrer,French Ligue-1,Paris S-G,DF,5,44.2,2,0,0.95,1.01
871,Saîf-Eddine Khaoui,French Ligue-1,Clermont Foot,MF,2,27.1,1,0,0.94,1.13
872,Wahbi Khazri,French Ligue-1,Saint-Étienne,FW,2,65.0,10,0,1.06,0.91
873,Presnel Kimpembe,French Ligue-1,Paris S-G,DF,5,75.3,1,0,1.02,1.07
874,Justin Kluivert,French Ligue-1,Nice,MF,2,54.7,4,5,0.83,0.92
875,Randal Kolo Muani,French Ligue-1,Nantes,FW,1,86.3,12,4,1.01,0.96
876,Timothée Kolodziejczak,French Ligue-1,Saint-Étienne,DF,4,75.0,2,3,0.95,0.94
877,Ghislain Konan,French Ligue-1,Reims,DF,4,70.8,1,3,0.94,0.9
878,Ibrahima Koné,French Ligue-1,Lorient,FW,1,21.3,5,1,1.3,1.02
879,Youssouf Koné,French Ligue-1,Troyes,DF,4,28.7,0,1,0.93,1.01
880,Laurent Koscielny,French Ligue-1,Bordeaux,DF,5,27.4,0,1,0.75,1.01
881,Rominigue Kouamé,French Ligue-1,Troyes,MF,3,86.8,1,2,1.01,0.97
882,Boubakar Kouyaté,French Ligue-1,Metz,DF,5,77.9,1,0,1.01,0.98
883,Enock Kwateng,French Ligue-1,Bordeaux,DF,4,58.4,1,0,1.04,1.02
884,Gaëtan Laborde,French Ligue-1,Rennes,FW,1,79.7,12,8,0.99,0.94
885,Tom Lacoux,French Ligue-1,Bordeaux,DF,4,26.6,0,0,0.78,0.96
886,Mohamed Lamine Bayo,French Ligue-1,Clermont Foot,FW,1,70.5,14,5,1.06,0.94
887,Julien Laporte,French Ligue-1,Lorient,DF,5,84.5,2,0,0.99,0.96
888,Paul Lasne,French Ligue-1,Brest,MF,3,24.7,0,1,0.96,1.31
889,Armand Lauriente,French Ligue-1,Lorient,FW,2,72.4,6,2,1.03,0.94
890,Jérémy Le Douaron,French Ligue-1,Brest,FW,1,42.4,5,3,0.97,1.0
891,Enzo Le Fée,French Ligue-1,Lorient,MF,3,64.2,2,3,0.93,1.04
892,Vincent Le Goff,French Ligue-1,Lorient,DF,4,89.5,1,1,1.03,1.02
893,Maxime Le Marchand,French Ligue-1,Strasbourg,DF,5,25.3,1,1,1.0,1.02
894,Mario Lemina,French Ligue-1,Nice,MF,3,57.6,2,0,1.02,1.22
895,Fabien Lemoine,French Ligue-1,Lorient,MF,3,32.6,0,1,0.99,1.04
896,Dimitri Liénard,French Ligue-1,Strasbourg,DF,4,59.7,2,3,1.0,1.04
897,Pol Lirola,French Ligue-1,Marseille,DF,4,51.8,1,2,0.99,1.03
898,Banzouzi Locko,French Ligue-1,Reims,MF,4,29.5,1,1,1.14,1.27
899,Dion Lopy,French Ligue-1,Reims,MF,3,47.9,0,0,0.95,1.24
900,Jordan Lotomba,French Ligue-1,Nice,DF,4,52.1,0,0,0.98,1.06
901,Jean Lucas,French Ligue-1,Monaco,MF,2,42.4,1,1,0.9,0.9
902,Castello Lukeba,French Ligue-1,Lyon,DF,5,61.3,2,0,1.06,0.91
903,Yvann Macon,French Ligue-1,Saint-Étienne,DF,4,44.7,0,0,0.94,0.88
904,Hugo Magnetti,French Ligue-1,Brest,MF,3,42.9,0,1,1.06,0.9
905,Yohann Magnin,French Ligue-1,Clermont Foot,MF,3,50.3,1,0,1.07,1.08
906,Habib Maïga,French Ligue-1,Metz,MF,3,37.1,2,0,1.02,0.91
907,Lovro Majer,French Ligue-1,Rennes,MF,2,53.7,6,8,1.12,0.87
908,Hianga Mananga Mbock,French Ligue-1,Brest,MF,3,23.4,0,0,1.09,0.75
909,Vincent Manceau,French Ligue-1,Angers,DF,5,68.9,0,0,1.04,0.92
910,Reinildo Mandava,French Ligue-1,Lille,DF,4,44.5,1,0,0.98,0.97
911,Eliaquim Mangala,French Ligue-1,Saint-Étienne,DF,5,34.5,1,0,1.08,1.08
912,Thomas Mangani,French Ligue-1,Angers,MF,3,64.2,7,2,1.07,0.96
913,Ricardo Mangas,French Ligue-1,Bordeaux,DF,4,68.7,3,1,1.08,0.99
914,Sekou Mara,French Ligue-1,Bordeaux,FW,1,26.6,6,0,1.29,0.98
915,Marcelo,French Ligue-1,Bordeaux,DF,5,26.3,0,0,0.95,0.82
916,Guillermo Maripán,French Ligue-1,Monaco,DF,5,53.7,0,0,1.01,0.88
917,Marquinhos,French Ligue-1,Paris S-G,DF,5,83.7,5,0,0.98,1.01
918,Jonas Martin,French Ligue-1,Rennes,MF,3,61.6,1,1,1.0,0.98
919,Gelson Martins,French Ligue-1,Monaco,MF,2,55.8,4,3,0.94,0.91
920,Pape Matar Sarr,French Ligue-1,Metz,MF,3,62.4,1,3,1.02,1.05
921,Eliot Matazo,French Ligue-1,Monaco,MF,3,23.2,0,0,0.91,0.91
922,Azor Matusiwa,French Ligue-1,Reims,MF,3,72.1,1,1,1.02,0.97
923,Stephy Mavididi,French Ligue-1,Montpellier,FW,2,67.1,8,3,0.92,0.96
924,Kylian Mbappé,French Ligue-1,Paris S-G,FW,2,88.4,28,17,1.03,0.95
925,Nathanael Mbuku,French Ligue-1,Reims,FW,2,41.6,2,1,0.87,0.92
926,Facundo Medina,French Ligue-1,Lens,DF,5,75.8,1,0,0.99,0.94
927,Birger Meling,French Ligue-1,Rennes,DF,4,53.4,0,4,1.04,0.91
928,Houboulang Mendes,French Ligue-1,Lorient,DF,4,94.2,0,1,0.96,1.01
929,Nuno Mendes,French Ligue-1,Paris S-G,DF,4,48.4,0,1,0.96,1.04
930,Thiago Mendes,French Ligue-1,Lyon,MF,3,54.5,1,1,0.97,0.93
931,Arial Mendy,French Ligue-1,Clermont Foot,DF,4,23.2,0,0,0.94,1.34
932,Batista Mendy,French Ligue-1,Angers,MF,3,70.5,1,1,0.94,1.03
933,Gideon Mensah,French Ligue-1,Bordeaux,DF,4,35.3,0,2,0.88,1.01
934,Quentin Merlin,French Ligue-1,Nantes,DF,4,56.3,2,3,1.0,1.08
935,Lionel Messi,French Ligue-1,Paris S-G,FW,2,62.9,6,14,1.04,1.04
936,Mexer,French Ligue-1,Bordeaux,DF,5,35.8,1,0,1.01,1.2
937,Arkadiusz Milik,French Ligue-1,Marseille,FW,1,41.3,7,2,0.89,1.18
938,Terem Moffi,French Ligue-1,Lorient,FW,1,79.2,8,4,0.95,1.03
939,Florent Mollet,French Ligue-1,Montpellier,FW,2,76.8,6,2,0.89,0.98
940,Thomas Monconduit,French Ligue-1,Lorient,MF,3,65.8,3,2,1.07,0.92
941,Harold Moukoudi,French Ligue-1,Saint-Étienne,DF,5,48.7,0,0,1.06,1.08
942,Steve Mounié,French Ligue-1,Brest,FW,1,67.6,9,2,1.03,1.03
943,Samuel Moutoussamy,French Ligue-1,Nantes,MF,3,44.2,0,1,0.8,1.14
944,Marshall Munetsi,French Ligue-1,Reims,MF,3,55.0,5,1,1.05,1.01
945,Kévin N'Doram,French Ligue-1,Metz,MF,3,36.1,0,0,1.02,1.0
946,Vital N'Simba,French Ligue-1,Clermont Foot,DF,4,81.6,1,3,0.97,0.9
947,Mickael Nade,French Ligue-1,Saint-Étienne,DF,5,75.0,1,0,0.93,1.03
948,Papa Ndiaga Yade,French Ligue-1,Metz,DF,4,20.3,0,1,0.87,1.28
949,Tanguy Ndombele,French Ligue-1,Lyon,MF,3,20.5,0,2,0.89,0.72
950,Neymar,French Ligue-1,Paris S-G,FW,2,54.2,13,6,1.02,1.01
951,Yvan Neyou,French Ligue-1,Saint-Étienne,MF,3,27.4,0,0,0.85,1.08
952,Opa Nguette,French Ligue-1,Metz,FW,1,30.5,2,2,1.02,0.88
953,Ibrahima Niane,French Ligue-1,Metz,FW,1,46.3,3,1,0.96,0.83
954,M'Baye Niang,French Ligue-1,Bordeaux,FW,1,22.6,3,1,1.08,0.8
955,Arnaud Nordin,French Ligue-1,Saint-Étienne,FW,2,54.7,4,4,1.01,0.99
956,Gerzino Nyamsi,French Ligue-1,Strasbourg,DF,5,87.4,0,2,1.03,0.97
957,Florent Ogier,French Ligue-1,Clermont Foot,DF,5,71.1,1,0,1.05,0.95
958,Warmed Omari,French Ligue-1,Rennes,DF,5,81.8,0,0,1.01,0.98
959,Amadou Onana,French Ligue-1,Lille,MF,3,39.7,1,0,1.02,1.04
960,Jean Onana,French Ligue-1,Bordeaux,MF,3,53.7,3,2,0.95,0.95
961,Otávio,French Ligue-1,Bordeaux,MF,3,33.4,0,0,0.85,0.98
962,Dango Ouattara,French Ligue-1,Lorient,MF,2,23.7,1,2,1.21,0.88
963,Remi Oudin,French Ligue-1,Bordeaux,MF,4,50.8,4,5,0.9,1.16
964,Azzedine Ounahi,French Ligue-1,Angers,MF,3,47.6,2,1,0.86,1.22
965,Vincent Pajot,French Ligue-1,Metz,MF,3,67.6,1,0,0.93,1.01
966,Nicolas Pallois,French Ligue-1,Nantes,DF,5,71.6,1,0,1.02,0.95
967,Erik Palmer-Brown,French Ligue-1,Troyes,DF,5,50.8,0,0,1.02,0.99
968,Emerson Palmieri,French Ligue-1,Lyon,DF,4,66.3,1,2,0.96,1.05
969,Lucas Paquetá,French Ligue-1,Lyon,MF,2,78.9,9,6,1.01,0.99
970,Leandro Paredes,French Ligue-1,Paris S-G,MF,3,24.5,1,2,0.88,0.9
971,Dimitri Payet,French Ligue-1,Marseille,FW,2,75.8,12,10,1.03,0.98
972,Timothee Pembele,French Ligue-1,Bordeaux,DF,4,41.3,1,1,0.81,0.98
973,Danilo Pereira,French Ligue-1,Paris S-G,MF,5,59.5,5,0,1.04,1.05
974,Mathias Pereira Lage,French Ligue-1,Angers,DF,4,30.5,4,2,1.05,1.01
975,Luan Peres Petroni,French Ligue-1,Marseille,DF,4,78.4,0,2,1.01,1.02
976,Lucas Perrin,French Ligue-1,Strasbourg,DF,5,73.2,1,1,0.97,1.02
977,Léo Pétrot,French Ligue-1,Lorient,DF,5,53.2,1,0,1.02,0.97
978,Ronaël Pierre-Gabriel,French Ligue-1,Brest,DF,4,74.5,0,1,1.06,1.01
979,Sanjin Prcić,French Ligue-1,Strasbourg,MF,3,63.9,1,0,0.99,0.93
980,Nicolas de Préville,French Ligue-1,Metz,FW,1,57.6,5,2,1.02,0.92
981,Adil Rami,French Ligue-1,Troyes,DF,5,34.2,3,0,0.82,1.13
982,Sergio Ramos,French Ligue-1,Paris S-G,DF,5,23.4,2,0,1.45,0.81
983,Elba Rashani,French Ligue-1,Clermont Foot,FW,2,51.3,8,3,0.88,0.99
984,Renaud Ripart,French Ligue-1,Troyes,MF,2,55.3,2,2,0.99,1.06
985,Mihailo Ristić,French Ligue-1,Montpellier,DF,4,52.6,1,3,1.05,0.96
986,Stian Rode Gregersen,French Ligue-1,Bordeaux,DF,5,57.1,1,1,1.01,0.99
987,Gerson Rodrigues,French Ligue-1,Troyes,FW,1,24.7,1,1,0.87,1.26
988,Valentin Rongier,French Ligue-1,Marseille,MF,3,64.2,0,1,0.98,0.99
989,Pablo Rosario,French Ligue-1,Nice,MF,3,79.7,0,2,0.98,0.96
990,Mamadou Sakho,French Ligue-1,Montpellier,DF,5,75.3,0,0,1.06,0.93
991,William Saliba,French Ligue-1,Marseille,DF,5,94.7,0,0,1.0,1.01
992,Yoann Salmier,French Ligue-1,Troyes,DF,5,77.9,0,1,0.94,1.01
993,Mama Samba Baldé,French Ligue-1,Troyes,MF,2,50.3,3,2,1.02,1.04
994,Junior Sambia,French Ligue-1,Montpellier,DF,4,44.7,1,0,0.89,0.86
995,Renato Sanches,French Ligue-1,Lille,MF,3,48.2,2,5,0.96,0.96
996,Baptiste Santamaria,French Ligue-1,Rennes,MF,3,73.7,2,1,1.0,1.05
997,Martin Satriano,French Ligue-1,Brest,FW,1,27.4,4,0,0.95,1.07
998,Téji Savanier,French Ligue-1,Montpellier,MF,2,70.5,8,7,1.05,0.89
999,Alidu Seidu,French Ligue-1,Clermont Foot,DF,5,41.3,0,0,1.02,1.07
1000,Djibril Sidibé,French Ligue-1,Monaco,DF,4,27.6,0,0,0.98,0.92
1001,Caio Henrique Oliveira Silva,French Ligue-1,Monaco,DF,4,77.9,2,8,1.04,1.02
1002,Gabriel Silva,French Ligue-1,Saint-Étienne,DF,4,20.8,0,0,1.05,0.88
1003,Moses Simon,French Ligue-1,Nantes,FW,2,68.2,6,8,0.97,0.92
1004,Ibrahima Sissoko,French Ligue-1,Strasbourg,MF,3,67.4,2,5,1.04,0.96
1005,Florian Sotoca,French Ligue-1,Lens,FW,2,72.6,6,4,0.98,1.0
1006,Arnaud Souquet,French Ligue-1,Montpellier,DF,4,68.2,1,3,1.07,1.01
1007,Saidou Sow,French Ligue-1,Saint-Étienne,DF,5,28.9,2,1,0.99,0.95
1008,Calvin Stengs,French Ligue-1,Nice,MF,2,31.3,1,1,1.08,1.07
1009,Kamaldeen Sulemana,French Ligue-1,Rennes,MF,2,29.7,4,2,0.89,0.87
1010,Flavien Tait,French Ligue-1,Rennes,MF,2,62.1,5,3,0.95,1.1
1011,Florian Tardieu,French Ligue-1,Troyes,MF,3,76.8,4,2,0.95,0.98
1012,Aurélien Tchouaméni,French Ligue-1,Monaco,MF,3,85.5,3,2,1.0,0.99
1013,Martin Terrier,French Ligue-1,Rennes,FW,1,81.3,21,3,1.0,0.92
1014,Sada Thioub,French Ligue-1,Saint-Étienne,DF,4,27.9,0,1,0.95,0.98
1015,Romain Thomas,French Ligue-1,Angers,DF,5,75.0,2,0,1.04,1.06
1016,Adrien Thomasson,French Ligue-1,Strasbourg,MF,2,69.7,8,4,1.06,1.02
1017,Thuler,French Ligue-1,Montpellier,DF,5,25.0,0,0,0.83,1.13
1018,Khéphren Thuram-Ulie,French Ligue-1,Nice,MF,3,55.5,4,2,1.02,0.83
1019,Jean-Clair Todibo,French Ligue-1,Nice,DF,5,91.1,1,0,1.02,1.02
1020,Karl Toko Ekambi,French Ligue-1,Lyon,FW,2,67.1,12,5,1.03,0.97
1021,Yoann Touzghar,French Ligue-1,Troyes,FW,1,42.6,4,0,0.88,0.99
1022,Boubacar Traoré,French Ligue-1,Metz,MF,3,50.5,1,1,1.04,1.04
1023,Charles Traore,French Ligue-1,Nantes,DF,4,21.1,0,0,1.03,0.8
1024,Hamari Traoré,French Ligue-1,Rennes,DF,4,84.5,3,10,0.97,1.04
1025,Ismaël Traoré,French Ligue-1,Angers,DF,5,93.9,4,1,0.99,0.99
1026,Miguel Trauco,French Ligue-1,Saint-Étienne,DF,4,32.6,1,0,0.99,1.17
1027,Adrien Truffert,French Ligue-1,Rennes,DF,4,47.9,3,2,1.0,1.14
1028,Matthieu Udol,French Ligue-1,Metz,DF,5,29.5,1,0,1.04,0.9
1029,Ike Ugbo,French Ligue-1,Troyes,FW,1,23.7,5,0,1.25,0.91
1030,Hwang Ui-jo,French Ligue-1,Bordeaux,FW,1,73.4,11,2,0.92,0.94
1031,Cengiz Ünder,French Ligue-1,Marseille,FW,2,64.2,10,2,1.06,1.07
1032,Jere Uronen,French Ligue-1,Brest,DF,4,25.8,0,0,0.87,0.81
1033,Vanderson,French Ligue-1,Monaco,FW,2,32.6,2,1,1.02,1.07
1034,Marco Verratti,French Ligue-1,Paris S-G,MF,3,56.6,2,2,1.08,1.06
1035,Kevin Volland,French Ligue-1,Monaco,MF,1,71.3,9,9,1.09,1.01
1036,Timothy Weah,French Ligue-1,Lille,MF,2,47.4,3,4,1.09,1.16
1037,Georginio Wijnaldum,French Ligue-1,Paris S-G,MF,3,48.4,1,3,0.97,1.03
1038,Christopher Wooh,French Ligue-1,Lens,DF,5,30.8,0,1,1.0,1.2
1039,Xeka,French Ligue-1,Lille,MF,3,47.4,3,0,0.99,0.91
1040,Burak Yılmaz,French Ligue-1,Lille,FW,1,64.7,4,3,1.0,0.9
1041,Zaydou Youssouf,French Ligue-1,Saint-Étienne,MF,3,45.5,1,0,0.94,1.03
1042,Akim Zedadka,French Ligue-1,Clermont Foot,DF,4,97.6,0,3,1.02,1.0
1043,Dickson Abiama,German Bundesliga,Greuther Fürth,FW,1,23.8,0,1,0.95,1.24
1044,Tyler Adams,German Bundesliga,RB Leipzig,MF,3,44.1,0,1,1.0,1.07
1045,Amine Adli,German Bundesliga,Leverkusen,FW,2,41.2,3,2,0.9,1.08
1046,Manuel Akanji,German Bundesliga,Dortmund,DF,5,73.8,1,0,1.0,1.1
1047,Kevin Akpoguma,German Bundesliga,Hoffenheim,DF,4,50.0,2,2,0.95,0.95
1048,Lucas Alario,German Bundesliga,Leverkusen,FW,1,21.5,6,0,1.24,0.86
1049,Sebastian Andersson,German Bundesliga,Köln,FW,1,41.2,3,1,0.9,0.98
1050,Andrés Andrade Cedeño,German Bundesliga,Arminia,DF,4,34.1,0,0,0.94,0.99
1051,Robert Andrich,German Bundesliga,Leverkusen,MF,3,59.4,4,2,0.92,0.97
1052,Angeliño,German Bundesliga,RB Leipzig,DF,4,75.0,2,5,0.96,1.01
1053,Waldemar Anton,German Bundesliga,Stuttgart,DF,5,84.7,2,1,1.03,0.99
1054,Christopher Antwi-Adjei,German Bundesliga,Bochum,FW,2,37.1,1,1,1.05,1.02
1055,Charles Aránguiz,German Bundesliga,Leverkusen,MF,3,51.5,1,4,1.04,0.95
1056,Maximilian Arnold,German Bundesliga,Wolfsburg,MF,3,97.9,4,2,1.0,1.01
1057,Takuma Asano,German Bundesliga,Bochum,FW,2,52.6,3,4,0.91,1.0
1058,Santiago Ascacíbar,German Bundesliga,Hertha BSC,MF,3,77.6,0,1,0.95,0.96
1059,Simon Asta,German Bundesliga,Greuther Fürth,DF,4,25.6,0,0,0.88,1.02
1060,Taiwo Awoniyi,German Bundesliga,Union Berlin,FW,1,71.2,15,1,0.97,0.96
1061,Mitchel Bakker,German Bundesliga,Leverkusen,DF,4,59.4,1,4,1.02,1.12
1062,Ridle Baku,German Bundesliga,Wolfsburg,DF,4,80.0,3,5,1.02,0.98
1063,Leandro Barreiro Martins,German Bundesliga,Mainz 05,MF,2,58.5,1,2,0.96,0.97
1064,Jacob Barrett Laursen,German Bundesliga,Arminia,DF,4,53.2,2,0,1.08,0.99
1065,Maximilian Bauer,German Bundesliga,Greuther Fürth,DF,5,55.3,0,0,0.94,1.09
1066,Timo Baumgartl,German Bundesliga,Union Berlin,DF,5,70.9,1,2,0.92,1.04
1067,Christoph Baumgartner,German Bundesliga,Hoffenheim,MF,2,61.8,7,2,0.97,0.97
1068,Ihlas Bebou,German Bundesliga,Hoffenheim,FW,1,68.2,7,2,0.99,0.99
1069,Sheraldo Becker,German Bundesliga,Union Berlin,FW,2,57.4,4,6,1.0,1.01
1070,Ishak Belfodil,German Bundesliga,Hertha BSC,FW,1,53.5,5,2,0.97,1.11
1071,Stefan Bell,German Bundesliga,Mainz 05,DF,5,93.5,2,0,1.0,1.02
1072,Armel Bella Kotchap,German Bundesliga,Bochum,DF,5,57.6,0,0,0.92,0.93
1073,Karim Bellarabi,German Bundesliga,Leverkusen,FW,2,22.4,3,2,1.25,0.95
1074,Jude Bellingham,German Bundesliga,Dortmund,MF,2,91.2,3,8,1.0,0.99
1075,Ramy Bensebaini,German Bundesliga,M'Gladbach,DF,4,65.9,4,1,0.92,1.03
1076,Louis Beyer,German Bundesliga,M'Gladbach,DF,5,45.3,0,0,1.03,0.85
1077,Kevin-Prince Boateng,German Bundesliga,Hertha BSC,MF,3,22.6,0,0,1.19,0.72
1078,Herbert Bockhorn,German Bundesliga,Bochum,DF,4,27.6,0,0,0.81,1.25
1079,Jean-Paul Boëtius,German Bundesliga,Mainz 05,MF,3,58.8,2,2,0.96,1.09
1080,Sebastiaan Bornauw,German Bundesliga,Wolfsburg,DF,5,65.6,1,0,1.03,0.95
1081,Rafael Borré,German Bundesliga,Eint Frankfurt,FW,1,77.6,8,4,1.06,0.98
1082,Dedryck Boyata,German Bundesliga,Hertha BSC,DF,5,62.1,0,0,0.98,0.89
1083,Julian Brandt,German Bundesliga,Dortmund,MF,2,67.9,9,8,1.07,0.97
1084,John Brooks,German Bundesliga,Wolfsburg,DF,5,85.6,1,1,0.99,1.01
1085,Cédric Brunner,German Bundesliga,Arminia,DF,4,71.5,0,1,1.05,0.93
1086,Jacob Bruun Larsen,German Bundesliga,Hoffenheim,FW,2,26.5,4,0,0.88,1.16
1087,Jonathan Burkardt,German Bundesliga,Mainz 05,FW,1,85.3,11,3,1.03,1.02
1088,Daniel Caligiuri,German Bundesliga,Augsburg,DF,4,65.6,4,2,1.02,0.98
1089,Emre Can,German Bundesliga,Dortmund,DF,5,55.3,5,1,0.98,0.88
1090,Timothy Chandler,German Bundesliga,Eint Frankfurt,DF,4,39.7,0,0,0.95,0.98
1091,Max Christiansen,German Bundesliga,Greuther Fürth,MF,3,67.1,0,0,1.01,1.06
1092,Kingsley Coman,German Bundesliga,Bayern Munich,FW,2,44.4,6,2,1.01,1.11
1093,Danny da Costa,German Bundesliga,Eint Frankfurt,DF,4,23.8,0,0,0.91,1.24
1094,Tanguy Coulibaly,German Bundesliga,Stuttgart,FW,2,35.3,0,1,0.75,1.03
1095,Rafael Czichos,German Bundesliga,Köln,DF,5,45.9,0,1,1.11,0.93
1096,Moanes Dabbur,German Bundesliga,Hoffenheim,FW,1,42.9,3,4,0.97,0.8
1097,Mahmoud Dahoud,German Bundesliga,Dortmund,MF,3,54.1,2,3,1.03,0.96
1098,Márton Dárdai,German Bundesliga,Hertha BSC,DF,5,24.7,0,1,0.82,1.11
1099,Vladimír Darida,German Bundesliga,Hertha BSC,MF,3,58.2,2,5,1.02,1.1
1100,Alphonso Davies,German Bundesliga,Bayern Munich,DF,4,56.8,0,3,0.99,0.98
1101,Kerem Demirbay,German Bundesliga,Leverkusen,MF,3,67.1,1,4,0.95,1.05
1102,Ermedin Demirović,German Bundesliga,Freiburg,FW,1,28.5,2,3,1.1,1.04
1103,Moussa Diaby,German Bundesliga,Leverkusen,FW,2,90.3,13,12,1.01,0.95
1104,Niklas Dorsch,German Bundesliga,Augsburg,MF,3,75.9,1,0,1.02,1.02
1105,Ondrej Duda,German Bundesliga,Köln,MF,2,52.6,2,0,0.92,0.94
1106,Jeremy Dudziak,German Bundesliga,Greuther Fürth,MF,2,37.1,2,0,1.26,0.87
1107,Maximilian Eggestein,German Bundesliga,Freiburg,MF,3,71.8,1,2,0.98,0.97
1108,Kingsley Ehizibue,German Bundesliga,Köln,DF,4,22.4,0,1,0.94,1.37
1109,Jurgen Ekkelenkamp,German Bundesliga,Hertha BSC,MF,2,23.5,3,0,1.11,1.0
