,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
113,114,Mathias De Wolf,be BEL,FW,NEC Nijmegen,19,2002,0.1,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
114,115,Mats Deijl,nl NED,"DF,MF",Go Ahead Eag,24,1997,27.1,52,29,24,24,4,28,62,45.2,34,28,9,19,26,78,63,0,Matches
115,116,Thomas van den Belt,nl NED,MF,Zwolle,20,2001,22.9,41,22,16,23,2,14,46,30.4,32,27,7,20,31,72,45,1,Matches
116,117,Connor van den Berg,nl NED,GK,Willem II,20,2001,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
117,118,Rav van den Berg,nl NED,DF,Zwolle,17,2004,4.1,7,2,7,0,0,2,7,28.6,5,5,3,2,4,11,16,0,Matches
118,119,Arjen van der Heide,nl NED,"FW,MF",Heerenveen,19,2001,5.5,15,6,5,6,4,4,13,30.8,9,10,0,10,0,15,2,0,Matches
119,120,Mike van der Hoorn,nl NED,DF,Utrecht,28,1992,28.6,30,16,23,6,1,19,28,67.9,9,30,17,13,35,65,99,1,Matches
120,121,Djevencio van der Kust,nl NED,DF,Utrecht,20,2001,10.7,30,20,16,9,5,15,28,53.6,13,13,6,7,14,44,31,0,Matches
121,122,Mark van der Maarel,nl NED,DF,Utrecht,31,1989,22.7,68,41,42,18,8,42,59,71.2,17,19,8,11,32,100,84,0,Matches
122,123,Jhondly van der Meer,ht HAI,DF,Cambuur,19,2002,4.7,10,4,6,4,0,6,8,75.0,2,6,2,4,10,20,15,0,Matches
123,124,Richard van der Venne,nl NED,MF,RKC Waalwijk,29,1992,15.0,20,16,10,6,4,10,19,52.6,9,14,1,13,8,28,15,0,Matches
124,125,Maikel van der Werff,nl NED,DF,Zwolle,32,1989,5.5,11,6,7,3,1,6,13,46.2,7,6,2,4,13,24,19,0,Matches
125,126,Karim Dermane,tg TOG,MF,Feyenoord,17,2003,0.1,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
126,127,Cyriel Dessers,ng NGA,FW,Feyenoord,26,1994,12.0,5,2,1,3,1,2,9,22.2,7,3,0,3,1,6,4,0,Matches
127,128,Mark Diemers,nl NED,"MF,FW",Feyenoord,27,1993,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
128,129,Ritsu Doan,jp JPN,"FW,MF",PSV Eindhoven,23,1998,16.8,41,30,14,25,2,16,34,47.1,18,25,2,23,8,49,6,1,Matches
129,130,Danilho Doekhi,nl NED,DF,Vitesse,23,1998,28.9,55,37,34,19,2,21,30,70.0,9,37,15,22,39,94,106,0,Matches
130,131,Toni Domgjoni,xk KVX,MF,Vitesse,22,1998,11.9,33,19,6,18,9,6,14,42.9,8,10,3,7,11,44,7,0,Matches
131,132,Nick Doodeman,nl NED,"FW,MF",Cambuur,24,1996,6.5,5,2,1,3,1,2,7,28.6,5,6,0,6,5,10,2,0,Matches
132,133,Anastasios Douvikas,gr GRE,FW,Utrecht,21,1999,26.4,38,20,8,16,14,5,25,20.0,20,16,3,13,7,45,22,0,Matches
133,134,Augustin Drakpe,nl NED,DF,Sparta R'dam,19,2001,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,Matches
134,135,Ibrahim Drešević,xk KVX,DF,Heerenveen,24,1997,22.8,42,24,30,11,1,20,37,54.1,17,39,21,18,36,78,92,2,Matches
135,136,Joel Drommel,nl NED,GK,PSV Eindhoven,24,1996,26.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,4,Matches
136,137,Deroy Duarte,cv CPV,"MF,DF",Fortuna Sittard,22,1999,30.0,59,33,25,23,11,28,70,40.0,42,23,7,16,38,97,64,1,Matches
137,138,Laros Duarte,nl NED,MF,Sparta R'dam,24,1997,2.1,3,0,2,1,0,0,6,0.0,6,0,0,0,0,3,6,0,Matches
138,139,Laros Duarte,nl NED,MF,Groningen,24,1997,25.4,39,22,20,18,1,13,40,32.5,27,20,6,14,30,69,29,1,Matches
139,140,Mikkel Duelund,dk DEN,"MF,FW",NEC Nijmegen,24,1997,9.7,20,13,8,10,2,6,13,46.2,7,14,1,13,7,27,7,1,Matches
140,141,Jelle Duin,nl NED,FW,AZ Alkmaar,22,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
141,142,Riza Durmisi,dk DEN,DF,Sparta R'dam,27,1994,6.8,9,6,3,6,0,4,5,80.0,1,6,2,4,6,15,16,0,Matches
142,143,Zakaria Eddahchouri,nl NED,FW,Go Ahead Eag,21,2000,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
143,144,Rens van Eijden,nl NED,"MF,DF",NEC Nijmegen,33,1988,0.3,3,1,2,1,0,1,3,33.3,2,1,1,0,1,4,0,0,Matches
144,145,Emanuel Emegha,nl NED,"FW,MF",Sparta R'dam,18,2003,10.8,6,4,1,3,2,2,9,22.2,7,10,2,8,1,7,13,0,Matches
145,146,Mario Engels,de GER,FW,Sparta R'dam,27,1993,12.2,9,5,5,3,1,2,13,15.4,11,13,2,11,3,12,1,0,Matches
146,147,Luca Everink,nl NED,DF,Twente,20,2001,1.8,8,2,4,4,0,3,5,60.0,2,2,0,2,3,11,7,0,Matches
147,148,Håkon Evjen,no NOR,"FW,MF",AZ Alkmaar,21,2000,10.1,35,24,12,19,4,11,35,31.4,24,21,1,20,11,46,9,0,Matches
148,149,Milan van Ewijk,nl NED,DF,Heerenveen,20,2000,32.2,104,65,64,34,6,29,57,50.9,28,31,8,23,59,163,107,3,Matches
149,150,Noah Fadiga,sn SEN,DF,Heracles Almelo,21,1999,30.1,40,25,28,7,5,19,43,44.2,24,21,4,17,30,70,43,0,Matches
150,151,Leroy Fer,nl NED,MF,Feyenoord,31,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
151,152,Arianit Ferati,de GER,"MF,DF",Fortuna Sittard,23,1997,8.2,16,8,10,3,3,7,22,31.8,15,13,1,12,9,25,17,0,Matches
152,153,Leandro Fernandes,nl NED,"FW,MF",Zwolle,21,1999,0.8,0,0,0,0,0,0,5,0.0,5,3,1,2,0,0,0,0,Matches
153,154,Zian Flemming,nl NED,"MF,FW",Fortuna Sittard,22,1998,27.7,17,9,4,10,3,7,23,30.4,16,21,7,14,20,37,57,0,Matches
154,155,Juriën Gaari,cw CUW,DF,RKC Waalwijk,27,1993,25.8,48,24,32,11,5,30,50,60.0,20,33,11,22,35,83,59,3,Matches
155,156,Cody Gakpo,nl NED,FW,PSV Eindhoven,22,1999,21.2,15,9,5,4,6,7,25,28.0,18,22,2,20,16,31,10,0,Matches
156,157,Yann Gboho,fr FRA,"MF,FW",Vitesse,20,2001,10.6,13,6,5,5,3,5,13,38.5,8,7,0,7,6,19,2,0,Matches
157,158,Lutsharel Geertruida,nl NED,DF,Feyenoord,21,2000,19.1,35,22,16,19,0,19,32,59.4,13,9,1,8,16,51,34,0,Matches
158,159,Liam van Gelderen,nl NED,DF,Ajax,20,2001,0.6,2,1,2,0,0,1,2,50.0,1,1,0,1,2,4,2,0,Matches
159,160,Tristan van Gilst,nl NED,FW,Zwolle,18,2003,0.2,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
160,161,Marco van Ginkel,nl NED,MF,PSV Eindhoven,28,1992,11.0,23,14,7,13,3,10,23,43.5,13,9,0,9,11,34,15,0,Matches
161,162,Paul Gladon,nl NED,FW,Fortuna Sittard,29,1992,6.7,3,0,1,1,1,0,10,0.0,10,6,0,6,1,4,5,0,Matches
162,163,Hilary Gong,ng NGA,"DF,FW",Vitesse,22,1998,0.7,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
163,164,Jay Gorter,nl NED,GK,Ajax,21,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
164,165,Mario Götze,de GER,MF,PSV Eindhoven,29,1992,24.6,42,21,11,20,11,14,44,31.8,30,21,1,20,7,49,2,0,Matches
165,166,Kenzo Goudmijn,nl NED,"MF,FW",Sparta R'dam,19,2001,2.1,4,1,2,1,1,1,6,16.7,5,2,0,2,4,8,2,0,Matches
166,167,Ryan Gravenberch,nl NED,MF,Ajax,19,2002,24.5,47,25,14,25,8,16,41,39.0,25,23,4,19,19,66,21,0,Matches
