,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
338,339,Lautaro Martínez,ar ARG,FW,Inter,23,1997,25.4,510,473,35,1,3,1,15,3,0,0,0,0,371,2,17,Matches
339,340,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,25,1996,15.9,1123,1083,39,33,0,17,1,6,0,0,0,0,1007,1,8,Matches
340,341,Adam Marušić,me MNE,DF,Lazio,28,1992,30.2,1887,1645,239,33,0,4,29,206,0,0,0,0,1650,3,17,Matches
341,342,Andrea Masiello,it ITA,DF,Genoa,35,1986,5.7,313,302,10,5,0,2,1,0,0,0,0,0,276,1,2,Matches
342,343,Aleš Matějů,cz CZE,DF,Venezia,25,1996,8.1,294,253,40,2,0,0,21,38,0,0,0,0,217,1,7,Matches
343,344,Borja Mayoral,es ESP,"FW,DF",Roma,24,1997,1.1,39,38,1,0,0,0,3,0,1,1,0,0,26,0,2,Matches
344,345,Pasquale Mazzocchi,it ITA,DF,Venezia,26,1995,13.8,596,473,121,7,2,4,46,114,0,0,0,0,446,2,16,Matches
345,346,Pasquale Mazzocchi,it ITA,DF,Salernitana,26,1995,14.1,579,452,127,11,0,3,79,98,17,0,16,0,416,0,12,Matches
346,347,Ibrahima Mbaye,sn SEN,DF,Bologna,26,1994,1.2,52,42,10,2,0,0,1,8,0,0,0,0,34,0,1,Matches
347,348,Weston McKennie,us USA,MF,Juventus,22,1998,15.2,565,529,34,2,2,2,12,32,0,0,0,0,424,2,20,Matches
348,349,Gary Medel,cl CHI,DF,Bologna,33,1987,31.4,1696,1559,131,121,2,5,2,8,0,0,0,0,1508,6,10,Matches
349,350,Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,10.9,347,323,22,6,3,0,34,3,12,5,5,0,234,2,19,Matches
350,351,Arthur Melo,br BRA,MF,Juventus,24,1996,10.7,700,666,33,32,2,4,1,1,0,0,0,0,626,1,16,Matches
351,352,Alex Meret,it ITA,GK,Napoli,24,1997,6.9,197,149,47,11,0,0,0,0,0,0,0,0,176,1,1,Matches
352,353,Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,24,1997,0.5,33,22,11,0,0,0,1,11,0,0,0,0,23,0,2,Matches
353,354,Dries Mertens,be BEL,"FW,MF",Napoli,34,1987,15.4,548,523,21,0,6,9,22,2,12,3,5,0,400,4,14,Matches
354,355,Junior Messias,br BRA,"FW,MF",Milan,30,1991,15.9,544,507,35,7,1,4,52,9,19,15,1,0,364,2,14,Matches
355,356,Kingsley Michael,ng NGA,MF,Bologna,21,1999,0.8,26,25,1,1,0,0,0,0,0,0,0,0,23,0,0,Matches
356,357,Valentin Mihaila,ro ROU,"MF,FW",Atalanta,21,2000,0.8,33,33,0,0,0,0,3,0,0,0,0,0,17,0,2,Matches
357,358,Mikael,br BRA,"FW,MF",Salernitana,22,1999,1.0,18,18,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
358,359,Hilmir Mikaelsson,is ISL,FW,Venezia,17,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
359,360,Nikola Milenković,rs SRB,DF,Fiorentina,23,1997,32.5,2098,2019,78,73,0,38,2,5,0,0,0,0,1877,1,12,Matches
360,361,Sergej Milinković-Savić,rs SRB,MF,Lazio,26,1995,34.4,2367,2318,40,28,12,15,45,12,0,0,0,0,1893,9,45,Matches
361,362,Vanja Milinković-Savić,rs SRB,GK,Torino,24,1997,27.0,1026,747,271,102,0,8,0,0,0,0,0,0,528,8,1,Matches
362,363,Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,25,1995,8.6,384,364,18,4,3,2,17,3,9,7,1,0,310,2,8,Matches
363,364,Fabio Miretti,it ITA,MF,Juventus,17,2003,3.6,145,132,12,5,0,1,6,1,6,2,3,0,117,1,1,Matches
364,365,Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,32,1989,27.7,1168,1128,35,15,8,9,46,12,7,5,2,0,959,5,28,Matches
365,366,Marco Modolo,it ITA,DF,Venezia,32,1989,4.4,161,155,5,5,0,0,0,0,0,0,0,0,130,1,1,Matches
366,367,Nahuel Molina,ar ARG,DF,Udinese,23,1998,29.3,1228,1089,133,12,3,5,117,104,17,6,8,0,860,6,33,Matches
367,368,Cristian Molinaro,it ITA,DF,Venezia,38,1983,6.1,325,263,62,6,0,2,16,56,0,0,0,0,243,0,4,Matches
368,369,Lorenzo Montipò,it ITA,GK,Hellas Verona,25,1996,34.0,973,648,316,85,0,3,0,0,0,0,0,0,539,9,0,Matches
369,370,Álvaro Morata,es ESP,FW,Juventus,28,1992,25.6,659,641,17,3,6,8,20,3,0,0,0,0,489,1,20,Matches
370,371,Raúl Moro,es ESP,FW,Lazio,18,2002,2.2,87,82,5,1,0,0,2,3,0,0,0,0,75,0,1,Matches
371,372,Andrei Motoc,ro ROU,DF,Salernitana,19,2002,1.0,26,23,3,2,0,0,0,1,0,0,0,0,21,0,0,Matches
372,373,Lys Mousset,fr FRA,"MF,FW",Salernitana,25,1996,1.8,45,37,8,0,0,0,0,1,0,0,0,0,32,0,4,Matches
373,374,Samuel Mráz,sk SVK,FW,Spezia,24,1997,0.6,12,10,2,0,0,0,0,0,0,0,0,0,8,0,0,Matches
374,375,Mert Müldür,tr TUR,DF,Sassuolo,22,1999,22.7,1203,1028,174,26,4,6,40,148,0,0,0,0,957,1,23,Matches
375,376,Luis Muriel,co COL,"FW,MF",Atalanta,30,1991,17.1,756,655,98,20,4,6,75,6,55,26,19,0,541,3,14,Matches
376,377,Vedat Muriqi,xk KVX,FW,Lazio,27,1994,2.4,64,62,2,0,0,0,0,0,0,0,0,0,42,0,1,Matches
377,378,Nicola Murru,it ITA,DF,Sampdoria,26,1994,10.9,460,371,84,7,1,1,23,77,0,0,0,0,303,5,8,Matches
378,379,Juan Musso,ar ARG,GK,Atalanta,27,1994,32.6,958,688,264,56,0,2,0,0,0,0,0,0,715,6,2,Matches
379,380,Joakim Mæhle,dk DEN,"DF,MF",Atalanta,24,1997,16.3,930,786,140,5,1,3,27,134,1,0,0,0,752,4,23,Matches
380,381,Nahitan Nández,uy URU,"MF,DF",Cagliari,25,1995,16.9,648,601,44,7,0,8,65,33,4,0,3,0,453,3,20,Matches
381,382,Nani,pt POR,"MF,FW",Venezia,34,1986,3.2,132,117,14,3,1,0,14,6,4,1,2,0,91,1,3,Matches
382,383,Matija Nastasić,rs SRB,DF,Fiorentina,28,1993,2.4,154,152,2,2,0,2,0,0,0,0,0,0,143,0,0,Matches
383,384,Ilija Nestorovski,mk MKD,FW,Udinese,31,1990,2.1,62,59,3,0,0,0,2,3,0,0,0,0,44,0,1,Matches
384,385,Aurélien Nguiamba,fr FRA,MF,Spezia,22,1999,0.6,34,34,0,0,0,0,0,0,0,0,0,0,27,0,0,Matches
385,386,Dimitris Nikolaou,gr GRE,DF,Spezia,22,1998,36.0,1674,1564,103,66,2,19,7,13,0,0,0,0,1359,7,15,Matches
386,387,Jean-Pierre Nsame,cm CMR,FW,Venezia,28,1993,2.7,67,64,1,0,1,0,1,0,0,0,0,0,40,2,0,Matches
387,388,Bram Nuytinck,nl NED,DF,Udinese,31,1990,22.6,937,863,69,42,1,1,6,18,0,0,0,0,781,5,3,Matches
388,389,Simeon Nwankwo,ng NGA,FW,Salernitana,29,1992,9.4,185,176,9,0,1,2,2,0,0,0,0,0,133,0,7,Matches
389,390,M'Bala Nzola,ao ANG,FW,Spezia,24,1996,11.9,244,225,19,0,0,2,4,2,0,0,0,0,192,0,4,Matches
390,391,Adam Obert,sk SVK,"DF,MF",Cagliari,18,2002,3.0,106,97,7,2,0,0,2,5,0,0,0,0,69,2,7,Matches
391,392,Joel Obi,ng NGA,"MF,DF",Salernitana,30,1991,12.7,368,349,19,3,0,1,25,8,7,3,4,0,275,0,10,Matches
392,393,Brain Oddei,it ITA,FW,Sassuolo,18,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
393,394,Álvaro Odriozola,es ESP,DF,Fiorentina,25,1995,19.3,1030,877,152,11,0,1,52,139,2,0,1,0,885,1,28,Matches
394,395,Stefano Okaka,it ITA,FW,Udinese,31,1989,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
395,396,David Okereke,ng NGA,"FW,MF",Venezia,23,1997,22.8,463,449,9,0,1,2,27,4,0,0,0,0,319,5,13,Matches
396,397,Christian Oliva,uy URU,MF,Cagliari,25,1996,0.5,33,30,2,2,0,1,0,0,0,0,0,0,28,1,0,Matches
397,398,Sérgio Oliveira,pt POR,MF,Roma,29,1992,9.9,493,442,49,30,3,6,32,0,19,7,10,0,394,2,5,Matches
398,399,Riccardo Orsolini,it ITA,"FW,MF",Bologna,24,1997,19.8,744,659,83,21,5,18,90,13,42,30,1,0,481,2,23,Matches
399,400,Victor Osimhen,ng NGA,FW,Napoli,22,1998,22.0,338,331,5,0,0,4,9,2,0,0,0,0,232,2,17,Matches
400,401,David Ospina,co COL,GK,Napoli,32,1988,31.0,979,785,192,57,0,1,0,0,0,0,0,0,816,2,2,Matches
401,402,Adam Ounas,dz ALG,"MF,FW",Napoli,24,1996,3.6,204,191,13,3,2,5,16,1,9,5,0,0,158,0,4,Matches
402,403,Daniele Padelli,it ITA,GK,Udinese,35,1985,3.0,111,87,24,2,0,0,0,0,0,0,0,0,78,0,0,Matches
403,404,Simone Pafundi,it ITA,FW,Udinese,15,2006,0.3,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
404,405,Martin Palumbo,no NOR,FW,Juventus,19,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
