,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
58,59,Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
59,60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,12,2,Matches
60,61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,Matches
61,62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0,Matches
62,63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,14,6,6,8,0,0,4,0.0,4,2,1,1,4,18,3,0,Matches
63,64,Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,10.9,8,5,7,0,1,6,15,40.0,9,9,0,9,4,12,7,0,Matches
64,65,Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,5.1,10,7,2,5,3,2,10,20.0,8,9,0,9,4,14,3,0,Matches
65,66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,8,1,Matches
66,67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2,Matches
67,68,Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,10.6,24,14,10,10,4,13,18,72.2,5,8,0,8,8,32,16,0,Matches
68,69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
69,70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,29,14,5,17,7,12,34,35.3,22,14,2,12,8,37,4,1,Matches
70,71,Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,25.5,70,42,44,22,4,40,69,58.0,29,23,8,15,53,123,71,1,Matches
71,72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,13,6,4,6,3,2,7,28.6,5,10,3,7,6,19,19,0,Matches
72,73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,17,8,14,1,2,8,11,72.7,3,9,1,8,10,27,35,0,Matches
73,74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
74,75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,24,1,Matches
75,76,Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,32.9,33,18,7,20,6,15,43,34.9,28,33,3,30,31,64,6,1,Matches
76,77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,9,7,2,3,4,1,5,20.0,4,6,0,6,2,11,1,0,Matches
77,78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0,Matches
78,79,Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,0.4,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
79,80,Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,10.6,19,11,6,10,3,8,17,47.1,9,15,0,15,6,25,5,0,Matches
80,81,Charles Boli,fr FRA,"MF,DF",Lens,22,1998,0.4,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
81,82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,24,11,13,11,0,12,18,66.7,6,32,21,11,26,50,116,0,Matches
82,83,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,27.1,46,25,14,13,19,22,63,34.9,41,30,0,30,8,54,34,1,Matches
83,84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,31,18,15,10,6,13,36,36.1,23,17,4,13,18,49,15,0,Matches
84,85,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,25.0,27,15,11,12,4,12,29,41.4,17,17,2,15,10,37,5,0,Matches
85,86,Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,25.9,44,29,19,16,9,18,38,47.4,20,19,2,17,7,51,1,0,Matches
86,87,Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,17.0,18,10,7,9,2,14,38,36.8,24,8,2,6,12,30,5,0,Matches
87,88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,2,2,1,1,0,0,0,,0,1,1,0,2,4,5,0,Matches
88,89,Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,35.5,46,24,16,18,12,24,67,35.8,43,33,3,30,30,76,44,0,Matches
89,90,Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,11,9,8,2,1,7,12,58.3,5,5,2,3,10,21,7,1,Matches
91,92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,1,0,Matches
92,93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches
93,94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,40,24,23,13,4,10,21,47.6,11,31,21,10,32,72,86,0,Matches
94,95,Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,2.5,2,0,2,0,0,0,2,0.0,2,0,0,0,1,3,2,0,Matches
95,96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,47,29,33,13,1,20,31,64.5,11,32,19,13,40,87,78,1,Matches
96,97,Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,11.2,18,8,7,6,5,8,22,36.4,14,8,0,8,8,26,1,0,Matches
97,98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,26,15,20,5,1,19,36,52.8,17,19,5,14,17,43,28,0,Matches
98,99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,3,3,0,3,0,2,6,33.3,4,7,4,3,1,4,2,0,Matches
99,100,Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
100,101,Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,3.5,15,7,4,8,3,5,15,33.3,10,7,0,7,5,20,1,0,Matches
101,102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,81,44,59,15,7,47,83,56.6,36,29,0,29,32,113,30,0,Matches
102,103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,65,34,35,24,6,33,55,60.0,22,23,4,19,33,98,49,1,Matches
103,104,Mathieu Cafaro,fr FRA,"MF,FW",Reims,24,1997,2.1,4,2,3,1,0,0,7,0.0,7,2,0,2,3,7,1,0,Matches
104,105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,5,2,2,3,0,0,5,0.0,5,8,2,6,9,14,12,0,Matches
105,106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,9,1,Matches
106,107,Jens Cajuste,se SWE,"MF,FW",Reims,21,1999,4.0,10,6,6,2,2,6,17,35.3,11,7,2,5,5,15,6,0,Matches
107,108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,21,8,15,6,0,11,14,78.6,3,11,7,4,24,45,55,2,Matches
108,109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
109,110,Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,23,1998,34.1,101,57,39,50,12,39,70,55.7,31,44,8,36,58,159,35,1,Matches
110,111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
111,112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,4,1,2,1,1,2,5,40.0,3,1,1,0,1,5,3,0,Matches
112,113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,30,18,13,15,2,13,31,41.9,18,11,2,9,6,36,21,0,Matches
113,114,Pierrick Capelle,fr FRA,"MF,DF",Angers,34,1987,13.3,36,24,16,17,3,18,52,34.6,34,12,1,11,16,52,20,0,Matches
114,115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,73,40,29,36,8,30,80,37.5,50,38,10,28,43,116,26,2,Matches
115,116,Irvin Cardona,fr FRA,"FW,MF",Brest,23,1997,14.8,13,7,5,4,4,3,16,18.8,13,10,0,10,5,18,17,0,Matches
116,117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,27,16,16,8,3,15,43,34.9,28,17,2,15,25,52,28,0,Matches
117,118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,12,6,7,4,1,3,19,15.8,16,10,5,5,9,21,5,0,Matches
118,119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,45,24,27,17,1,25,35,71.4,10,38,27,11,30,75,73,0,Matches
119,120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,64,37,43,17,4,36,63,57.1,27,32,9,23,43,107,62,2,Matches
120,121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,33,21,22,9,2,13,32,40.6,19,37,8,29,32,65,51,0,Matches
121,122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17.0,,0,,,,,,,,,,,1,,,,Matches
122,123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
123,124,Nassim Chadli,fr FRA,"MF,DF",Troyes,20,2001,1.1,5,3,3,0,2,2,4,50.0,2,1,0,1,0,5,0,0,Matches
124,125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
125,126,Dylan Chambost,fr FRA,"MF,FW",Troyes,23,1997,8.4,16,11,6,9,1,4,25,16.0,21,9,2,7,9,25,4,0,Matches
126,127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,44,25,32,11,1,29,40,72.5,11,42,29,13,55,99,141,0,Matches
127,128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,49,26,19,25,5,12,55,21.8,43,32,5,27,38,87,36,0,Matches
