,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,50,48,1,1,0,2,0,0,0,0,0,0,36,1,0,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,1187,1145,39,38,0,24,1,1,0,0,0,0,1010,3,5,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,140,136,4,4,0,7,0,0,0,0,0,0,120,0,2,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,11,10,1,1,0,0,0,0,0,0,0,0,10,0,0,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,465,417,41,2,1,7,17,1,0,0,0,0,305,7,9,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,284,264,20,9,3,1,26,7,3,2,0,0,189,0,16,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,708,640,65,33,3,15,51,14,11,6,5,0,498,3,21,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,116,114,2,2,1,1,1,0,0,0,0,0,83,0,6,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,119,112,5,1,0,0,6,0,4,2,0,0,78,2,5,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,406,356,49,3,0,2,14,44,2,1,0,0,340,1,8,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,714,687,26,25,0,10,1,1,0,0,0,0,619,1,5,Matches
59,60,Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,174,154,20,2,0,2,15,18,0,0,0,0,127,0,6,Matches
60,61,Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,706,551,151,20,0,4,45,126,5,1,3,0,513,4,17,Matches
61,62,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,277,200,77,20,0,0,0,0,0,0,0,0,174,0,0,Matches
62,63,Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,639,564,75,43,1,6,56,1,30,7,19,0,525,0,5,Matches
63,64,Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,65,Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,432,410,22,8,1,1,11,6,3,1,2,0,365,0,5,Matches
65,66,Beto,gw GNB,FW,Portimonense,23,1998,3.0,40,35,4,0,0,0,3,0,0,0,0,0,25,1,0,Matches
66,67,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,256,246,7,0,1,2,15,7,0,0,0,0,181,3,9,Matches
67,68,Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,915,872,38,37,0,5,0,1,0,0,0,0,757,5,4,Matches
68,69,Kiko Bondoso,pt POR,FW,FC Vizela,25,1995,30.2,928,904,19,11,10,4,44,5,0,0,0,0,698,5,42,Matches
