,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
83,84,David Bingham,us USA,GK,Portland Timbers,32,1989,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
84,85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,8,1,1,45,20,5,2,61,12,0,0,1,120,143,36,79.9,Matches
85,86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,8,0,0,21,2,1,5,9,4,0,2,0,63,28,13,68.3,Matches
86,87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,5,0,0,14,11,3,2,32,16,0,2,0,130,35,26,57.4,Matches
87,88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34.0,1,0,0,0,3,0,0,1,1,0,0,0,43,7,1,87.5,Matches
88,89,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,33,1988,20.2,7,0,0,18,30,1,138,5,7,0,0,0,58,3,15,16.7,Matches
89,90,Latif Blessing,gh GHA,"MF,FW",Los Angeles FC,25,1996,14.8,1,0,0,25,30,2,5,19,22,0,0,0,137,16,13,55.2,Matches
90,91,Emmanuel Boateng,gh GHA,"FW,MF",New England,28,1994,11.1,1,0,0,7,4,2,60,6,7,0,0,0,47,5,9,35.7,Matches
91,92,Blake Bodily,us USA,"FW,DF",Portland Timbers,24,1998,0.2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
92,93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
93,94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34.0,2,0,0,1,5,0,0,0,0,0,1,0,66,5,0,100.0,Matches
94,95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,0,1,0,4,8,0,5,1,4,0,0,0,13,4,5,44.4,Matches
95,96,Alex Bono,us USA,GK,Toronto FC,27,1994,24.0,0,0,0,1,3,0,0,1,0,0,1,0,47,9,1,90.0,Matches
96,97,Jonathan Bornstein,us USA,"DF,MF",Chicago Fire,37,1984,13.3,0,0,0,12,6,1,20,13,13,0,0,0,48,29,17,63.0,Matches
97,98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,1,0,0,2,13,2,19,3,7,0,0,0,33,1,7,12.5,Matches
98,99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,4,0,0,10,10,25,33,8,4,1,0,0,57,4,8,33.3,Matches
99,100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,0,0,0,15,10,0,16,5,8,1,0,0,31,12,10,54.5,Matches
100,101,Ousseni Bouda,bf BFA,"FW,MF",San Jose,21,2000,1.3,2,0,0,4,2,0,5,0,2,1,0,0,4,0,1,0.0,Matches
101,102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31.0,9,0,0,29,9,0,0,46,29,0,1,2,166,46,29,61.3,Matches
102,103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,5,0,0,21,29,0,5,41,33,0,0,0,273,15,27,35.7,Matches
103,104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
104,105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7.0,1,0,0,4,3,0,33,8,6,0,0,0,35,5,10,33.3,Matches
105,106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,8,1,1,44,17,1,66,47,77,0,2,0,209,17,31,35.4,Matches
106,107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,3,0,0,13,27,8,11,4,12,0,0,0,60,12,26,31.6,Matches
107,108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23.0,2,0,0,2,3,0,0,2,0,0,1,0,18,5,0,100.0,Matches
108,109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
109,110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,2,0,0,10,21,1,91,50,22,0,0,0,170,21,28,42.9,Matches
110,111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,7,0,0,61,24,0,8,32,49,0,1,0,187,31,22,58.5,Matches
111,112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,4,0,0,19,9,2,51,21,25,0,0,0,139,31,31,50.0,Matches
112,113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,3,0,0,18,14,0,3,15,19,0,0,0,82,6,2,75.0,Matches
113,114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,2,0,0,11,13,8,5,2,4,0,0,0,16,11,22,33.3,Matches
114,115,Noel Buck,us USA,"MF,FW",New England,16,2005,3.2,1,0,0,5,9,1,0,2,4,0,0,0,12,3,7,30.0,Matches
115,116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,3,1,1,18,14,2,3,0,1,0,0,0,14,39,32,54.9,Matches
116,117,Teal Bunbury,us USA,"FW,MF",Nashville,31,1990,7.3,2,0,0,14,8,4,5,6,1,0,0,0,12,16,38,29.6,Matches
117,118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,6,0,0,45,19,6,7,1,21,0,0,0,42,64,63,50.4,Matches
118,119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2.0,0,0,0,3,2,0,0,2,0,0,0,0,9,4,2,66.7,Matches
119,120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
120,121,Brandon Bye,us USA,DF,New England,26,1995,28.5,3,0,0,31,22,0,148,30,25,0,0,0,137,83,48,63.4,Matches
121,122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,0,0,0,3,7,0,5,4,4,0,0,0,14,5,6,45.5,Matches
122,123,Kevin Cabral,fr FRA,"FW,MF",LA Galaxy,22,1999,18.7,1,1,0,26,29,3,37,6,13,2,0,0,51,9,32,22.0,Matches
123,124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,1,0,0,1,0,0,1,4,3,0,0,0,28,0,0,,Matches
124,125,Deiber Caicedo,co COL,"FW,MF",Vancouver,21,2000,10.9,2,0,0,8,16,6,54,0,8,1,0,0,32,3,15,16.7,Matches
125,126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,5,0,0,25,19,0,2,23,18,0,1,0,85,10,11,47.6,Matches
126,127,Drake Callender,us USA,GK,Inter Miami,24,1997,24.0,1,0,0,0,2,0,0,0,0,0,0,0,24,6,2,75.0,Matches
127,128,Alexander Callens,pe PER,DF,NYCFC,29,1992,26.5,7,0,0,28,23,1,8,17,20,0,0,0,158,50,32,61.0,Matches
128,129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13.0,4,0,0,15,11,1,2,35,12,1,0,0,122,30,30,50.0,Matches
129,130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,27.5,6,0,0,29,8,0,2,51,19,0,1,0,169,53,26,67.1,Matches
130,131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,23.5,6,0,0,21,8,0,1,42,15,0,1,0,117,46,35,56.8,Matches
131,132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,17.6,2,0,0,29,16,10,9,2,4,0,0,0,29,30,51,37.0,Matches
132,133,George Campbell,us USA,DF,Atlanta Utd,20,2001,16.4,3,0,0,19,8,0,0,20,11,0,0,0,125,32,29,52.5,Matches
133,134,Russell Canouse,us USA,MF,D.C. United,26,1995,13.2,4,0,0,24,20,0,5,17,19,0,0,0,77,8,25,24.2,Matches
134,135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,25.2,8,0,0,22,32,0,0,56,33,0,2,0,149,69,26,72.6,Matches
135,136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,18.1,6,0,0,17,12,1,2,31,15,0,0,0,75,42,13,76.4,Matches
136,137,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,18,2003,0.5,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,100.0,Matches
137,138,Julián Carranza,ar ARG,FW,Philadelphia,21,2000,24.6,9,1,1,72,67,15,6,10,22,1,0,0,81,50,68,42.4,Matches
138,139,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23,1998,26.6,10,1,1,47,43,0,26,35,21,0,0,0,207,13,11,54.2,Matches
139,140,Wilder Cartagena,pe PER,MF,Orlando City,27,1994,3.7,2,0,0,9,3,0,1,5,8,0,0,0,27,3,2,60.0,Matches
140,141,Javier Casas,us USA,MF,Chicago Fire,18,2003,0.4,1,0,0,3,1,0,0,0,1,0,0,0,3,0,1,0.0,Matches
141,142,Julio Cascante,cr CRC,DF,Austin,28,1993,30.2,6,0,0,39,29,1,4,28,22,0,0,0,110,95,56,62.9,Matches
142,143,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,22,2000,24.4,10,0,0,59,31,0,28,23,45,0,0,0,193,45,29,60.8,Matches
143,144,Valentín Castellanos,ar ARG,FW,NYCFC,23,1998,16.2,9,0,0,31,20,10,18,6,4,3,0,0,37,48,47,50.5,Matches
144,145,Lucas Cavallini,ca CAN,FW,Vancouver,29,1992,16.8,9,1,0,46,61,8,12,4,10,1,0,0,42,69,60,53.5,Matches
145,146,Roman Celentano,us USA,GK,FC Cincinnati,21,2000,27.0,0,0,0,1,0,0,0,1,0,0,1,0,26,6,0,100.0,Matches
146,147,Darwin Cerén,sv SLV,MF,Houston Dynamo,32,1989,12.5,8,1,1,21,11,1,7,19,16,0,0,0,76,6,18,25.0,Matches
147,148,Edwin Cerrillo,us USA,MF,FC Dallas,21,2000,21.0,8,0,0,35,14,0,3,26,20,0,1,0,161,9,12,42.9,Matches
148,149,Maikel Chang,cu CUB,"MF,FW",Real Salt Lake,30,1991,20.4,3,0,0,15,12,5,72,12,25,0,0,0,101,11,12,47.8,Matches
149,150,Maxime Chanot,lu LUX,DF,NYCFC,32,1989,16.0,5,0,0,11,13,1,0,19,14,0,0,0,90,31,19,62.0,Matches
150,151,Diego Chará,co COL,MF,Portland Timbers,35,1986,27.1,9,0,0,59,54,1,3,35,39,1,0,1,221,13,12,52.0,Matches
151,152,Yimmi Chará,co COL,"MF,FW",Portland Timbers,30,1991,30.7,5,0,0,26,43,5,67,23,31,1,0,0,171,11,20,35.5,Matches
152,153,Giorgio Chiellini,it ITA,DF,Los Angeles FC,37,1984,7.9,1,0,0,8,9,0,1,14,5,0,0,0,41,11,8,57.9,Matches
