,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
114,115,Erick Castillo,ec ECU,"FW,MF",Tijuana,26,1995,6.6,233,9,39,86,117,18,233,15,30,50.0,18,19,148,34,Matches
115,116,Fabián Castillo,co COL,"MF,FW",FC Juárez,29,1992,17.2,684,4,51,280,374,59,684,58,104,55.8,66,37,508,105,Matches
116,117,Nicolás Castillo,cl CHI,FW,Necaxa,28,1993,0.6,11,0,0,8,3,0,11,0,0,,0,0,8,2,Matches
117,118,José Castillo Pérez,mx MEX,"DF,MF",Pachuca,19,2001,0.2,12,2,5,6,1,0,12,0,0,,1,0,3,0,Matches
118,119,Raúl Castillo,mx MEX,"DF,MF",Puebla,19,2001,0.3,20,1,2,12,6,0,20,1,3,33.3,1,0,16,2,Matches
119,120,Matías Catalán,ar ARG,"DF,FW",Pachuca,28,1992,7.9,407,35,133,177,99,19,407,2,5,40.0,10,2,189,13,Matches
120,121,Alan Cervantes,mx MEX,MF,Santos,23,1998,23.1,1146,43,263,718,184,8,1146,22,34,64.7,36,21,621,18,Matches
121,122,Daniel Cervantes,mx MEX,DF,Querétaro,31,1990,12.7,531,74,290,234,14,11,531,4,4,100.0,5,0,254,1,Matches
122,123,Pablo César Aguilar,py PAR,DF,Cruz Azul,34,1987,28.1,1552,206,837,662,66,36,1552,2,3,66.7,9,0,868,7,Matches
123,124,Pablo César López,mx MEX,"MF,DF",Pachuca,23,1998,0.8,49,2,13,23,13,0,49,0,1,0.0,0,0,27,3,Matches
124,125,Aníbal Chalá,ec ECU,"DF,MF",Atlas,25,1996,4.5,212,5,30,91,95,13,212,3,18,16.7,20,1,133,23,Matches
125,126,Diego Chávez Collins,mx MEX,"FW,MF",Toluca,26,1995,4.5,138,2,28,70,42,15,138,2,7,28.6,9,5,79,15,Matches
126,127,Luis Chávez,mx MEX,MF,Pachuca,25,1996,25.0,1448,47,252,938,279,15,1447,20,33,60.6,30,9,849,17,Matches
127,128,Ricardo Chávez Soto,mx MEX,DF,Atlético,26,1994,28.2,1504,79,431,639,450,34,1504,13,29,44.8,26,14,683,54,Matches
128,129,Jesús Chiquete,mx MEX,DF,Guadalajara,19,2002,5.4,250,28,148,96,7,3,250,1,2,50.0,4,1,128,1,Matches
129,130,Ronaldo Cisneros,mx MEX,FW,Guadalajara,24,1997,0.3,10,0,1,2,7,2,10,0,0,,2,0,7,2,Matches
130,131,Léo Coelho,br BRA,DF,Atlético,28,1993,7.1,270,41,136,119,18,7,270,0,2,0.0,4,3,100,1,Matches
131,132,Santiago Colombatto,ar ARG,MF,León,24,1997,21.6,1126,29,173,724,241,28,1126,14,31,45.2,29,13,813,50,Matches
132,133,Bryan Colula,mx MEX,"DF,FW",Mazatlán,25,1996,19.1,852,50,252,388,223,17,852,5,12,41.7,26,8,424,34,Matches
133,134,Francisco Contreras,mx MEX,"DF,MF",FC Juárez,22,1999,5.8,317,11,77,137,107,5,317,3,7,42.9,12,5,200,24,Matches
134,135,José Corona,mx MEX,GK,Cruz Azul,40,1981,17.0,556,493,556,0,0,0,556,0,0,,0,0,188,0,Matches
135,136,Washington Corozo,ec ECU,"FW,MF",UNAM,23,1998,13.9,520,16,77,240,215,49,520,20,42,47.6,34,18,358,74,Matches
136,137,George Corral,mx MEX,"MF,DF",Puebla,31,1990,18.9,1115,42,302,619,204,10,1113,11,22,50.0,21,13,681,16,Matches
137,138,Jordi Cortizo,mx MEX,"MF,FW",Puebla,25,1996,8.1,368,8,52,174,147,19,368,29,44,65.9,28,19,262,37,Matches
138,139,Jordi Cortizo,mx MEX,"FW,MF",Tijuana,25,1996,4.3,240,4,28,113,105,10,240,18,32,56.3,16,5,155,22,Matches
