,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
661,662,Ryan Raposo,ca CAN,DF,Vancouver,22,1999,30,1440,48,47.1,16.0,17,71,4,13,18,4,1.30,17,29,-12,-0.75,-0.47,14.5,22.2,-7.7,-0.48,-0.26,Matches
662,663,Justin Rasmussen,us USA,DF,Portland Timbers,23,1998,9,646,72,21.1,7.2,7,83,5,2,33,10,0.78,12,14,-2,-0.28,-0.35,8.0,11.1,-3.1,-0.43,-0.49,Matches
663,664,Rayan Raveloson,mg MAD,MF,LA Galaxy,25,1997,22,1781,81,58.2,19.8,21,84,16,1,22,0,1.36,26,24,+2,+0.10,-0.25,32.9,25.9,+7.1,+0.36,+0.06,Matches
664,665,Matthew Real,us USA,"MF,DF",Philadelphia,22,1999,8,173,22,5.7,1.9,2,74,1,6,4,26,2.22,7,1,+6,+3.12,+1.87,3.5,2.7,+0.8,+0.39,-0.25,Matches
665,666,Rodney Redes,py PAR,"FW,MF",Austin,21,2000,12,172,14,5.6,1.9,0,,0,12,14,12,1.50,1,3,-2,-1.05,-1.61,2.9,4.4,-1.5,-0.77,-0.77,Matches
666,667,Benjamin Redzic,us USA,"MF,FW",FC Dallas,19,2002,6,67,11,2.2,0.7,0,,0,6,11,15,0.50,0,1,-1,-1.34,-1.70,0.6,1.1,-0.5,-0.67,-0.65,Matches
667,668,Pierre Reedy,us USA,MF,Real Salt Lake,24,1998,1,8,8,0.3,0.1,0,,0,1,8,0,1.00,0,0,0,0.00,+0.06,0.0,0.2,-0.2,-2.65,-2.68,Matches
668,669,Eric Remedi,ar ARG,MF,San Jose,26,1995,25,1444,58,47.2,16.0,18,73,4,7,17,4,1.12,26,32,-6,-0.37,+0.24,22.1,31.9,-9.8,-0.61,-0.27,Matches
669,670,Justin Rennicks,us USA,FW,New England,22,1999,17,780,46,25.5,8.7,11,66,0,6,9,10,1.29,11,13,-2,-0.23,-0.19,11.4,11.6,-0.2,-0.03,+0.32,Matches
670,671,Ben Reveno,us USA,FW,New England,22,1999,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,+0.09,0.0,0.0,0.0,-4.04,-3.78,Matches
671,672,Andrés Reyes,co COL,DF,NY Red Bulls,22,1999,12,695,58,22.7,7.7,8,76,4,4,22,3,1.38,13,8,+5,+0.65,+0.50,8.2,6.3,+1.9,+0.24,+0.07,Matches
672,673,Yordy Reyna,pe PER,"MF,FW",Charlotte,28,1993,19,845,44,27.6,9.4,10,72,0,9,14,4,1.00,14,21,-7,-0.75,-0.70,11.7,15.2,-3.4,-0.37,-0.41,Matches
