,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
646,647,Kevin Stewart,jm JAM,MF,Blackpool,27,1993,9.7,0,4,1,25.0,0.41,0.10,0.00,0.00,19.6,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
647,648,Michael Stickland,eng ENG,DF,Reading,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
648,649,Jordan Storey,eng ENG,DF,Preston,23,1997,16.1,0,7,3,42.9,0.44,0.19,0.00,0.00,14.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
649,650,Jack Stretton,eng ENG,FW,Derby County,19,2001,3.3,1,4,2,50.0,1.22,0.61,0.25,0.50,13.6,0,0,0,0.7,0.7,0.16,+0.3,+0.3,Matches
650,651,Callum Styles,hu HUN,"MF,FW",Barnsley,21,2000,38.8,3,52,16,30.8,1.34,0.41,0.06,0.19,21.2,4,0,0,4.1,4.1,0.08,-1.1,-1.1,Matches
651,652,Ivan Šunjić,hr CRO,MF,Birmingham City,24,1996,34.1,3,25,6,24.0,0.73,0.18,0.12,0.50,23.2,0,0,0,2.4,2.4,0.10,+0.6,+0.6,Matches
652,653,Sam Surridge,eng ENG,FW,Stoke City,23,1998,7.7,2,24,12,50.0,3.10,1.55,0.08,0.17,13.2,0,0,1,3.8,3.0,0.13,-1.8,-1.0,Matches
653,654,Sam Surridge,eng ENG,FW,Nott'ham Forest,23,1998,6.9,7,28,15,53.6,4.04,2.17,0.25,0.47,10.6,0,0,0,6.6,6.6,0.23,+0.4,+0.4,Matches
654,655,John Swift,eng ENG,MF,Reading,26,1995,36.5,11,75,27,36.0,2.06,0.74,0.11,0.30,23.6,23,3,3,8.1,5.7,0.08,+2.9,+2.3,Matches
655,656,Sammie Szmodics,eng ENG,"MF,FW",P'borough Utd,25,1995,26.5,6,52,25,48.1,1.96,0.94,0.12,0.24,17.1,0,0,0,7.1,7.1,0.14,-1.1,-1.1,Matches
656,657,George Tanner,eng ENG,"DF,FW",Bristol City,21,1999,10.7,1,4,1,25.0,0.37,0.09,0.25,1.00,18.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
657,658,Fabio Tavares,eng ENG,FW,Coventry City,20,2001,1.0,1,3,1,33.3,3.00,1.00,0.33,1.00,17.3,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
658,659,Marcus Tavernier,eng ENG,"MF,DF",Middlesbrough,22,1999,43.4,5,86,28,32.6,1.98,0.65,0.06,0.18,20.7,13,0,0,7.4,7.4,0.09,-2.4,-2.4,Matches
659,660,Caleb Taylor,eng ENG,DF,West Brom,18,2003,0.3,0,2,0,0.0,6.21,0.00,0.00,,7.4,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
660,661,Jack Taylor,ie IRL,MF,P'borough Utd,23,1998,28.6,3,42,11,26.2,1.47,0.38,0.07,0.27,22.3,0,0,0,2.5,2.5,0.06,+0.5,+0.5,Matches
661,662,Joseph Taylor,eng ENG,"FW,MF",P'borough Utd,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
662,663,Lyle Taylor,ms MSR,FW,Nott'ham Forest,31,1990,8.8,3,15,6,40.0,1.70,0.68,0.13,0.33,16.0,0,1,1,3.0,2.2,0.15,0.0,-0.2,Matches
663,664,Lyle Taylor,ms MSR,FW,Birmingham City,31,1990,13.7,5,30,10,33.3,2.20,0.73,0.10,0.30,18.8,1,2,2,4.3,2.8,0.09,+0.7,+0.2,Matches
664,665,Neil Taylor,wls WAL,DF,Middlesbrough,32,1989,12.3,0,4,2,50.0,0.33,0.16,0.00,0.00,14.6,0,0,0,0.9,0.9,0.23,-0.9,-0.9,Matches
665,666,Kenny Tete,nl NED,DF,Fulham,25,1995,14.9,2,10,6,60.0,0.67,0.40,0.20,0.33,17.7,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
666,667,Dejan Tetek,rs SRB,"DF,MF",Reading,18,2002,5.0,0,1,0,0.0,0.20,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
667,668,George Thomas,wls WAL,"MF,FW",QPR,24,1997,6.8,0,16,7,43.8,2.36,1.03,0.00,0.00,15.9,1,0,0,2.4,2.4,0.15,-2.4,-2.4,Matches
668,669,Sorba Thomas,wls WAL,"MF,DF",Huddersfield,21,1999,40.4,3,36,10,27.8,0.89,0.25,0.08,0.30,19.6,5,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
669,670,Terell Thomas,lc LCA,DF,Reading,25,1995,1.7,0,1,0,0.0,0.59,0.00,0.00,,19.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
670,671,Ben Thompson,eng ENG,MF,Millwall,25,1995,0.5,0,1,0,0.0,1.96,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
671,672,Cameron Thompson,eng ENG,FW,Barnsley,21,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
672,673,Jordan Thompson,nir NIR,MF,Stoke City,24,1997,11.1,0,8,1,12.5,0.72,0.09,0.00,0.00,22.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
673,674,Liam Thompson,eng ENG,MF,Derby County,19,2002,16.9,0,3,1,33.3,0.18,0.06,0.00,0.00,30.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
674,675,Nathan Thompson,eng ENG,DF,P'borough Utd,30,1990,27.0,1,15,4,26.7,0.56,0.15,0.07,0.25,14.6,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
675,676,Jordan Thorniley,eng ENG,DF,Blackpool,24,1996,11.7,0,6,2,33.3,0.51,0.17,0.00,0.00,10.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
676,677,Harry Toffolo,eng ENG,"DF,MF",Huddersfield,25,1995,39.6,6,28,11,39.3,0.71,0.28,0.21,0.55,15.3,0,0,0,3.7,3.7,0.13,+2.3,+2.3,Matches
677,678,Joe Tomlinson,eng ENG,"DF,MF",P'borough Utd,21,2000,3.3,0,4,2,50.0,1.21,0.61,0.00,0.00,25.1,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
678,679,Ryley Towler,eng ENG,DF,Bristol City,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
679,680,Conor Townsend,eng ENG,"DF,MF",West Brom,28,1993,41.9,0,19,6,31.6,0.45,0.14,0.00,0.00,16.7,1,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
680,681,Mark Travers,ie IRL,GK,Bournemouth,22,1999,45.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
681,682,Lewis Travis,eng ENG,MF,Blackburn,23,1997,44.3,1,16,2,12.5,0.36,0.05,0.06,0.50,25.5,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
682,683,Connal Trueman,eng ENG,GK,Birmingham City,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
683,684,Rayhaan Tulloch,eng ENG,FW,West Brom,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
684,685,Oliver Turton,eng ENG,"DF,MF",Huddersfield,28,1992,28.2,0,12,2,16.7,0.42,0.07,0.00,0.00,14.5,0,0,0,1.6,1.6,0.14,-1.6,-1.6,Matches
685,686,Josh Tymon,eng ENG,"DF,FW",Stoke City,22,1999,42.8,1,32,10,31.3,0.75,0.23,0.03,0.10,21.6,0,0,0,2.8,2.8,0.09,-1.8,-1.8,Matches
686,687,Filip Uremović,hr CRO,DF,Sheffield Utd,24,1997,2.2,0,1,0,0.0,0.46,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
687,688,Jack Vale,wls WAL,FW,Blackburn,20,2001,0.2,0,2,0,0.0,8.57,0.00,0.00,,8.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
