,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
51,52,Amari'i Bell,jm JAM,"DF,FW",Luton Town,27,1994,39.8,50,1.26,37,6,2,2,2,1,5,0.13,3,0,0,0,1,1,Matches
52,53,Sam Bell,eng ENG,DF,Bristol City,19,2002,2.7,4,1.49,2,0,0,1,1,0,1,0.37,1,0,0,0,0,0,Matches
53,54,Jobe Bellingham,eng ENG,"MF,DF",Birmingham City,15,2005,0.4,2,4.50,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,55,Ayman Benarous,eng ENG,"MF,DF",Bristol City,18,2003,6.7,13,1.94,11,0,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches
55,56,Steven Benda,de GER,GK,P'borough Utd,22,1998,9.0,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,57,Steven Benda,de GER,GK,Swansea City,22,1998,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,58,Mason Bennett,eng ENG,"FW,MF",Millwall,25,1996,15.4,40,2.60,23,0,6,1,8,2,6,0.39,2,0,0,1,3,0,Matches
58,59,Ryan Bennett,eng ENG,DF,Swansea City,31,1990,16.0,14,0.88,14,0,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
59,60,Josh Benson,eng ENG,MF,Barnsley,21,1999,15.1,38,2.51,21,13,0,1,2,1,2,0.13,2,0,0,0,0,0,Matches
60,61,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,37.3,7,0.19,3,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,62,Sander Berge,no NOR,MF,Sheffield Utd,23,1998,23.1,54,2.33,44,0,7,1,1,1,5,0.22,4,0,0,1,0,0,Matches
62,63,Di'Shon Bernard,eng ENG,DF,Hull City,20,2000,23.8,19,0.80,16,1,1,0,1,0,2,0.08,2,0,0,0,0,0,Matches
63,64,Luke Berry,eng ENG,MF,Luton Town,29,1992,7.9,15,1.91,10,1,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
64,65,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46.0,3,0.07,1,2,0,0,0,0,1,0.02,0,1,0,0,0,0,Matches
