,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,0,0,0,2,1,2,0,0,0,0,0,0,3,5,5,50.0,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,50.0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,5,0,0,11,4,0,34,2,8,0,0,0,35,6,5,54.5,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,0,0,3,0,0,0,0,0,0,0,0,6,2,4,33.3,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,2,0,0,6,1,0,8,0,3,0,0,0,7,3,1,75.0,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,5,1,1,29,34,13,97,15,19,1,0,0,102,9,12,42.9,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,6,0,0,20,7,0,1,5,13,0,0,0,44,5,8,38.5,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,100.0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,3,0,0,6,4,0,9,1,2,0,0,0,9,3,5,37.5,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,1,0,0,1,1,0,0,2,2,0,0,0,16,4,3,57.1,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,4,0,0,17,4,1,0,29,11,0,0,2,104,33,14,70.2,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,0,0,0,1,1,0,0,1,2,0,0,0,11,3,0,100.0,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,6,0,0,27,9,1,1,45,12,0,0,0,99,48,54,47.1,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,2,0,0,11,8,0,0,9,4,0,0,0,22,5,1,83.3,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,66.7,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,7,1,1,52,96,15,17,9,10,1,0,0,56,91,79,53.5,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,4,0,0,19,34,1,26,13,5,1,0,0,75,10,23,30.3,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,6,0,0,31,34,1,51,9,8,0,0,0,91,0,14,0.0,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,3,1,0,8,18,1,1,2,2,0,0,0,19,7,4,63.6,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,1,0,0,5,12,1,6,4,8,0,0,0,24,1,7,12.5,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,1,0,0,10,9,1,14,12,11,0,0,0,41,9,11,45.0,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,4,0,0,28,6,0,1,41,14,0,1,0,102,47,22,68.1,Matches
59,60,Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,0,0,0,3,10,0,15,8,7,0,0,0,31,4,8,33.3,Matches
60,61,Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,5,0,0,29,23,3,45,31,49,1,0,0,90,17,23,42.5,Matches
61,62,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,1,0,0,0,3,0,0,1,0,0,0,0,11,3,0,100.0,Matches
62,63,Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,2,0,0,11,25,0,56,18,4,0,0,0,94,6,4,60.0,Matches
63,64,Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
64,65,Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,3,0,0,27,16,1,11,8,13,0,0,0,59,3,5,37.5,Matches
65,66,Beto,gw GNB,FW,Portimonense,23,1998,3.0,1,0,0,5,5,5,3,0,0,0,0,0,9,10,7,58.8,Matches
66,67,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,2,0,0,22,24,11,15,6,6,0,0,0,49,5,15,25.0,Matches
67,68,Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,4,0,0,28,7,5,0,35,35,0,0,0,113,75,44,63.0,Matches
68,69,Kiko Bondoso,pt POR,FW,FC Vizela,25,1995,30.2,2,0,0,11,70,6,44,16,18,1,0,0,161,13,40,24.5,Matches
69,70,Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,1,1,0,5,5,1,0,9,6,0,1,0,27,5,8,38.5,Matches
70,71,Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,10,1,1,32,20,0,0,35,11,0,1,0,111,38,15,71.7,Matches
71,72,Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
72,73,Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,8,1,1,27,34,3,51,49,35,0,0,0,139,46,28,62.2,Matches
73,74,Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,7,0,0,41,47,2,2,28,40,0,0,0,129,13,19,40.6,Matches
74,75,Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,1,0,0,10,6,2,0,0,1,0,0,0,4,14,7,66.7,Matches
75,76,Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,4,0,0,0,6,0,0,3,1,0,0,0,49,10,0,100.0,Matches
76,77,Victor Braga,br BRA,GK,Arouca,29,1992,23.1,0,1,0,1,8,0,0,0,0,0,0,0,42,5,0,100.0,Matches
77,78,Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,4,1,0,25,22,0,6,17,15,0,0,0,65,11,5,68.8,Matches
78,79,Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,3,1,1,15,5,0,2,2,5,0,0,0,20,3,3,50.0,Matches
79,80,Brunão,br BRA,MF,Arouca,24,1997,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
80,81,Bruninho,br BRA,FW,Arouca,22,1999,3.3,1,0,0,11,10,5,1,1,2,0,0,0,6,12,17,41.4,Matches
81,82,David Bruno,pt POR,DF,Estoril,29,1992,13.5,4,0,0,14,7,0,45,16,8,0,0,0,82,7,11,38.9,Matches
82,83,Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,4,0,0,10,17,1,26,3,7,0,0,0,26,3,7,30.0,Matches
83,84,André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,5,0,0,48,112,3,64,15,12,0,0,0,151,6,18,25.0,Matches
