,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
74,75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,,,,,,,,,,,,,,,Matches
75,76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,199,7,11,89,100,47,198,6,14,42.9,14,13,161,36,Matches
76,77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,697,28,168,388,147,10,697,7,10,70.0,12,5,396,22,Matches
77,78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,600,9,42,189,377,45,595,28,70,40.0,39,21,448,79,Matches
78,79,Miguel Berry,es ESP,"FW,MF",D.C. United,24,1997,7.9,167,5,11,85,71,26,167,1,10,10.0,14,6,109,23,Matches
79,80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,297,12,21,133,145,48,297,9,22,40.9,32,18,198,49,Matches
80,81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,47,41,46,1,0,0,47,0,0,,0,0,23,0,Matches
81,82,Nick Besler,us USA,"MF,DF",Real Salt Lake,28,1993,2.8,156,6,41,100,16,4,156,0,0,,3,2,103,3,Matches
82,83,Victor Bezerra,us USA,"FW,DF",Chicago Fire,21,2000,0.5,17,0,1,11,5,0,17,0,0,,2,0,11,1,Matches
83,84,David Bingham,us USA,GK,Portland Timbers,32,1989,2.0,77,54,76,1,0,0,77,0,0,,0,0,26,0,Matches
84,85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,1720,236,906,733,88,59,1720,2,2,100.0,9,1,959,13,Matches
85,86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,793,79,375,388,37,12,793,2,2,100.0,5,2,523,4,Matches
86,87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,1393,173,705,629,70,23,1393,7,13,53.8,10,1,850,2,Matches
87,88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34.0,1027,906,1022,4,1,0,1027,0,0,,2,0,320,0,Matches
88,89,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,33,1988,20.2,1212,8,87,563,571,84,1211,19,42,45.2,48,19,975,120,Matches
