,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
624,625,Vitinha,pt POR,FW,Braga,21,2000,24,1473,61,48.1,16.4,16,73,4,8,38,0,2.00,29,14,+15,+0.92,+0.58,28.0,18.2,+9.8,+0.60,+0.25,Matches
625,626,Steven Vitória,ca CAN,DF,Moreirense,34,1987,18,1424,79,46.5,15.8,16,87,13,2,14,6,0.94,13,20,-7,-0.44,+0.16,18.4,20.6,-2.2,-0.14,-0.20,Matches
626,627,Odisseas Vlachodimos,gr GRE,GK,Benfica,27,1994,32,2880,90,94.1,32.0,32,90,32,0,,0,2.13,74,30,+44,+1.37,-0.63,66.5,31.2,+35.3,+1.10,-1.63,Matches
627,628,Ilija Vukotić,me MNE,MF,Boavista,22,1999,20,808,40,26.4,9.0,9,68,0,11,18,4,1.14,11,16,-5,-0.56,-0.24,7.5,12.6,-5.0,-0.57,-0.30,Matches
628,629,Luca Waldschmidt,de GER,"FW,MF",Benfica,25,1996,2,140,70,4.6,1.6,2,70,0,0,,0,3.00,4,1,+3,+1.93,+0.54,5.0,1.5,+3.5,+2.22,+1.07,Matches
629,630,Walterson,br BRA,"FW,MF",Moreirense,26,1994,25,1425,57,46.6,15.8,17,69,1,8,33,2,0.80,10,23,-13,-0.82,-0.55,14.4,21.7,-7.3,-0.46,-0.80,Matches
630,631,Julian Weigl,de GER,MF,Benfica,25,1995,29,2413,83,78.9,26.8,27,86,23,2,39,2,2.03,63,26,+37,+1.38,-0.15,56.8,25.9,+30.9,+1.15,-0.22,Matches
631,632,Wendell,br BRA,DF,Porto,28,1993,19,951,50,31.1,10.6,10,78,4,9,19,7,2.74,29,9,+20,+1.89,+0.02,30.4,7.9,+22.5,+2.12,+0.47,Matches
632,633,Willyan,br BRA,"DF,MF",Portimonense,26,1995,26,2131,82,69.6,23.7,26,82,18,0,,0,1.12,19,27,-8,-0.34,+0.24,21.5,33.2,-11.7,-0.49,+0.18,Matches
633,634,Bruno Wilson,pt POR,DF,FC Vizela,24,1996,17,1422,84,46.5,15.8,16,89,15,1,1,3,0.94,17,25,-8,-0.51,+0.21,20.7,25.8,-5.1,-0.32,+0.12,Matches
634,635,Cláudio Winck,br BRA,DF,Marítimo,27,1994,30,2572,86,84.1,28.6,30,86,24,0,,0,1.20,35,37,-2,-0.07,+0.48,30.5,45.0,-14.5,-0.51,+0.43,Matches
635,636,Xadas,pt POR,"MF,FW",Marítimo,23,1997,25,1316,53,43.0,14.6,15,73,2,10,22,1,0.84,15,19,-4,-0.27,-0.22,12.6,23.3,-10.7,-0.73,-0.28,Matches
636,637,António Xavier,pt POR,"FW,MF",Estoril,29,1992,21,652,31,21.3,7.2,7,65,0,14,14,2,0.95,8,11,-3,-0.41,-0.26,6.8,10.9,-4.1,-0.57,-0.21,Matches
637,638,Roman Yaremchuk,ua UKR,FW,Benfica,25,1995,23,1068,46,34.9,11.9,13,63,0,10,25,5,2.00,23,10,+13,+1.10,-0.49,28.0,11.8,+16.2,+1.37,+0.26,Matches
638,639,Hugues Zagbayou,ci CIV,MF,FC Vizela,31,1990,9,386,43,12.6,4.3,6,62,0,3,5,2,0.89,4,10,-6,-1.40,-0.89,2.3,9.5,-7.2,-1.68,-1.49,Matches
639,640,Ivan Zlobin,ru RUS,GK,Famalicão,24,1997,1,90,90,2.9,1.0,1,90,1,0,,20,3.00,3,2,+1,+1.00,+1.21,2.7,0.8,+1.9,+1.88,+1.86,Matches
640,641,Kévin Zohi,ml MLI,FW,FC Vizela,24,1996,25,826,33,27.0,9.2,8,61,1,17,20,4,1.12,11,17,-6,-0.65,-0.05,11.6,17.8,-6.2,-0.67,-0.39,Matches
641,642,Emilijus Zubas,lt LTU,GK,Arouca,31,1990,1,90,90,2.9,1.0,1,90,1,0,,20,1.00,0,0,0,0.00,+0.73,1.3,0.6,+0.7,+0.68,+1.24,Matches
