,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
453,454,Marin Šverko,hr CRO,DF,Groningen,23,1998,11.1,0,9,1,11.1,0.81,0.09,0.00,0.00,13.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
454,455,Moussa Sylla,fr FRA,FW,Utrecht,21,1999,15.3,6,23,11,47.8,1.51,0.72,0.26,0.55,15.3,0,0,0,4.0,4.0,0.18,+2.0,+2.0,Matches
455,456,Adrian Szöke,hu HUN,"FW,MF",Heracles Almelo,23,1998,1.6,0,2,1,50.0,1.25,0.62,0.00,0.00,21.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
456,457,Mohamed Taabouni,nl NED,FW,AZ Alkmaar,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
457,458,Dušan Tadić,rs SRB,FW,Ajax,32,1988,32.6,13,67,25,37.3,2.06,0.77,0.13,0.36,19.1,9,4,7,14.3,8.9,0.13,-1.3,+0.1,Matches
458,459,Nicolás Tagliafico,ar ARG,DF,Ajax,28,1992,10.4,2,13,4,30.8,1.25,0.38,0.15,0.50,16.3,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
459,460,Anas Tahiri,be BEL,MF,Heerenveen,26,1995,11.0,1,10,2,20.0,0.91,0.18,0.10,0.50,21.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
460,461,Oussama Tannane,ma MAR,"MF,FW",Vitesse,27,1994,2.3,0,9,3,33.3,3.91,1.30,0.00,0.00,25.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
461,462,Elayis Tavsan,nl NED,"FW,MF",NEC Nijmegen,20,2001,24.9,5,64,30,46.9,2.57,1.20,0.08,0.17,19.1,2,0,0,6.6,6.6,0.10,-1.6,-1.6,Matches
462,463,Kenneth Taylor,nl NED,MF,Ajax,19,2002,6.5,1,10,3,30.0,1.55,0.46,0.10,0.33,17.1,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
463,464,Mike te Wierik,nl NED,DF,Groningen,29,1992,23.8,0,3,0,0.0,0.13,0.00,0.00,,31.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
464,465,Slobodan Tedić,rs SRB,FW,Zwolle,21,2000,13.2,0,42,8,19.0,3.17,0.60,0.00,0.00,13.0,0,0,0,3.8,3.8,0.09,-3.8,-3.8,Matches
465,466,Tesfaldet Tekie,se SWE,MF,Fortuna Sittard,24,1997,23.5,1,22,7,31.8,0.94,0.30,0.05,0.14,26.0,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
466,467,Hidde ter Avest,nl NED,DF,Utrecht,24,1997,20.4,1,14,5,35.7,0.69,0.24,0.07,0.20,15.7,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
467,468,Jasper Ter Heide,nl NED,"MF,DF",Cambuur,22,1999,5.3,0,2,0,0.0,0.38,0.00,0.00,,7.8,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
468,469,Jordan Teze,nl NED,DF,PSV Eindhoven,21,1999,22.7,1,15,4,26.7,0.66,0.18,0.07,0.25,18.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
469,470,Ryan Thomas,nz NZL,"MF,FW",PSV Eindhoven,26,1994,2.2,1,3,1,33.3,1.36,0.45,0.33,1.00,14.7,0,0,0,0.7,0.7,0.22,+0.3,+0.3,Matches
470,471,Lennart Thy,de GER,"FW,MF",Sparta R'dam,29,1992,26.5,5,56,22,39.3,2.11,0.83,0.09,0.23,14.8,0,0,1,7.1,6.3,0.11,-2.1,-1.3,Matches
471,472,Guus Til,nl NED,MF,Feyenoord,23,1997,28.6,15,68,35,51.5,2.37,1.22,0.22,0.43,15.0,0,0,0,10.8,10.8,0.16,+4.2,+4.2,Matches
472,473,Jurrien Timber,nl NED,DF,Ajax,20,2001,28.3,3,23,9,39.1,0.81,0.32,0.13,0.33,15.5,0,0,0,2.3,2.3,0.10,+0.7,+0.7,Matches
473,474,Quinten Timber,nl NED,MF,Utrecht,20,2001,26.1,2,39,14,35.9,1.49,0.54,0.05,0.14,21.3,0,0,0,3.3,3.3,0.09,-1.3,-1.3,Matches
474,475,Mickaël Tirpan,be BEL,DF,Fortuna Sittard,27,1993,22.0,0,8,3,37.5,0.36,0.14,0.00,0.00,16.9,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
475,476,Marco Tol,nl NED,DF,Cambuur,23,1998,13.6,2,3,2,66.7,0.22,0.15,0.67,1.00,6.6,0,0,0,0.9,0.9,0.29,+1.1,+1.1,Matches
476,477,Jens Toornstra,nl NED,"MF,FW",Feyenoord,32,1989,19.9,3,45,9,20.0,2.27,0.45,0.07,0.33,21.2,3,0,0,2.9,2.9,0.06,+0.1,+0.1,Matches
477,478,Ahmed Touba,dz ALG,DF,RKC Waalwijk,23,1998,27.7,0,17,3,17.6,0.61,0.11,0.00,0.00,17.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
478,479,Gernot Trauner,at AUT,DF,Feyenoord,29,1992,29.2,0,19,3,15.8,0.65,0.10,0.00,0.00,10.6,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
479,480,Sondre Tronstad,no NOR,MF,Vitesse,25,1995,29.4,3,35,9,25.7,1.19,0.31,0.09,0.33,23.3,0,0,0,1.8,1.8,0.05,+1.2,+1.2,Matches
480,481,Giovanni Troupée,nl NED,DF,Twente,23,1998,18.9,0,4,0,0.0,0.21,0.00,0.00,,13.3,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
481,482,Turan Tuzlacik,nl NED,"DF,MF",Go Ahead Eag,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
482,483,Manfred Ugalde,cr CRC,"FW,MF",Twente,19,2002,7.2,3,27,7,25.9,3.74,0.97,0.11,0.43,12.8,0,0,0,3.3,3.3,0.12,-0.3,-0.3,Matches
483,484,Roberts Uldriķis,lv LVA,FW,Cambuur,23,1998,17.1,7,36,15,41.7,2.10,0.88,0.19,0.47,13.2,0,0,0,6.0,6.0,0.17,+1.0,+1.0,Matches
484,485,Lars Unnerstall,de GER,GK,Twente,31,1990,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
485,486,Etienne Vaessen,nl NED,GK,RKC Waalwijk,26,1995,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
486,487,Amourrichio Van Axel Dongen,nl NED,FW,Ajax,16,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
487,488,Dave Van Den Berg,nl NED,MF,Utrecht,21,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
488,489,Dario Van den Buijs,be BEL,DF,RKC Waalwijk,25,1995,11.7,0,4,1,25.0,0.34,0.09,0.00,0.00,21.1,2,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
489,490,Simon Van Duivenbooden,nl NED,MF,Vitesse,19,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
490,491,Syb Van Ottele,nl NED,DF,Heerenveen,19,2002,2.2,0,1,0,0.0,0.45,0.00,0.00,,73.3,1,0,0,0.0,0.0,0.01,0.0,0.0,Matches
