,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
72,73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,24,1,12,12,2,0,24,1,1,100.0,0,1,15,0,Matches
73,74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,1130,1040,1128,2,0,0,1130,1,1,100.0,1,0,570,0,Matches
74,75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,787,25,62,413,328,74,787,57,88,64.8,142,78,602,90,Matches
75,76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,81,3,7,40,35,12,81,2,3,66.7,8,5,65,18,Matches
76,77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,1112,29,156,510,460,77,1112,15,27,55.6,43,26,705,131,Matches
77,78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,536,437,533,3,0,0,536,0,0,,0,0,223,0,Matches
78,79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,169,15,33,106,31,1,169,1,3,33.3,6,7,87,0,Matches
79,80,Bryan,es ESP,"MF,FW",Valencia,20,2001,8.4,374,6,55,108,221,29,374,17,35,48.6,48,11,239,44,Matches
80,81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,608,21,48,267,301,91,606,11,31,35.5,62,28,415,89,Matches
81,82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,3077,81,545,2050,494,23,3077,21,26,80.8,20,15,2259,31,Matches
82,83,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches
83,84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,201,16,81,109,13,2,201,0,0,,1,0,117,1,Matches
84,85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,2320,419,1262,980,90,27,2320,1,5,20.0,16,3,1399,4,Matches
85,86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,394,27,175,190,36,4,394,1,1,100.0,4,1,257,5,Matches
86,87,Cala,es ESP,DF,Cádiz,31,1989,10.5,399,68,239,154,9,7,399,1,1,100.0,3,3,186,2,Matches
87,88,Calderón,es ESP,DF,Betis,21,2000,0.7,51,2,12,20,19,1,51,0,0,,1,0,36,3,Matches
88,89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,754,81,379,363,19,4,754,4,5,80.0,8,1,469,2,Matches
89,90,Víctor Camarasa,es ESP,"MF,FW",Betis,27,1994,1.2,68,3,16,38,14,2,68,0,1,0.0,5,0,45,3,Matches
90,91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,1012,34,233,570,222,22,1012,22,32,68.8,16,10,761,28,Matches
91,92,José Campaña,es ESP,MF,Levante,28,1993,15.8,1017,32,216,564,255,18,1017,21,35,60.0,21,10,680,40,Matches
92,93,Sergio Canales,es ESP,"FW,MF",Betis,30,1991,31.0,2094,21,247,1103,772,70,2094,29,57,50.9,50,41,1693,131,Matches
93,94,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,6.8,192,4,22,75,99,28,192,8,15,53.3,16,8,143,33,Matches
94,95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0.0,3,0,1,1,1,0,3,0,0,,0,0,3,1,Matches
95,96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1574,85,357,1005,236,15,1574,41,55,74.5,23,14,1126,26,Matches
96,97,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,17.2,943,61,333,414,207,13,943,11,24,45.8,28,14,437,17,Matches
97,98,Cárdenas,es ESP,GK,Levante,24,1997,24.0,800,706,793,8,0,0,800,0,0,,0,0,301,0,Matches
98,99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,5,0,1,3,1,0,5,0,0,,0,0,4,0,Matches
99,100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,2488,373,1407,1017,68,36,2488,2,4,50.0,14,2,1808,3,Matches
100,101,Carmona,es ESP,DF,Sevilla,19,2002,0.3,15,2,9,4,2,1,15,1,1,100.0,0,0,5,0,Matches
101,102,Yannick Carrasco,be BEL,"FW,MF",Atlético Madrid,27,1993,28.7,1551,28,216,569,792,139,1549,88,136,64.7,77,52,1037,152,Matches
102,103,Guido Carrillo,ar ARG,FW,Elche,30,1991,13.0,446,29,56,234,163,39,446,8,14,57.1,34,15,313,43,Matches
103,104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1351,73,399,524,440,36,1351,10,18,55.6,24,9,900,56,Matches
104,105,William Carvalho,pt POR,MF,Betis,29,1992,20.1,1535,32,230,1036,290,40,1535,48,70,68.6,23,27,1167,34,Matches
105,106,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,2350,156,709,1294,367,29,2350,19,27,70.4,33,14,1597,26,Matches
106,107,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,516,433,514,2,0,0,516,0,0,,1,0,181,0,Matches
107,108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36.0,2046,296,1136,862,57,42,2046,5,5,100.0,9,6,1230,6,Matches
108,109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,309,7,68,172,75,9,309,5,11,45.5,10,1,246,8,Matches
109,110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20.0,1052,15,203,458,401,48,1052,20,39,51.3,46,21,591,64,Matches
110,111,Chapela,es ESP,"MF,FW",Cádiz,22,1999,4.4,127,7,41,52,39,5,127,3,5,60.0,8,3,65,8,Matches
111,112,Chema,es ESP,MF,Getafe,29,1992,0.5,17,1,5,10,2,0,17,0,0,,0,0,7,1,Matches
112,113,Denis Cheryshev,ru RUS,"MF,FW",Valencia,30,1990,6.3,247,8,43,89,121,24,247,6,11,54.5,16,3,124,25,Matches
113,114,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,22,1999,14.8,665,4,71,236,376,108,665,67,126,53.2,47,20,511,79,Matches
