,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
55,56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,78,2.38,50,18,2,2,2,4,3,0.09,1,2,0,0,0,0,Matches
56,57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,58,Bryan,es ESP,"FW,MF",Tottenham,20,2001,1.0,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches
58,59,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24,1996,21.1,82,3.89,64,3,7,3,5,0,10,0.47,7,0,2,1,0,0,Matches
59,60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,7,0.44,6,0,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
60,61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,10,0.88,6,0,0,1,0,3,0,0.00,0,0,0,0,0,0,Matches
61,62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,12,1.05,6,1,1,2,1,1,3,0.26,0,0,0,1,1,1,Matches
63,64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,13,1.77,10,0,1,1,0,1,3,0.41,3,0,0,0,0,0,Matches
65,66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,30,2.10,22,0,2,1,4,1,4,0.28,3,0,0,0,1,0,Matches
66,67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,125,3.49,96,1,8,16,2,2,18,0.50,13,1,1,3,0,0,Matches
68,69,Sergi Canós,es ESP,"DF,FW",Brentford,24,1997,23.1,38,1.64,29,3,3,2,0,1,5,0.22,3,1,0,1,0,0,Matches
69,70,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,4.9,10,2.04,8,0,0,0,1,1,1,0.20,1,0,0,0,0,0,Matches
70,71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,65,1.73,45,7,6,2,5,0,6,0.16,3,2,1,0,0,0,Matches
71,72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,29,1.23,25,2,0,0,0,2,1,0.04,1,0,0,0,0,0,Matches
72,73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,27,2.37,22,0,1,0,2,2,0,0.00,0,0,0,0,0,0,Matches
73,74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,8,0.30,6,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
74,75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0,Matches
75,76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,14,0.87,11,0,0,1,1,1,1,0.06,1,0,0,0,0,0,Matches
77,78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,12,1.30,10,0,0,1,0,1,1,0.11,1,0,0,0,0,0,Matches
79,80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,18,2.99,10,7,0,1,0,0,1,0.17,0,1,0,0,0,0,Matches
81,82,Chiquinho,pt POR,"DF,FW",Wolves,21,2000,2.3,10,4.33,6,1,1,0,2,0,3,1.30,3,0,0,0,0,0,Matches
82,83,Hamza Choudhury,eng ENG,"DF,MF",Leicester City,23,1997,3.2,3,0.95,0,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
83,84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,9,0.54,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,85,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,17,2003,3.3,5,1.49,5,0,0,0,0,0,2,0.59,2,0,0,0,0,0,Matches
85,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,8,0.71,7,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
86,87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,36,2.00,22,10,0,1,3,0,3,0.17,2,1,0,0,0,0,Matches
