,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
58,59,Esmir Bajraktarevic,,"MF,FW",New England,,,1.4,43,53,81.1,593,39,27,31,87.1,16,19,84.2,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,2,Matches
59,60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,13,21,61.9,154,31,11,11,100.0,1,4,25.0,1,4,25.0,0,0.1,0.1,-0.1,2,0,0,0,0,Matches
60,61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,196,238,82.4,3948,1272,75,81,92.6,83,97,85.6,34,48,70.8,0,0.3,0.2,-0.3,3,24,3,0,21,Matches
61,62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,119,150,79.3,1834,520,68,78,87.2,34,42,81.0,12,17,70.6,0,0.6,0.4,-0.6,6,13,3,1,13,Matches
62,63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,149,252,59.1,1850,369,93,142,65.5,38,60,63.3,4,10,40.0,0,0.4,0.3,-0.4,7,15,3,0,13,Matches
63,64,Álvaro Barreal,ar ARG,"DF,MF",FC Cincinnati,21,2000,24.4,877,1210,72.5,15140,5305,442,504,87.7,307,389,78.9,108,228,47.4,5,4.5,5.8,+0.5,41,66,37,18,67,Matches
64,65,Michael Barrios,co COL,"FW,MF",Colorado Rapids,30,1991,21.2,351,550,63.8,5999,1638,178,225,79.1,126,183,68.9,38,91,41.8,6,5.9,6.1,+0.1,38,26,36,15,43,Matches
65,66,Ethan Bartlow,us USA,"DF,MF",Houston Dynamo,21,2000,10.1,414,475,87.2,8510,2991,119,127,93.7,229,238,96.2,62,101,61.4,0,0.1,0.2,-0.1,2,23,1,0,16,Matches
66,67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,94,120,78.3,1384,447,54,59,91.5,34,43,79.1,4,10,40.0,0,0.3,0.3,-0.3,2,3,3,0,6,Matches
67,68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,1147,1328,86.4,23239,8037,364,401,90.8,630,689,91.4,151,217,69.6,0,0.1,0.7,-0.1,4,52,2,1,56,Matches
68,69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
69,70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,838,1143,73.3,13010,5586,440,545,80.7,322,412,78.2,49,73,67.1,6,4.0,5.0,+2.0,38,95,54,9,155,Matches
70,71,Steven Beitashour,ir IRN,"DF,MF",Colorado Rapids,34,1987,14.6,516,644,80.1,9026,3267,216,243,88.9,262,312,84.0,36,70,51.4,2,0.7,0.7,+1.3,2,38,4,0,35,Matches
71,72,Jon Bell,us USA,DF,New England,24,1997,11.7,432,543,79.6,8499,3200,127,142,89.4,256,294,87.1,44,84,52.4,0,0.1,0.3,-0.1,2,23,4,2,20,Matches
72,73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,523,664,78.8,8377,2108,277,318,87.1,179,210,85.2,43,68,63.2,6,3.3,2.4,+2.7,34,49,23,6,61,Matches
73,74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,240,329,72.9,4559,1910,96,110,87.3,107,142,75.4,32,65,49.2,2,1.0,1.1,+1.0,12,20,13,3,33,Matches
74,75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Matches
75,76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,88,133,66.2,1189,183,59,81,72.8,17,26,65.4,5,7,71.4,0,0.5,0.5,-0.5,7,3,2,0,2,Matches
76,77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,418,566,73.9,8708,2517,162,185,87.6,172,218,78.9,78,136,57.4,0,0.5,1.1,-0.5,8,53,9,0,42,Matches
77,78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,287,441,65.1,5125,1603,143,176,81.3,93,132,70.5,40,90,44.4,2,2.3,3.1,-0.3,24,22,34,3,46,Matches
78,79,Miguel Berry,es ESP,"FW,MF",D.C. United,24,1997,7.9,74,102,72.5,908,106,47,54,87.0,19,28,67.9,1,2,50.0,0,0.8,0.8,-0.8,6,2,1,0,1,Matches
79,80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,114,169,67.5,1632,316,61,79,77.2,37,53,69.8,7,11,63.6,0,0.8,0.5,-0.8,11,6,2,0,9,Matches
80,81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,35,41,85.4,981,641,4,4,100.0,21,21,100.0,10,15,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
81,82,Nick Besler,us USA,"MF,DF",Real Salt Lake,28,1993,2.8,110,126,87.3,1907,531,45,53,84.9,57,62,91.9,7,8,87.5,0,0.1,0.0,-0.1,1,10,0,0,7,Matches
82,83,Victor Bezerra,us USA,"FW,DF",Chicago Fire,21,2000,0.5,10,14,71.4,159,54,3,6,50.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
