,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
317,318,Sead Kolašinac,ba BIH,DF,Marseille,28,1993,4.9,285,10,63,128,98,8,285,0,1,0.0,15,2,184,18,Matches
318,319,Randal Kolo Muani,fr FRA,"FW,MF",Nantes,22,1998,32.8,937,37,88,376,496,150,937,60,120,50.0,110,73,719,176,Matches
319,320,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,29,1991,28.5,1853,154,739,863,262,26,1853,5,7,71.4,21,2,1052,29,Matches
320,321,Ghislain Konan,ci CIV,DF,Reims,25,1995,26.9,1575,89,500,708,396,23,1575,39,82,47.6,44,20,872,55,Matches
321,322,Ibrahima Koné,ml MLI,FW,Lorient,22,1999,8.1,214,6,15,98,102,27,214,9,13,69.2,26,19,159,49,Matches
322,323,Youssouf Koné,ml MLI,DF,Troyes,26,1995,10.9,544,33,196,251,104,3,544,15,21,71.4,4,11,329,18,Matches
323,324,Laurent Koscielny,fr FRA,DF,Bordeaux,35,1985,10.4,644,90,359,284,7,3,644,2,3,66.7,3,1,422,0,Matches
324,325,Rominigue Kouamé,ml MLI,MF,Troyes,24,1996,33.0,1873,39,404,1167,335,17,1873,64,92,69.6,49,32,1358,50,Matches
325,326,Boubakar Kouyaté,ml MLI,DF,Metz,24,1997,29.6,1695,296,1053,605,50,28,1695,6,11,54.5,29,5,812,4,Matches
326,327,Jean-Philippe Krasso,ci CIV,FW,Saint-Étienne,24,1997,5.0,180,2,6,91,87,31,180,15,24,62.5,27,14,125,22,Matches
327,328,Mykola Kukharevych,ua UKR,FW,Troyes,20,2001,0.2,8,0,0,1,7,1,8,0,0,,1,0,5,1,Matches
328,329,Enock Kwateng,fr FRA,DF,Bordeaux,24,1997,22.2,1426,76,501,745,208,8,1426,22,35,62.9,27,4,851,22,Matches
329,330,Grejohn Kyei,fr FRA,FW,Clermont Foot,25,1995,4.4,150,1,5,75,71,23,150,7,9,77.8,25,9,121,34,Matches
330,331,Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994,3.8,143,7,19,61,64,18,143,1,4,25.0,8,3,98,22,Matches
331,332,Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,30.3,986,19,68,434,495,162,984,10,34,29.4,92,21,680,195,Matches
332,333,Tom Lacoux,fr FRA,"DF,MF",Bordeaux,19,2002,10.1,517,35,177,275,71,1,517,8,14,57.1,18,8,280,8,Matches
333,334,Lenny Lacroix,fr FRA,DF,Metz,18,2003,2.2,111,12,58,51,4,2,111,0,0,,1,1,50,0,Matches
334,335,Alban Lafont,fr FRA,GK,Nantes,22,1999,38.0,1234,1017,1228,6,0,0,1234,0,0,,0,0,461,0,Matches
335,336,Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,26.8,777,17,46,384,358,108,775,29,55,52.7,59,37,542,151,Matches
