,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
70,71,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,1,12,12,0.4,0.1,0,,0,1,12,10,3.00,0,1,-1,-7.50,-8.64,0.0,0.7,-0.7,-5.11,-5.72,Matches
71,72,Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,7,314,45,9.2,3.5,4,66,0,3,17,2,1.29,4,6,-2,-0.57,-0.63,5.4,6.5,-1.1,-0.32,-0.65,Matches
72,73,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,1,1,1,0.0,0.0,0,,0,1,1,15,3.00,0,0,0,0.00,-0.66,0.2,0.0,+0.1,+10.88,+10.30,Matches
73,74,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,37,2529,68,73.9,28.1,29,79,7,8,29,0,1.84,50,28,+22,+0.78,+0.48,50.1,33.1,+17.0,+0.61,+0.20,Matches
74,75,Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,2,54,27,1.6,0.6,0,,0,2,27,0,2.00,3,0,+3,+5.00,+4.41,1.4,0.2,+1.2,+2.01,+1.46,Matches
75,76,Walter Benítez,ar ARG,GK,Nice,28,1993,37,3330,90,97.4,37.0,37,90,37,0,,0,1.81,52,35,+17,+0.46,+1.46,59.5,46.9,+12.6,+0.34,+0.77,Matches
76,77,Loris Benito,ch SUI,DF,Bordeaux,29,1992,1,61,61,1.8,0.7,1,61,0,0,,1,0.00,0,0,0,0.00,+1.04,0.9,1.8,-0.9,-1.31,-0.71,Matches
77,78,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,18,1515,84,44.3,16.8,18,84,10,0,,0,0.89,16,24,-8,-0.48,-0.33,20.3,25.6,-5.3,-0.31,-0.30,Matches
78,79,Aylan Benyahia,fr FRA,FW,Marseille,16,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
79,80,Patrick Berg,no NOR,MF,Lens,23,1997,14,307,22,9.0,3.4,2,76,1,12,13,4,2.00,6,2,+4,+1.17,+0.88,4.2,2.7,+1.4,+0.42,+0.22,Matches
80,81,Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,20,983,49,28.7,10.9,11,61,0,9,35,5,1.15,9,11,-2,-0.18,-0.22,11.0,14.2,-3.2,-0.29,-0.02,Matches
81,82,Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,13,455,35,13.3,5.1,5,47,0,8,27,8,0.92,2,5,-3,-0.59,-0.65,4.4,8.7,-4.3,-0.86,-0.67,Matches
82,83,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13,1170,90,34.2,13.0,13,90,13,0,,0,1.31,19,19,0,0.00,+0.44,16.4,17.3,-0.9,-0.07,+0.13,Matches
83,84,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19,1710,90,50.0,19.0,19,90,19,0,,0,1.05,25,37,-12,-0.63,+0.58,22.6,32.6,-10.0,-0.52,-0.04,Matches
84,85,Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,15,958,64,28.0,10.6,12,76,3,3,15,7,2.33,23,10,+13,+1.22,-0.28,25.3,13.1,+12.2,+1.15,+0.09,Matches
85,86,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,11,833,76,24.4,9.3,9,90,9,2,12,25,0.82,14,20,-6,-0.65,-0.44,12.9,17.3,-4.4,-0.47,+0.01,Matches
86,87,Ugo Bertelli,fr FRA,MF,Marseille,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
87,88,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,29,1732,60,50.6,19.2,22,72,2,7,20,1,0.83,19,30,-11,-0.57,+0.49,23.2,27.5,-4.4,-0.23,+0.18,Matches
88,89,Loïc Bessile,tg TOG,DF,Bordeaux,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
89,90,Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,33,2292,69,67.0,25.5,26,83,18,7,21,0,1.03,27,33,-6,-0.24,+0.56,30.5,37.4,-6.9,-0.27,+0.13,Matches
90,91,José Bica,pt POR,FW,Lille,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
91,92,El Bilal Touré,ml MLI,FW,Reims,19,2001,21,1194,57,34.9,13.3,15,71,2,6,22,0,1.29,17,14,+3,+0.23,+0.39,15.2,19.7,-4.4,-0.34,-0.09,Matches
92,93,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,15,980,65,28.7,10.9,10,90,9,5,16,10,0.40,10,28,-18,-1.65,-1.17,14.1,18.2,-4.1,-0.38,-0.09,Matches
93,94,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,1,11,11,0.3,0.1,0,,0,1,11,4,3.00,0,0,0,0.00,-1.43,0.0,0.0,0.0,0.00,-1.09,Matches
94,95,Marco Bizot,nl NED,GK,Brest,30,1991,38,3420,90,100.0,38.0,38,90,38,0,,0,1.26,49,57,-8,-0.21,,48.9,64.3,-15.4,-0.41,,Matches
95,96,Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,35,2961,85,86.6,32.9,35,85,18,0,,0,1.46,48,41,+7,+0.21,+0.21,43.8,47.0,-3.2,-0.10,+0.37,Matches
96,97,Myron Boadu,nl NED,FW,Monaco,20,2001,31,960,31,28.1,10.7,7,62,0,24,22,1,1.87,18,16,+2,+0.19,-0.65,16.6,14.5,+2.1,+0.20,-0.50,Matches
97,98,Jérôme Boateng,de GER,DF,Lyon,32,1988,24,1622,68,47.4,18.0,19,79,9,5,26,4,1.75,33,28,+5,+0.28,-0.22,36.2,32.1,+4.0,+0.22,-0.44,Matches
98,99,Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,4,38,10,1.1,0.4,0,,0,4,10,7,1.50,1,1,0,0.00,+0.29,0.5,1.4,-0.8,-1.95,-1.82,Matches
99,100,Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,25,958,38,28.0,10.6,9,66,1,16,23,9,0.76,9,21,-12,-1.13,-0.54,12.4,14.6,-2.2,-0.21,+0.06,Matches
100,101,Baptiste Boit,fr FRA,DF,Clermont Foot,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
101,102,Charles Boli,fr FRA,"MF,DF",Lens,22,1998,4,32,8,0.9,0.4,0,,0,4,8,9,0.00,0,0,0,0.00,-0.37,0.4,0.4,-0.1,-0.18,-0.41,Matches
102,103,Calvin Bombo,cf CTA,MF,Troyes,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
103,104,Pépé Bonet,fr FRA,GK,Rennes,18,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
104,105,Noam Bonnet,fr FRA,MF,Lyon,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
105,106,Kayne Bonnevie,fr FRA,GK,Lyon,20,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
106,107,Sven Botman,nl NED,DF,Lille,21,2000,25,2250,90,65.8,25.0,25,90,25,0,,1,1.60,33,33,0,0.00,0.00,35.0,31.6,+3.3,+0.13,-0.41,Matches
107,108,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,34,2436,72,71.2,27.1,28,80,12,6,33,0,0.85,33,62,-29,-1.07,-0.52,31.4,47.8,-16.3,-0.60,-0.34,Matches
108,109,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,29,1621,56,47.4,18.0,21,71,3,8,17,5,2.00,25,15,+10,+0.56,+0.26,27.6,27.1,+0.5,+0.03,-0.56,Matches
109,110,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,30,2252,75,65.8,25.0,27,81,11,3,20,1,0.97,29,50,-21,-0.84,+0.24,28.5,38.6,-10.1,-0.41,+0.29,Matches
110,111,Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,29,2330,80,68.1,25.9,28,82,13,1,24,0,1.00,29,42,-13,-0.50,-0.67,33.0,37.7,-4.7,-0.18,-0.10,Matches
111,112,Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,24,1526,64,44.6,17.0,18,75,7,6,31,4,0.83,16,34,-18,-1.06,-0.30,14.9,30.1,-15.2,-0.89,+0.07,Matches
112,113,Teddy Boulhendi,fr FRA,GK,Nice,20,2001,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
113,114,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,5,95,19,2.8,1.1,1,90,1,4,1,4,1.80,2,1,+1,+0.95,+0.60,2.4,1.0,+1.4,+1.29,+1.09,Matches
114,115,Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,38,3193,84,93.4,35.5,38,84,15,0,,0,1.74,70,34,+36,+1.01,-1.36,63.2,41.8,+21.4,+0.60,+0.21,Matches
115,116,Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,4,16,4,0.5,0.2,0,,0,4,4,9,1.00,1,0,+1,+5.63,+6.39,0.7,0.7,0.0,-0.07,+0.18,Matches
116,117,Julien Boyer,fr FRA,DF,Clermont Foot,23,1998,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
117,118,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,15,417,28,12.2,4.6,2,90,2,13,18,16,1.40,7,6,+1,+0.22,+0.25,8.8,6.8,+1.9,+0.42,+0.16,Matches
118,119,Bilal Brahimi,dz ALG,MF,Nice,21,2000,11,378,34,11.1,4.2,2,75,0,9,25,4,1.45,9,6,+3,+0.71,+0.33,8.5,8.5,0.0,0.00,-0.36,Matches
119,120,Bilal Brahimi,dz ALG,FW,Angers,21,2000,9,338,38,9.9,3.8,3,78,1,6,17,1,1.11,4,5,-1,-0.27,+0.03,5.4,5.4,0.0,0.00,+0.16,Matches
120,121,Bilal Brahimi,dz ALG,FW,Reims,21,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
121,122,Lilian Brassier,fr FRA,DF,Brest,21,1999,31,2263,73,66.2,25.1,23,90,23,8,24,6,1.26,34,41,-7,-0.28,-0.20,32.6,40.1,-7.5,-0.30,+0.32,Matches
122,123,Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,17,226,13,6.6,2.5,1,62,0,16,10,8,0.88,6,2,+4,+1.59,+2.80,7.1,5.6,+1.6,+0.63,+1.33,Matches
123,124,Dylan Bronn,tn TUN,DF,Metz,26,1995,30,2545,85,74.4,28.3,28,90,27,2,13,0,0.80,28,55,-27,-0.95,-0.23,25.1,51.6,-26.5,-0.94,-0.01,Matches
124,125,Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,24,1012,42,29.6,11.2,10,67,0,14,25,9,1.25,20,17,+3,+0.27,+0.12,17.3,21.0,-3.7,-0.33,-0.26,Matches
125,126,Maxime Busi,be BEL,DF,Reims,21,1999,18,1296,72,37.9,14.4,13,86,10,5,35,1,1.28,15,19,-4,-0.28,-0.40,17.9,23.6,-5.7,-0.40,-0.20,Matches
126,127,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,9,201,22,5.9,2.2,2,65,0,7,10,18,0.44,0,6,-6,-2.69,-1.99,2.0,4.5,-2.6,-1.14,-0.88,Matches
127,128,Marcin Bułka,pl POL,GK,Nice,21,1999,1,90,90,2.6,1.0,1,90,1,0,,37,0.00,0,1,-1,-1.00,-1.46,1.2,1.6,-0.4,-0.43,-0.77,Matches
128,129,Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,5,313,63,9.2,3.5,3,84,1,2,31,0,0.40,4,8,-4,-1.15,-0.92,5.5,7.2,-1.8,-0.50,-0.02,Matches
129,130,Jimmy Cabot,fr FRA,DF,Angers,27,1994,24,2008,84,58.7,22.3,24,84,20,0,,0,1.21,29,27,+2,+0.09,+0.92,29.3,29.1,+0.2,+0.01,+0.38,Matches
130,131,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,37,2395,65,70.0,26.6,26,85,19,11,16,0,1.68,39,24,+15,+0.56,+0.39,42.8,33.5,+9.3,+0.35,+0.13,Matches
131,132,Mathieu Cafaro,fr FRA,"MF,FW",Reims,24,1997,4,192,48,5.6,2.1,3,53,0,1,34,3,1.00,3,4,-1,-0.47,-0.47,1.9,3.8,-1.9,-0.87,-0.63,Matches
132,133,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,17,618,36,18.1,6.9,6,85,2,11,10,19,1.67,14,15,-1,-0.15,-0.63,11.6,10.2,+1.4,+0.20,-0.03,Matches
133,134,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,19,1542,81,45.1,17.1,17,90,17,2,6,15,0.89,16,30,-14,-0.82,+0.14,14.7,34.3,-19.6,-1.14,-0.38,Matches
134,135,Jens Cajuste,se SWE,"MF,FW",Reims,21,1999,8,364,46,10.6,4.0,4,64,0,4,28,0,0.63,4,8,-4,-0.99,-1.08,6.8,6.4,+0.4,+0.09,+0.41,Matches
135,136,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,26,2057,79,60.1,22.9,24,84,17,2,17,9,1.65,33,25,+8,+0.35,-0.77,35.0,27.2,+7.8,+0.34,-0.60,Matches
136,137,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,1,4,4,0.1,0.0,0,,0,1,4,0,0.00,0,1,-1,-22.50,-21.60,0.1,0.4,-0.3,-5.58,-5.08,Matches
