,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
35,36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,21.0,984,26,153,462,381,76,984,21,48,43.8,61,27,668,90,Matches
36,37,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,2.7,110,4,18,31,64,20,110,3,10,30.0,12,4,60,20,Matches
37,38,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,23.2,883,27,126,323,442,99,883,18,44,40.9,62,30,601,127,Matches
38,39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,19.5,771,3,62,293,433,62,771,24,39,61.5,45,19,584,152,Matches
39,40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,274,9,25,131,120,39,274,4,8,50.0,18,6,199,48,Matches
40,41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,632,17,56,295,286,77,631,18,40,45.0,38,29,484,105,Matches
41,42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,1840,214,1043,697,112,46,1840,7,9,77.8,12,4,1038,12,Matches
42,43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,1004,167,577,404,32,15,1004,2,3,66.7,8,5,531,1,Matches
43,44,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,7.6,360,10,58,154,157,34,360,17,33,51.5,19,12,269,41,Matches
44,45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,1952,47,329,1119,516,89,1952,55,96,57.3,82,62,1488,125,Matches
45,46,George Bello,us USA,DF,Arminia,19,2002,4.8,228,21,74,96,65,7,228,9,22,40.9,10,4,118,8,Matches
46,47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,2.7,222,6,43,136,46,3,222,1,3,33.3,7,1,150,7,Matches
47,48,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,0.6,36,0,4,21,13,2,36,3,7,42.9,3,0,23,3,Matches
48,49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,22.4,1623,144,635,806,205,39,1621,16,29,55.2,29,13,971,33,Matches
49,50,Louis Beyer,de GER,DF,M'Gladbach,21,2000,15.4,1130,83,509,546,79,11,1130,10,16,62.5,8,5,777,12,Matches
50,51,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,2.0,65,3,7,30,28,7,65,0,3,0.0,6,5,51,13,Matches
51,52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,0.1,3,1,2,1,0,0,3,0,0,,0,0,3,0,Matches
