,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
64,65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,66,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,67,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,1.5,0,4,0,0.0,2.75,0.00,0.00,,8.1,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
67,68,John Brooks,us USA,DF,Wolfsburg,28,1993,29.1,1,11,1,9.1,0.38,0.03,0.09,1.00,14.6,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,0,1,0,0.0,0.23,0.00,0.00,,38.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,0,10,0,0.0,0.41,0.00,0.00,,27.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,4,18,7,38.9,2.00,0.78,0.22,0.57,12.3,0,0,0,2.9,2.9,0.16,+1.1,+1.1,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,1,2,1,50.0,6.67,3.33,0.50,1.00,12.1,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,11,78,33,42.3,2.69,1.14,0.13,0.30,14.4,0,1,1,14.6,13.8,0.18,-3.6,-3.8,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,13.4,0,0,0,0.4,0.4,0.35,-0.4,-0.4,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,4,33,10,30.3,1.48,0.45,0.03,0.10,24.2,4,3,3,4.6,2.3,0.07,-0.6,-1.3,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,5,7,2,28.6,0.37,0.11,0.14,0.50,30.6,0,4,4,3.4,0.3,0.04,+1.6,+0.7,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,1,8,2,25.0,1.65,0.41,0.13,0.50,20.9,2,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,0,13,3,23.1,0.97,0.22,0.00,0.00,15.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,0,1,0,0.0,2.20,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,0,10,1,10.0,0.44,0.04,0.00,0.00,24.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,6,46,20,43.5,3.05,1.32,0.13,0.30,17.2,0,0,0,4.6,4.6,0.10,+1.4,+1.4,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,0,1,0,0.0,5.63,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,0,7,1,14.3,1.92,0.27,0.00,0.00,10.9,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,0,2,0,0.0,0.25,0.00,0.00,,12.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,0,13,3,23.1,1.08,0.25,0.00,0.00,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
