,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
49,50,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,29,1992,20.5,10,46,13,28.3,2.24,0.63,0.13,0.46,18.1,0,4,4,7.8,4.6,0.10,+2.2,+1.4,Matches
50,51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,0,7,1,14.3,0.87,0.12,0.00,0.00,25.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
52,53,Roberto Avila,us USA,"FW,MF",Houston Dynamo,21,2000,1.8,0,4,1,25.0,2.26,0.57,0.00,0.00,20.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
53,54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,0,11,3,27.3,1.34,0.36,0.00,0.00,26.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
54,55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,0,28,12,42.9,2.29,0.98,0.00,0.00,15.9,0,0,0,3.3,3.3,0.12,-3.3,-3.3,Matches
56,57,Zico Bailey,us USA,"DF,MF",FC Cincinnati,21,2000,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,2,16,7,43.8,1.07,0.47,0.13,0.29,15.9,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches
58,59,Esmir Bajraktarevic,,"MF,FW",New England,,,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,0,3,3,100.0,2.84,2.84,0.00,0.00,17.1,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
60,61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,0,3,2,66.7,0.59,0.40,0.00,0.00,33.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
61,62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,2,17,6,35.3,4.31,1.52,0.12,0.33,17.8,1,0,0,2.0,2.0,0.13,0.0,0.0,Matches
62,63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,4,22,9,40.9,1.80,0.74,0.14,0.33,11.3,0,1,1,4.7,3.9,0.18,-0.7,-0.9,Matches
63,64,Álvaro Barreal,ar ARG,"DF,MF",FC Cincinnati,21,2000,24.4,5,48,23,47.9,1.96,0.94,0.10,0.22,21.3,8,0,0,3.0,3.0,0.06,+2.0,+2.0,Matches
64,65,Michael Barrios,co COL,"FW,MF",Colorado Rapids,30,1991,21.2,2,46,11,23.9,2.17,0.52,0.04,0.18,15.1,0,0,0,4.3,4.3,0.09,-2.3,-2.3,Matches
65,66,Ethan Bartlow,us USA,"DF,MF",Houston Dynamo,21,2000,10.1,0,1,1,100.0,0.10,0.10,0.00,0.00,16.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
66,67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,0,2,0,0.0,0.96,0.00,0.00,,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
67,68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,0,5,1,20.0,0.20,0.04,0.00,0.00,10.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
68,69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,1,1,1,100.0,10.00,10.00,1.00,1.00,6.2,0,0,0,0.3,0.3,0.27,+0.7,+0.7,Matches
69,70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,6,36,13,36.1,1.34,0.48,0.17,0.46,14.7,0,0,0,3.3,3.3,0.09,+2.7,+2.7,Matches
70,71,Steven Beitashour,ir IRN,"DF,MF",Colorado Rapids,34,1987,14.6,0,5,0,0.0,0.34,0.00,0.00,,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
71,72,Jon Bell,us USA,DF,New England,24,1997,11.7,1,3,1,33.3,0.26,0.09,0.33,1.00,7.8,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
72,73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,3,25,7,28.0,1.37,0.38,0.12,0.43,20.9,0,0,0,2.7,2.7,0.11,+0.3,+0.3,Matches
73,74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,1,5,3,60.0,0.79,0.47,0.20,0.33,17.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
74,75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches
75,76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,1,23,5,21.7,3.71,0.81,0.04,0.20,13.6,0,0,1,2.7,1.8,0.08,-1.7,-0.8,Matches
76,77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,0,13,4,30.8,1.14,0.35,0.00,0.00,22.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
77,78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,8,35,10,28.6,2.87,0.82,0.09,0.30,23.1,4,5,5,6.3,2.3,0.07,+1.7,+0.7,Matches
78,79,Miguel Berry,es ESP,"FW,MF",D.C. United,24,1997,7.9,0,8,4,50.0,1.01,0.51,0.00,0.00,11.1,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
79,80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,2,20,4,20.0,1.86,0.37,0.10,0.50,13.6,1,0,0,2.7,2.7,0.13,-0.7,-0.7,Matches
80,81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,82,Nick Besler,us USA,"MF,DF",Real Salt Lake,28,1993,2.8,0,2,1,50.0,0.72,0.36,0.00,0.00,20.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
82,83,Victor Bezerra,us USA,"FW,DF",Chicago Fire,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,84,David Bingham,us USA,GK,Portland Timbers,32,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,2,23,6,26.1,0.73,0.19,0.09,0.33,11.9,0,0,0,1.7,1.6,0.07,+0.3,+0.4,Matches
85,86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,0,7,1,14.3,0.47,0.07,0.00,0.00,10.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
86,87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,1,14,5,35.7,0.59,0.21,0.07,0.20,10.7,0,0,0,2.0,2.0,0.14,-1.0,-1.0,Matches
87,88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
88,89,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,33,1988,20.2,7,58,19,32.8,2.87,0.94,0.10,0.32,20.5,2,1,1,5.6,4.8,0.08,+1.4,+1.2,Matches
89,90,Latif Blessing,gh GHA,"MF,FW",Los Angeles FC,25,1996,14.8,0,16,4,25.0,1.08,0.27,0.00,0.00,14.4,0,0,0,1.8,1.8,0.11,-1.8,-1.8,Matches
90,91,Emmanuel Boateng,gh GHA,"FW,MF",New England,28,1994,11.1,2,14,6,42.9,1.26,0.54,0.14,0.33,11.5,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
