,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
35,36,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,1632,68,53.3,18.1,20,76,8,4,27,4,0.83,12,27,-15,-0.83,-0.13,18.7,37.3,-18.5,-1.02,+0.21,Matches
36,37,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,8,210,26,6.9,2.3,1,76,0,7,19,10,0.00,3,12,-9,-3.86,-2.44,1.8,5.9,-4.1,-1.78,-0.84,Matches
37,38,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,1690,65,55.2,18.8,18,87,16,8,16,4,0.65,12,54,-42,-2.24,-1.45,17.5,40.7,-23.2,-1.24,-0.54,Matches
38,39,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,2970,90,97.1,33.0,33,90,33,0,,0,1.30,52,57,-5,-0.15,-3.15,58.6,56.7,+1.9,+0.06,-2.93,Matches
39,40,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,2166,87,70.8,24.1,25,87,22,0,,4,1.44,29,33,-4,-0.17,-1.17,35.1,31.6,+3.5,+0.15,-0.61,Matches
40,41,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,6,88,15,2.9,1.0,1,59,0,5,6,5,2.67,4,0,+4,+4.09,+3.21,3.0,0.9,+2.1,+2.17,+1.67,Matches
41,42,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,29,1888,65,61.7,21.0,23,76,9,6,24,0,1.34,29,33,-4,-0.19,-0.34,37.8,34.7,+3.0,+0.15,+0.01,Matches
42,43,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,14,241,17,7.9,2.7,1,67,0,13,13,3,0.93,5,3,+2,+0.75,+1.35,4.4,5.2,-0.7,-0.27,+0.47,Matches
43,44,Luca Bazzoli,de GER,DF,Stuttgart,20,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
44,45,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,28,2091,75,68.3,23.2,25,79,6,3,42,0,1.50,34,40,-6,-0.26,-0.63,42.4,39.3,+3.2,+0.14,-0.02,Matches
