,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
533,534,Maximiliano Silvera,uy URU,FW,FC Juárez,23,1997,11.3,160,243,65.8,2432,563,90,108,83.3,57,84,67.9,8,25,32.0,2,0.8,0.7,+1.2,8,16,3,1,16,Matches
534,535,Gonzalo Sosa,ar ARG,FW,Mazatlán,32,1989,10.2,103,182,56.6,1461,330,61,99,61.6,36,50,72.0,3,9,33.3,1,1.1,0.7,-0.1,9,11,2,0,8,Matches
535,536,Ismael Sosa,ar ARG,"FW,MF",Pachuca,34,1987,3.7,118,170,69.4,2113,632,55,67,82.1,47,59,79.7,13,35,37.1,0,1.7,1.3,-1.7,18,13,11,4,17,Matches
536,537,Nicolás Sosa,uy URU,"FW,MF",Querétaro,25,1996,9.2,72,123,58.5,886,201,49,71,69.0,17,27,63.0,1,2,50.0,0,0.8,0.3,-0.8,6,2,3,0,8,Matches
537,538,Yeferson Soteldo,ve VEN,"MF,FW",UANL,24,1997,4.1,152,202,75.2,2682,743,76,85,89.4,56,76,73.7,18,33,54.5,2,2.2,1.9,-0.2,20,15,13,4,18,Matches
538,539,Jonathan Suárez,mx MEX,MF,Tijuana,24,1997,0.0,2,3,66.7,18,7,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
539,540,Leonardo Suárez,ar ARG,MF,Santos,25,1996,9.0,219,330,66.4,3942,1646,113,141,80.1,75,112,67.0,28,57,49.1,3,2.8,2.6,+0.2,27,37,10,0,46,Matches
540,541,Leonardo Suárez,ar ARG,"MF,FW",América,25,1996,1.8,42,56,75.0,772,214,16,21,76.2,22,28,78.6,4,7,57.1,0,0.5,0.5,-0.5,3,4,1,0,5,Matches
541,542,Christian Tabó,uy URU,"FW,MF",Cruz Azul,27,1993,4.6,77,106,72.6,1098,230,56,64,87.5,17,26,65.4,3,9,33.3,0,0.0,0.1,0.0,2,2,1,0,5,Matches
542,543,Christian Tabó,uy URU,"FW,MF",Puebla,27,1993,15.8,249,365,68.2,3847,712,131,175,74.9,92,115,80.0,15,29,51.7,1,1.3,0.9,-0.3,14,12,13,6,16,Matches
543,544,Alfredo Talavera,mx MEX,GK,UNAM,38,1982,25.0,617,798,77.3,19143,14830,73,73,100.0,296,298,99.3,248,425,58.4,0,0.0,0.0,0.0,0,6,0,0,0,Matches
544,545,Miguel Tapias,mx MEX,DF,Pachuca,24,1997,17.1,504,636,79.2,10985,4430,149,169,88.2,256,297,86.2,92,151,60.9,0,0.1,0.2,-0.1,3,32,4,2,27,Matches
545,546,Eduardo Tercero,mx MEX,DF,Tijuana,25,1996,22.2,555,801,69.3,10804,5104,224,257,87.2,254,330,77.0,71,181,39.2,0,0.1,0.2,-0.1,3,37,2,1,40,Matches
546,547,William Tesillo,co COL,DF,León,31,1990,29.9,1379,1758,78.4,28872,13587,450,508,88.6,681,785,86.8,232,407,57.0,2,2.9,2.5,-0.9,17,110,21,7,86,Matches
547,548,Florian Thauvin,fr FRA,"MF,FW",UANL,28,1993,16.3,478,728,65.7,8240,2521,256,303,84.5,144,229,62.9,67,144,46.5,3,2.4,4.0,+0.6,30,44,40,19,56,Matches
548,549,Alan Torres,mx MEX,MF,Guadalajara,21,2000,16.3,814,984,82.7,16259,5376,307,346,88.7,366,410,89.3,124,183,67.8,1,1.7,1.4,-0.7,21,104,8,3,83,Matches
549,550,Félix Torres Caicedo,ec ECU,DF,Santos,24,1997,29.8,747,1105,67.6,16757,8648,200,260,76.9,380,488,77.9,157,324,48.5,0,0.6,0.7,-0.6,8,62,3,0,76,Matches
