,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,2,1,1,1,0,1,1,100.0,0,6,0,6,3,5,9,0,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,51,35,29,20,2,25,49,51.0,24,27,10,17,43,94,84,0,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,2,1,1,1,0,0,5,0.0,5,14,3,11,5,7,5,2,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,1,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,17,8,0,10,7,6,25,24.0,19,31,5,26,8,25,16,0,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,3,2,0,2,1,2,5,40.0,3,4,1,3,1,4,1,0,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,46,30,17,26,3,27,73,37.0,46,36,5,31,18,64,33,0,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,36,22,20,16,0,15,30,50.0,15,26,10,16,36,72,40,2,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,2,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,8,3,4,4,0,1,5,20.0,4,3,0,3,3,11,3,0,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,8,3,4,4,0,2,5,40.0,3,4,2,2,3,11,5,1,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,18,12,10,8,0,11,24,45.8,13,10,3,7,19,37,28,1,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,46,25,19,22,5,18,43,41.9,25,52,16,36,68,114,56,0,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,14,8,1,9,4,5,16,31.3,11,14,0,14,8,22,5,0,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,4,3,2,2,0,1,2,50.0,1,4,0,4,0,4,4,0,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,15,4,6,7,2,6,18,33.3,12,14,1,13,11,26,18,1,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,27,15,14,11,2,9,19,47.4,10,14,2,12,4,31,10,0,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,29,18,18,9,2,14,28,50.0,14,23,13,10,19,48,53,2,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,3,1,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,17,9,3,5,9,4,17,23.5,13,10,0,10,5,22,4,0,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,42,19,10,24,8,20,46,43.5,26,18,3,15,17,59,16,0,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,10,4,8,2,0,8,18,44.4,10,16,6,10,20,30,33,2,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,32,18,15,13,4,13,32,40.6,19,22,3,19,20,52,17,2,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,34,17,17,8,9,13,31,41.9,18,27,1,26,23,57,26,1,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
100,101,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
101,102,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,52,31,19,30,3,16,41,39.0,25,32,9,23,33,85,21,0,Matches
102,103,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,12,6,4,4,4,1,10,10.0,9,14,1,13,1,13,7,0,Matches
103,104,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0,Matches
104,105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,30.7,20,11,8,9,3,5,38,13.2,33,11,0,11,8,28,2,0,Matches
