,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
83,84,Facundo Batista,uy URU,"FW,MF",Necaxa,22,1999,3.9,1,0,0,11,3,0,4,0,1,0,0,0,7,15,16,48.4,Matches
84,85,Cristian Battocchio,it ITA,MF,UNAM,29,1992,7.8,0,0,0,9,4,1,28,4,10,0,0,0,37,2,7,22.2,Matches
85,86,Eduard Bello,ve VEN,"MF,FW",Mazatlán,25,1995,5.4,0,0,0,10,8,4,6,4,0,0,0,0,17,9,12,42.9,Matches
86,87,Fernando Beltrán,mx MEX,MF,Guadalajara,23,1998,16.9,1,0,0,17,31,0,5,9,23,0,0,0,119,1,11,8.3,Matches
87,88,Nicolás Benedetti,co COL,"MF,FW",América,24,1997,2.7,3,0,0,10,5,1,5,1,5,0,0,0,12,3,5,37.5,Matches
88,89,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,24,1997,14.4,5,0,0,33,45,4,63,5,9,0,0,0,64,12,28,30.0,Matches
89,90,Pablo Bennevendo Peña,mx MEX,DF,UNAM,21,2000,2.0,0,0,0,3,1,0,2,6,2,0,0,0,12,1,0,100.0,Matches
90,91,Germán Berterame,ar ARG,FW,Atlético,22,1998,31.7,4,1,0,41,32,13,59,20,13,0,0,0,112,84,65,56.4,Matches
91,92,Unai Bilbao,es ESP,DF,Atlético,27,1994,32.6,4,0,0,22,18,0,1,47,28,0,2,1,136,77,50,60.6,Matches
92,93,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
93,94,Antonio Briseño,mx MEX,DF,Guadalajara,27,1994,17.3,8,0,0,29,14,1,0,28,11,0,0,0,68,81,50,61.8,Matches
94,95,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,30,1990,21.2,4,0,0,12,44,4,32,21,17,0,0,0,98,12,20,37.5,Matches
95,96,Gil Burón,mx MEX,"DF,MF",León,27,1994,0.5,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,,Matches
96,97,Gustavo Cabral,ar ARG,DF,Pachuca,35,1985,29.6,6,0,0,31,16,2,0,57,23,0,1,0,152,115,75,60.5,Matches
97,98,David Cabrera Pujol,mx MEX,MF,Querétaro,31,1989,8.4,1,0,0,15,5,0,26,11,8,0,0,0,49,10,9,52.6,Matches
98,99,Sebastián Cáceres,uy URU,DF,América,21,1999,17.5,3,1,1,12,11,0,0,15,28,0,1,0,71,38,30,55.9,Matches
99,100,José Caicedo,co COL,DF,UNAM,19,2002,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,2,60.0,Matches
100,101,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,24,1997,12.8,4,1,1,14,22,4,31,5,6,1,0,0,58,12,22,35.3,Matches
101,102,Luis Calzadilla,mx MEX,"MF,FW",Atlético,21,2000,1.0,0,0,0,1,2,1,5,0,2,0,0,0,3,0,2,0.0,Matches
102,103,Joel Campbell,cr CRC,"FW,MF",Monterrey,29,1992,17.0,2,1,0,19,55,6,57,2,23,3,0,0,75,15,16,48.4,Matches
103,104,Karel Campos,mx MEX,"MF,DF",América,18,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
104,105,Omar Campos,mx MEX,DF,Santos,19,2002,23.3,2,0,0,13,38,0,80,36,29,1,3,0,103,37,35,51.4,Matches
105,106,Alexis Canelo,ar ARG,"FW,MF",Toluca,29,1992,22.8,3,0,0,34,47,8,23,5,11,0,0,0,74,56,71,44.1,Matches
106,107,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
107,108,Ulises Cardona,mx MEX,"FW,MF",Mazatlán,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
108,109,Rafael Carioca,br BRA,MF,UANL,32,1989,27.7,3,0,0,26,30,0,54,22,21,0,1,0,227,10,9,52.6,Matches
109,110,Miguel Carreón,mx MEX,FW,UNAM,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
110,111,Jordan Carrillo,mx MEX,"FW,MF",Santos,19,2001,10.2,1,1,0,11,42,1,16,3,11,0,0,0,56,5,16,23.8,Matches
111,112,Kevin Castañeda,mx MEX,"MF,FW",Toluca,21,1999,17.7,7,0,0,24,27,2,52,9,12,2,1,0,82,5,26,16.1,Matches
112,113,César Castillo,mx MEX,MF,Tijuana,20,2000,0.5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,,Matches
113,114,Christian Castillo,cl CHI,"FW,MF",Tijuana,24,1996,1.8,0,0,0,4,1,1,4,2,1,0,0,0,8,0,2,0.0,Matches
114,115,Erick Castillo,ec ECU,"FW,MF",Tijuana,26,1995,6.6,1,0,0,8,12,2,12,3,2,0,0,0,36,5,12,29.4,Matches
115,116,Fabián Castillo,co COL,"MF,FW",FC Juárez,29,1992,17.2,1,0,0,9,12,6,27,2,5,0,0,0,75,2,16,11.1,Matches
116,117,Nicolás Castillo,cl CHI,FW,Necaxa,28,1993,0.6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0.0,Matches
117,118,José Castillo Pérez,mx MEX,"DF,MF",Pachuca,19,2001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
118,119,Raúl Castillo,mx MEX,"DF,MF",Puebla,19,2001,0.3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0.0,Matches
119,120,Matías Catalán,ar ARG,"DF,FW",Pachuca,28,1992,7.9,1,1,0,12,5,0,17,9,11,0,0,0,33,17,11,60.7,Matches
120,121,Alan Cervantes,mx MEX,MF,Santos,23,1998,23.1,7,0,0,29,34,0,15,21,32,0,0,0,173,30,41,42.3,Matches
121,122,Daniel Cervantes,mx MEX,DF,Querétaro,31,1990,12.7,1,0,0,8,13,0,0,21,11,0,0,0,60,32,25,56.1,Matches
122,123,Pablo César Aguilar,py PAR,DF,Cruz Azul,34,1987,28.1,7,0,0,31,24,1,2,47,25,0,1,0,120,111,43,72.1,Matches
123,124,Pablo César López,mx MEX,"MF,DF",Pachuca,23,1998,0.8,0,0,0,1,0,0,5,1,1,0,0,0,5,1,2,33.3,Matches
124,125,Aníbal Chalá,ec ECU,"DF,MF",Atlas,25,1996,4.5,1,0,0,5,3,1,22,6,6,0,0,0,19,5,5,50.0,Matches
125,126,Diego Chávez Collins,mx MEX,"FW,MF",Toluca,26,1995,4.5,2,0,0,12,6,2,4,5,5,0,0,0,13,6,11,35.3,Matches
126,127,Luis Chávez,mx MEX,MF,Pachuca,25,1996,25.0,4,0,0,15,32,2,74,31,27,0,0,0,152,44,43,50.6,Matches
127,128,Ricardo Chávez Soto,mx MEX,DF,Atlético,26,1994,28.2,12,0,0,39,13,2,108,24,27,2,0,0,122,35,29,54.7,Matches
128,129,Jesús Chiquete,mx MEX,DF,Guadalajara,19,2002,5.4,1,0,0,8,6,0,0,6,8,0,0,0,32,15,7,68.2,Matches
129,130,Ronaldo Cisneros,mx MEX,FW,Guadalajara,24,1997,0.3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
130,131,Léo Coelho,br BRA,DF,Atlético,28,1993,7.1,3,1,1,13,3,1,3,13,6,0,1,0,31,27,9,75.0,Matches
131,132,Santiago Colombatto,ar ARG,MF,León,24,1997,21.6,8,1,1,38,37,1,23,9,10,0,0,0,112,18,23,43.9,Matches
132,133,Bryan Colula,mx MEX,"DF,FW",Mazatlán,25,1996,19.1,4,0,0,26,32,2,31,31,14,1,1,0,78,34,23,59.6,Matches
