,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
501,502,Mikey O'Neill,eng ENG,FW,Preston,17,2004,0.2,16,0,0,8,9,4,16,2,2,100.0,1,0,12,5,Matches
502,503,Dara O'Shea,ie IRL,DF,West Brom,22,1999,11.6,662,62,288,308,70,15,662,2,2,100.0,9,3,280,4,Matches
503,504,Marcel Oakley,eng ENG,DF,Birmingham City,18,2002,1.6,46,6,13,20,14,3,46,0,1,0.0,6,0,20,1,Matches
504,505,Michael Obafemi,ie IRL,FW,Swansea City,21,2000,22.5,505,1,29,194,289,82,505,17,34,50.0,65,16,389,116,Matches
505,506,Denis Odoi,gh GHA,DF,Fulham,33,1988,16.3,1233,62,371,663,210,23,1233,13,17,76.5,23,10,748,16,Matches
506,507,Moses Odubajo,eng ENG,DF,QPR,28,1993,23.7,1389,48,401,649,354,20,1389,27,51,52.9,50,31,777,53,Matches
507,508,Mipo Odubeko,ie IRL,"FW,MF",Huddersfield,18,2002,1.3,17,0,2,9,7,4,17,1,1,100.0,4,0,12,5,Matches
508,509,Clarke Oduor,ke KEN,"FW,MF",Barnsley,22,1999,11.0,436,19,93,180,172,19,436,21,32,65.6,34,21,269,43,Matches
509,510,Nathanael Ogbeta,eng ENG,"DF,FW",Swansea City,20,2001,0.6,33,2,7,11,15,0,33,0,0,,0,2,21,2,Matches
510,511,Braian Ojeda,py PAR,MF,Nott'ham Forest,21,2000,2.6,143,5,32,89,23,2,143,5,7,71.4,5,3,94,2,Matches
511,512,Sheyi Ojo,eng ENG,"MF,FW",Millwall,24,1997,10.4,401,4,34,178,195,18,401,13,24,54.2,31,14,297,43,Matches
512,513,Matthew Olosunde,us USA,DF,Preston,23,1998,1.5,76,1,16,42,19,0,76,0,2,0.0,3,2,28,0,Matches
513,514,Robin Olsen,se SWE,GK,Sheffield Utd,31,1990,11.0,396,356,395,1,0,0,396,0,0,,0,0,175,0,Matches
514,515,Toyosi Olusanya,eng ENG,FW,Middlesbrough,23,1998,0.7,30,0,3,10,17,1,30,1,2,50.0,2,3,21,4,Matches
515,516,Josh Onomah,eng ENG,MF,Fulham,24,1997,9.0,538,14,80,294,167,35,538,10,15,66.7,24,30,393,47,Matches
516,517,Fred Onyedinma,eng ENG,"FW,DF",Luton Town,24,1996,17.1,630,15,111,235,293,65,630,19,55,34.5,69,25,367,56,Matches
517,518,Ben Osborn,eng ENG,"DF,FW",Sheffield Utd,26,1994,21.7,1317,31,232,489,617,66,1317,21,41,51.2,39,26,845,101,Matches
518,519,Jordi Osei-Tutu,eng ENG,"MF,DF",Nott'ham Forest,22,1998,2.6,133,1,40,58,39,4,133,6,9,66.7,6,7,76,4,Matches
519,520,Gabriel Osho,eng ENG,"DF,MF",Luton Town,22,1998,15.6,650,70,294,320,45,10,650,1,5,20.0,10,8,318,5,Matches
520,521,William Osula,dk DEN,FW,Sheffield Utd,17,2003,0.8,21,0,4,3,15,3,21,1,3,33.3,5,1,12,3,Matches
521,522,Obbi Oulare,be BEL,"FW,MF",Barnsley,25,1996,0.3,16,0,0,9,7,3,16,0,0,,1,1,13,3,Matches
522,523,Marlon Pack,eng ENG,MF,Cardiff City,30,1991,23.0,1303,43,227,781,315,17,1303,13,16,81.3,19,16,638,12,Matches
523,524,Alex Palmer,eng ENG,GK,Luton Town,24,1996,2.0,65,53,65,0,0,0,65,0,0,,0,0,18,0,Matches
524,525,Kasey Palmer,jm JAM,"FW,MF",Bristol City,24,1996,2.3,102,0,11,62,29,5,102,2,8,25.0,9,1,70,8,Matches
525,526,Romal Palmer,eng ENG,MF,Barnsley,21,1999,21.0,940,21,165,550,239,24,940,14,24,58.3,40,17,453,29,Matches
526,527,Jonathan Panzo,eng ENG,DF,Nott'ham Forest,20,2000,0.7,69,2,17,48,4,0,69,2,2,100.0,2,2,51,0,Matches
527,528,Jamie Paterson,eng ENG,MF,Swansea City,29,1991,32.8,1979,23,220,969,809,68,1979,47,99,47.5,78,58,1552,171,Matches
528,529,Martín Payero,ar ARG,MF,Middlesbrough,22,1998,6.3,252,6,24,110,121,9,252,10,20,50.0,25,5,126,17,Matches
529,530,Alex Pearce,ie IRL,DF,Millwall,32,1988,3.1,144,18,79,62,3,0,144,0,0,,0,0,58,0,Matches
530,531,Aynsley Pears,eng ENG,GK,Blackburn,23,1998,2.4,72,67,72,0,0,0,72,0,0,,0,0,15,0,Matches
531,532,Ben Pearson,eng ENG,MF,Bournemouth,26,1995,9.8,565,24,140,342,87,1,565,2,5,40.0,4,5,335,5,Matches
532,533,Matty Pearson,eng ENG,DF,Huddersfield,27,1993,34.8,2125,255,1051,986,98,21,2125,4,11,36.4,20,9,1184,6,Matches
533,534,Kristian Pedersen,dk DEN,DF,Birmingham City,26,1994,36.2,1846,115,681,903,281,44,1846,26,36,72.2,35,25,767,29,Matches
534,535,Lee Peltier,eng ENG,DF,Middlesbrough,34,1986,16.3,811,47,252,436,130,4,811,4,5,80.0,6,10,353,4,Matches
535,536,Dillon Phillips,eng ENG,GK,Cardiff City,26,1995,17.0,599,459,585,13,2,1,599,1,1,100.0,0,0,224,0,Matches
536,537,Matt Phillips,sct SCO,"FW,MF",West Brom,30,1991,17.3,697,5,54,281,380,58,697,25,48,52.1,70,36,492,114,Matches
537,538,Nathaniel Phillips,eng ENG,DF,Bournemouth,24,1997,17.0,1278,156,706,538,39,17,1278,1,2,50.0,6,2,843,1,Matches
538,539,Jaden Philogene Bidace,eng ENG,FW,Stoke City,19,2002,6.0,332,3,23,167,149,25,332,22,39,56.4,31,15,244,32,Matches
539,540,Harry Pickering,eng ENG,"DF,MF",Blackburn,22,1998,30.5,1656,85,531,690,443,18,1656,5,15,33.3,22,13,750,29,Matches
540,541,Pipa,es ESP,"DF,MF",Huddersfield,23,1998,7.0,390,15,111,172,112,10,390,7,16,43.8,14,3,246,13,Matches
541,542,Joël Piroe,nl NED,"FW,MF",Swansea City,21,1999,38.6,1344,38,148,636,568,130,1343,33,73,45.2,70,49,991,171,Matches
542,543,Luke Plange,eng ENG,FW,Derby County,18,2002,18.5,417,6,25,167,234,47,417,15,43,34.9,60,42,311,76,Matches
543,544,Kwame Poku,gh GHA,"MF,FW",P'borough Utd,19,2001,12.3,606,9,91,304,227,28,606,31,54,57.4,34,30,391,38,Matches
544,545,Brad Potts,eng ENG,"DF,FW",Preston,27,1994,22.0,1422,49,343,618,474,51,1422,12,24,50.0,41,22,801,78,Matches
545,546,Dan Potts,eng ENG,DF,Luton Town,27,1994,8.2,311,26,138,156,22,4,311,0,1,0.0,6,0,141,4,Matches
546,547,Nick Powell,eng ENG,"MF,FW",Stoke City,27,1994,13.2,718,6,67,386,273,43,718,5,20,25.0,30,15,499,72,Matches
547,548,Cameron Pring,eng ENG,"DF,MF",Bristol City,23,1998,22.7,1251,82,429,549,290,30,1251,26,43,60.5,46,21,567,38,Matches
