,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,99,3.01,69,8,6,3,7,6,11,0.33,8,1,1,0,1,0,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,28,1.82,21,2,0,1,2,2,3,0.19,3,0,0,0,0,0,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,10,1.92,6,0,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,101,3.46,50,13,10,10,17,1,5,0.17,4,0,0,0,1,0,Matches
58,59,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,8,0.63,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
59,60,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,61,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,3,0.83,2,1,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
61,62,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,50,2.96,28,0,4,10,7,1,2,0.12,2,0,0,0,0,0,Matches
62,63,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,64,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,5,0.36,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,26,3.26,18,2,4,0,2,0,1,0.13,1,0,0,0,0,0,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,2,1.25,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,3,2.65,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,9,3.31,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,69,Hugo Ayala,mx MEX,DF,UANL,34,1987,13.0,5,0.39,3,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
69,70,Ettson Ayon,mx MEX,FW,Tijuana,20,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,71,Rafael Baca,mx MEX,MF,Cruz Azul,31,1989,26.0,35,1.35,31,0,1,1,1,1,2,0.08,2,0,0,0,0,0,Matches
71,72,Claudio Baeza,cl CHI,MF,Toluca,27,1993,30.4,51,1.68,44,1,0,0,2,4,3,0.10,3,0,0,0,0,0,Matches
72,73,Kevin Balanta,co COL,"MF,DF",Querétaro,24,1997,20.6,17,0.83,14,0,1,0,0,2,2,0.10,1,0,1,0,0,0,Matches
73,74,Miguel Barbieri,ar ARG,DF,Toluca,27,1993,6.5,5,0.77,3,0,0,2,0,0,1,0.15,0,0,0,1,0,0,Matches
74,75,David Barbona,ar ARG,"FW,MF",Tijuana,26,1995,11.9,59,4.95,36,11,6,3,1,2,4,0.34,1,1,0,2,0,0,Matches
75,76,Diego Barbosa,mx MEX,DF,Atlas,24,1996,22.1,43,1.95,33,4,2,2,0,2,5,0.23,3,1,0,1,0,0,Matches
76,77,Adam Bareiro,py PAR,FW,Atlético,25,1996,6.8,17,2.51,16,0,0,1,0,0,2,0.30,1,0,0,1,0,0,Matches
77,78,Sergio Bareiro,py PAR,FW,Necaxa,22,1998,2.5,6,2.44,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
78,79,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30.0,7,0.23,3,4,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
79,80,Martín Barragán,mx MEX,"MF,DF",Puebla,30,1991,3.0,7,2.33,4,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
80,81,Jaine Barreiro,co COL,DF,León,27,1994,27.0,17,0.63,12,0,0,3,1,1,2,0.07,1,0,0,1,0,0,Matches
81,82,Pablo Barrera,mx MEX,"MF,FW",Querétaro,34,1987,29.2,93,3.30,64,19,3,1,5,1,5,0.18,3,1,0,1,0,0,Matches
82,83,Damián Batallini,ar ARG,FW,Atlético,25,1996,2.2,5,2.27,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
83,84,Facundo Batista,uy URU,"FW,MF",Necaxa,22,1999,3.9,8,2.05,6,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
84,85,Cristian Battocchio,it ITA,MF,UNAM,29,1992,7.8,25,3.19,18,6,1,0,0,0,2,0.25,2,0,0,0,0,0,Matches
85,86,Eduard Bello,ve VEN,"MF,FW",Mazatlán,25,1995,5.4,12,1.87,9,1,0,1,1,0,2,0.31,1,0,0,1,0,0,Matches
86,87,Fernando Beltrán,mx MEX,MF,Guadalajara,23,1998,16.9,40,2.37,32,0,1,1,3,3,5,0.30,4,0,1,0,0,0,Matches
87,88,Nicolás Benedetti,co COL,"MF,FW",América,24,1997,2.7,11,4.06,7,1,1,0,1,1,1,0.37,1,0,0,0,0,0,Matches
88,89,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,24,1997,14.4,55,3.82,27,7,6,4,10,1,6,0.42,5,0,1,0,0,0,Matches
89,90,Pablo Bennevendo Peña,mx MEX,DF,UNAM,21,2000,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,91,Germán Berterame,ar ARG,FW,Atlético,22,1998,31.7,83,2.62,54,0,9,13,4,3,10,0.32,6,0,1,3,0,0,Matches
