,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
62,63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,1.8,66,87,75.9,1042,426,37,45,82.2,25,33,75.8,3,7,42.9,0,0.0,0.0,0.0,1,6,1,1,6,Matches
63,64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,11.5,206,305,67.5,2756,498,131,175,74.9,58,83,69.9,4,12,33.3,0,0.8,0.8,-0.8,8,13,8,1,19,Matches
64,65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,217,300,72.3,4255,1423,72,85,84.7,92,121,76.0,40,73,54.8,0,0.5,0.5,-0.5,6,24,6,2,23,Matches
65,66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,24,27,88.9,403,102,11,13,84.6,10,11,90.9,2,2,100.0,0,0.0,0.2,0.0,0,2,0,0,3,Matches
66,67,Othman Boussaid,be BEL,"FW,MF",Utrecht,21,2000,13.8,379,555,68.3,6291,2179,175,215,81.4,153,207,73.9,34,82,41.5,5,4.8,5.6,+0.2,27,31,28,8,61,Matches
67,68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,1,1,100.0,11,10,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
68,69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,281,340,82.6,5013,1493,136,153,88.9,102,119,85.7,39,58,67.2,0,0.1,0.3,-0.1,2,27,3,0,26,Matches
69,70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,719,1095,65.7,18650,12931,184,185,99.5,311,323,96.3,219,574,38.2,0,0.0,0.0,0.0,1,2,0,0,0,Matches
70,71,Myron van Brederode,nl NED,FW,AZ Alkmaar,18,2003,0.1,10,13,76.9,178,45,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
71,72,Michael Breij,nl NED,"MF,FW",Cambuur,24,1997,15.5,270,398,67.8,4485,1366,150,180,83.3,87,130,66.9,27,53,50.9,3,2.1,2.1,+0.9,16,30,16,5,40,Matches
72,73,Joshua Brenet,nl NED,DF,Twente,27,1994,11.1,441,613,71.9,6878,2690,253,306,82.7,142,205,69.3,30,59,50.8,1,1.0,1.3,0.0,14,41,13,4,35,Matches
73,74,Brian Brobbey,nl NED,FW,Ajax,19,2002,4.4,60,81,74.1,638,100,40,54,74.1,12,14,85.7,0,1,0.0,1,0.7,1.0,+0.3,4,5,1,0,3,Matches
74,75,Jorn Brondeel,be BEL,GK,Willem II,27,1993,1.2,19,39,48.7,838,748,1,1,100.0,4,4,100.0,14,34,41.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
75,76,Ilias Bronkhorst,nl NED,"DF,FW",NEC Nijmegen,24,1997,2.2,56,89,62.9,1029,395,29,36,80.6,20,30,66.7,5,11,45.5,0,0.3,0.2,-0.3,3,7,2,0,3,Matches
76,77,Luuk Brouwers,nl NED,MF,Go Ahead Eag,23,1998,31.9,1302,1534,84.9,21482,7237,608,688,88.4,544,615,88.5,105,138,76.1,2,2.4,2.8,-0.4,21,93,22,4,122,Matches
77,78,Jordy Bruijn,nl NED,"MF,FW",NEC Nijmegen,25,1996,20.1,485,644,75.3,8914,2986,209,255,82.0,190,233,81.5,68,109,62.4,3,2.2,1.7,+0.8,19,58,10,1,53,Matches
78,79,Bruma,pt POR,"FW,MF",PSV Eindhoven,26,1994,14.1,571,729,78.3,7163,2021,379,446,85.0,127,166,76.5,18,31,58.1,3,4.9,5.6,-1.9,31,34,35,1,55,Matches
79,80,Max Bruns,nl NED,DF,Twente,18,2002,1.2,33,39,84.6,636,194,11,12,91.7,17,19,89.5,5,6,83.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
80,81,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12.0,278,415,67.0,9442,6929,22,22,100.0,116,118,98.3,140,270,51.9,0,0.0,0.0,0.0,0,7,0,0,0,Matches
81,82,Thomas Buitink,nl NED,"FW,MF",Vitesse,21,2000,12.8,209,319,65.5,3567,1124,100,130,76.9,66,88,75.0,29,56,51.8,0,0.8,1.6,-0.8,10,34,14,4,23,Matches
82,83,Wouter Burger,nl NED,DF,Feyenoord,20,2001,0.9,69,75,92.0,1399,537,23,23,100.0,35,36,97.2,11,13,84.6,0,0.0,0.0,0.0,0,13,0,0,7,Matches
83,84,Delano Burgzorg,nl NED,"FW,MF",Heracles Almelo,22,1998,12.8,221,276,80.1,3083,652,130,152,85.5,71,85,83.5,10,13,76.9,0,0.9,1.2,-0.9,15,12,19,0,25,Matches
84,85,Alexander Büttner,nl NED,"DF,MF",RKC Waalwijk,32,1989,20.9,748,1084,69.0,13812,5499,358,417,85.9,266,347,76.7,106,250,42.4,4,3.6,3.3,+0.4,41,65,27,19,56,Matches
85,86,Zico Buurmeester,nl NED,"MF,DF",AZ Alkmaar,19,2002,0.0,1,1,100.0,45,7,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
86,87,Marc Cardona,es ESP,FW,Go Ahead Eag,26,1995,8.8,155,230,67.4,2208,557,81,107,75.7,55,73,75.3,9,14,64.3,2,1.6,1.2,+0.4,13,14,8,1,19,Matches
87,88,João Carlos Teixeira,pt POR,MF,Feyenoord,28,1993,0.1,7,7,100.0,106,27,4,4,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
88,89,Gabi Caschili,nl NED,MF,Zwolle,18,2003,0.1,5,11,45.5,92,41,2,6,33.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
89,90,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2.0,54,84,64.3,1794,1521,10,10,100.0,18,19,94.7,23,51,45.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
90,91,Václav Černý,cz CZE,FW,Twente,23,1997,6.0,207,277,74.7,2917,857,116,135,85.9,70,91,76.9,9,20,45.0,1,1.3,1.5,-0.3,10,13,14,4,24,Matches
91,92,Ibrahim Cissoko,nl NED,FW,NEC Nijmegen,18,2003,1.0,29,36,80.6,472,174,17,19,89.5,9,10,90.0,3,4,75.0,0,0.0,0.1,0.0,1,5,2,1,4,Matches
92,93,Jordy Clasie,nl NED,MF,AZ Alkmaar,30,1991,26.8,1632,1906,85.6,28999,8193,714,784,91.1,715,796,89.8,167,241,69.3,0,1.3,2.2,-1.3,22,175,19,0,146,Matches
93,94,Pelle Clement,nl NED,"MF,FW",Zwolle,25,1996,15.2,441,655,67.3,6465,2182,257,333,77.2,125,171,73.1,31,82,37.8,2,3.2,3.5,-1.2,35,31,24,8,50,Matches
94,95,Denilho Cleonise,nl NED,"FW,MF",Twente,19,2001,2.1,31,48,64.6,552,162,14,21,66.7,13,18,72.2,3,6,50.0,0,0.3,0.3,-0.3,2,5,2,1,2,Matches
95,96,Iñigo Córdoba,es ESP,"FW,MF",Go Ahead Eag,24,1997,25.7,524,851,61.6,8168,2785,288,384,75.0,153,236,64.8,53,116,45.7,1,2.1,2.5,-1.1,24,60,25,10,68,Matches
96,97,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3.0,65,89,73.0,1950,1518,15,15,100.0,27,27,100.0,23,46,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
97,98,Enzo Cornelisse,nl NED,DF,Vitesse,18,2003,9.3,305,385,79.2,5205,1870,135,158,85.4,137,159,86.2,20,43,46.5,0,0.0,0.1,0.0,1,17,1,0,26,Matches
98,99,George Cox,eng ENG,DF,Fortuna Sittard,23,1998,24.4,738,1116,66.1,14034,5606,326,395,82.5,271,381,71.1,127,268,47.4,2,3.3,2.8,-1.3,29,38,15,11,45,Matches
99,100,Vito van Crooy,nl NED,"FW,MF",Sparta R'dam,25,1996,24.2,,,,,,,,,,,,,,,4,,,,,,,,,Matches
100,101,Daniel Crowley,eng ENG,MF,Willem II,23,1997,9.5,377,445,84.7,6572,1653,177,188,94.1,150,168,89.3,40,67,59.7,0,1.6,1.8,-1.6,11,43,7,1,31,Matches
101,102,Adrián Dalmau,es ESP,FW,Sparta R'dam,27,1994,6.5,67,108,62.0,977,132,34,55,61.8,24,36,66.7,3,4,75.0,0,0.7,0.2,-0.7,8,0,1,0,4,Matches
102,103,Adrián Dalmau,es ESP,FW,Utrecht,27,1994,2.7,22,32,68.8,255,45,15,21,71.4,6,7,85.7,0,0,,0,0.3,0.1,-0.3,3,1,1,0,2,Matches
103,104,Wessel Dammers,nl NED,"DF,MF",Groningen,26,1995,13.3,521,616,84.6,11189,3409,123,146,84.2,324,351,92.3,71,107,66.4,2,0.9,0.4,+1.1,6,28,2,1,31,Matches
104,105,Wessel Dammers,nl NED,DF,Willem II,26,1995,13.9,502,587,85.5,10445,2967,120,132,90.9,306,335,91.3,72,105,68.6,1,0.4,0.2,+0.6,4,23,4,2,28,Matches
105,106,Lennerd Daneels,be BEL,"FW,MF",RKC Waalwijk,23,1998,6.3,138,205,67.3,2129,576,78,95,82.1,41,62,66.1,11,26,42.3,1,0.8,0.9,+0.2,8,13,7,2,11,Matches
106,107,Danilo,br BRA,"FW,MF",Ajax,22,1999,3.1,84,113,74.3,961,202,51,59,86.4,16,21,76.2,3,5,60.0,1,1.1,0.6,-0.1,6,7,4,0,8,Matches
107,108,Damil Dankerlui,sr SUR,"DF,MF",Groningen,24,1996,16.6,621,859,72.3,11863,3629,245,294,83.3,277,353,78.5,90,173,52.0,2,2.6,2.3,-0.6,18,57,14,11,48,Matches
108,109,Mohammed Daramy,dk DEN,"FW,MF",Ajax,19,2002,2.3,94,127,74.0,1209,249,59,72,81.9,28,34,82.4,0,2,0.0,3,2.7,2.2,+0.3,12,4,6,2,6,Matches
109,110,Oussama Darfalou,dz ALG,FW,Vitesse,27,1993,6.0,88,135,65.2,1238,306,54,74,73.0,19,32,59.4,7,8,87.5,2,0.4,0.6,+1.6,6,5,4,0,11,Matches
110,111,Oussama Darfalou,dz ALG,FW,Zwolle,27,1993,9.7,136,236,57.6,1711,496,84,126,66.7,31,57,54.4,6,12,50.0,3,0.7,0.9,+2.3,8,14,12,0,24,Matches
111,112,Eli Dasa,il ISR,"DF,MF",Vitesse,28,1992,29.1,1288,1713,75.2,21490,7946,670,745,89.9,429,574,74.7,135,290,46.6,5,5.7,5.9,-0.7,64,91,70,41,110,Matches
112,113,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2.0,49,79,62.0,1290,967,16,17,94.1,16,16,100.0,17,46,37.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
113,114,Mathias De Wolf,be BEL,FW,NEC Nijmegen,19,2002,0.1,1,2,50.0,15,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
114,115,Mats Deijl,nl NED,"DF,MF",Go Ahead Eag,24,1997,27.1,805,1181,68.2,12412,4950,430,515,83.5,288,422,68.2,52,159,32.7,2,1.8,1.7,+0.2,15,58,15,5,75,Matches
115,116,Thomas van den Belt,nl NED,MF,Zwolle,20,2001,22.9,796,1108,71.8,13893,4540,360,443,81.3,330,425,77.6,82,167,49.1,1,2.3,2.5,-1.3,26,112,17,3,105,Matches
116,117,Connor van den Berg,nl NED,GK,Willem II,20,2001,0.8,8,26,30.8,390,368,0,0,,2,2,100.0,6,24,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
117,118,Rav van den Berg,nl NED,DF,Zwolle,17,2004,4.1,183,232,78.9,3315,1125,81,91,89.0,79,98,80.6,20,34,58.8,0,0.1,0.1,-0.1,2,10,1,1,6,Matches
118,119,Arjen van der Heide,nl NED,"FW,MF",Heerenveen,19,2001,5.5,109,166,65.7,1382,349,68,83,81.9,32,49,65.3,1,11,9.1,1,0.6,0.5,+0.4,7,4,5,2,8,Matches
