,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
79,80,Brunão,br BRA,MF,Arouca,24,1997,0.2,10,3,9,2,0,0,10,0,0,,0,0,5,0,Matches
80,81,Bruninho,br BRA,FW,Arouca,22,1999,3.3,114,1,4,35,75,38,114,2,4,50.0,9,8,77,22,Matches
81,82,David Bruno,pt POR,DF,Estoril,29,1992,13.5,741,59,270,286,185,4,741,0,4,0.0,7,5,398,26,Matches
82,83,Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,361,1,37,182,145,16,361,8,9,88.9,13,9,262,39,Matches
83,84,André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,1025,14,113,401,537,60,1025,44,114,38.6,100,57,745,131,Matches
84,85,Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,97,4,18,52,28,2,97,0,2,0.0,3,0,57,2,Matches
85,86,Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,220,8,14,125,82,21,220,4,8,50.0,18,8,181,35,Matches
86,87,Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,163,1,7,79,79,17,162,5,6,83.3,14,5,117,24,Matches
87,88,Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,723,42,251,348,130,14,723,10,14,71.4,18,5,397,17,Matches
88,89,Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,198,5,16,77,106,37,198,3,8,37.5,16,13,160,38,Matches
89,90,João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches
90,91,Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,64,2,2,32,30,5,64,0,1,0.0,2,2,47,10,Matches
91,92,Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,1048,82,389,451,226,15,1048,9,30,30.0,17,12,513,39,Matches
92,93,Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,344,2,39,146,162,18,344,15,29,51.7,24,13,249,35,Matches
93,94,Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,516,15,49,248,222,69,516,5,16,31.3,61,9,386,76,Matches
94,95,Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,926,20,146,568,232,19,925,24,37,64.9,16,12,504,29,Matches
95,96,Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,203,12,98,101,5,2,203,1,1,100.0,1,1,127,1,Matches
96,97,Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,892,63,304,361,234,9,892,14,20,70.0,22,6,497,20,Matches
97,98,Francis Cann,gh GHA,"FW,MF",FC Vizela,23,1998,2.4,90,0,18,46,28,1,90,4,6,66.7,3,1,54,5,Matches
98,99,Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,1123,63,519,532,79,7,1123,11,12,91.7,16,5,701,13,Matches
99,100,Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,789,60,378,384,28,12,789,2,3,66.7,1,1,609,3,Matches
100,101,Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,1553,35,269,954,362,25,1552,41,67,61.2,50,15,1010,48,Matches
101,102,Carlos,br BRA,FW,Santa Clara,25,1995,2.0,73,2,6,26,42,11,72,2,4,50.0,6,2,47,14,Matches
102,103,José Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,2143,97,634,1000,530,37,2143,28,62,45.2,38,20,1280,83,Matches
103,104,Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,1532,63,353,982,215,12,1532,18,26,69.2,36,19,985,44,Matches
104,105,João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,463,5,42,245,183,14,463,24,39,61.5,25,12,322,40,Matches
105,106,David Carmo,pt POR,DF,Braga,22,1999,11.0,811,111,386,410,16,10,811,1,1,100.0,6,0,573,0,Matches
106,107,Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,1724,85,512,859,382,9,1724,12,17,70.6,18,11,995,32,Matches
107,108,Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,929,31,215,617,106,11,929,13,19,68.4,22,19,487,17,Matches
108,109,Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,5,0,2,4,0,0,5,1,1,100.0,0,0,1,0,Matches
109,110,Martim Carvalho,pt POR,MF,Benfica,18,2003,0.2,18,0,5,9,4,0,18,0,0,,0,0,13,0,Matches
110,111,Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,1511,70,337,981,205,16,1511,9,19,47.4,22,11,961,23,Matches
111,112,Cassiano,br BRA,FW,FC Vizela,32,1989,17.7,478,12,38,207,239,70,477,7,16,43.8,39,14,329,77,Matches
