,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
75,76,Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,32.9,834,1057,78.9,16158,3868,354,422,83.9,334,397,84.1,129,172,75.0,5,4.7,2.9,+0.3,41,112,29,9,95,Matches
76,77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,128,167,76.6,1763,280,79,96,82.3,39,48,81.3,4,6,66.7,1,0.6,0.8,+0.4,6,11,1,0,8,Matches
77,78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,991,1135,87.3,20956,8278,244,263,92.8,606,638,95.0,133,222,59.9,1,1.5,1.2,-0.5,8,80,7,2,68,Matches
78,79,Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,0.4,12,17,70.6,178,51,8,9,88.9,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
79,80,Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,10.6,286,396,72.2,4496,1285,154,189,81.5,87,117,74.4,25,50,50.0,1,1.4,0.8,-0.4,11,28,8,1,24,Matches
80,81,Charles Boli,fr FRA,"MF,DF",Lens,22,1998,0.4,16,20,80.0,254,40,9,10,90.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
81,82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,1340,1525,87.9,26020,10122,488,531,91.9,662,714,92.7,170,238,71.4,1,0.4,0.5,+0.6,7,58,3,0,70,Matches
82,83,Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,27.1,539,795,67.8,8918,2448,299,378,79.1,150,229,65.5,56,112,50.0,6,5.3,4.1,+0.7,33,45,22,8,50,Matches
83,84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,499,665,75.0,6827,1477,317,373,85.0,137,176,77.8,18,49,36.7,2,3.0,2.4,-1.0,15,38,15,7,32,Matches
84,85,Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,25.0,1233,1586,77.7,21760,5825,563,647,87.0,451,562,80.2,156,256,60.9,4,5.2,3.5,-1.2,54,119,21,4,119,Matches
85,86,Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,25.9,746,1016,73.4,12458,3617,387,461,83.9,241,308,78.2,79,157,50.3,4,7.3,5.2,-3.3,56,65,33,4,97,Matches
86,87,Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,17.0,505,760,66.4,9452,3072,223,294,75.9,162,224,72.3,93,171,54.4,2,3.8,3.6,-1.8,32,59,17,2,55,Matches
87,88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,61,72,84.7,1032,340,31,32,96.9,20,24,83.3,7,13,53.8,0,0.0,0.0,0.0,0,1,1,0,2,Matches
88,89,Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,35.5,1374,1942,70.8,26382,8526,576,690,83.5,541,695,77.8,223,430,51.9,12,14.4,11.6,-2.4,122,133,82,26,180,Matches
89,90,Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,0.2,4,7,57.1,58,20,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches
90,91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,220,297,74.1,3571,1028,109,126,86.5,92,116,79.3,16,43,37.2,0,0.8,0.8,-0.8,6,19,3,2,13,Matches
91,92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,126,181,69.6,2142,465,60,73,82.2,42,63,66.7,15,29,51.7,0,1.1,0.7,-1.1,10,6,8,7,5,Matches
92,93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,66,95,69.5,953,255,39,47,83.0,19,28,67.9,5,9,55.6,1,1.1,0.8,-0.1,7,2,5,2,6,Matches
93,94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,1012,1273,79.5,21613,8624,296,343,86.3,534,607,88.0,169,287,58.9,0,0.8,0.4,-0.8,8,91,9,1,73,Matches
94,95,Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,2.5,64,77,83.1,816,207,43,48,89.6,16,21,76.2,1,1,100.0,1,0.9,0.7,+0.1,11,3,4,0,7,Matches
95,96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,955,1185,80.6,18748,7367,338,385,87.8,488,546,89.4,118,218,54.1,2,1.1,1.0,+0.9,4,63,4,1,44,Matches
96,97,Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,11.2,220,299,73.6,2723,644,145,172,84.3,58,80,72.5,4,16,25.0,4,3.0,1.7,+1.0,18,10,6,2,16,Matches
97,98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,548,709,77.3,9362,3622,270,300,90.0,225,276,81.5,46,101,45.5,0,1.2,0.8,-1.2,17,44,14,4,54,Matches
98,99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,110,124,88.7,1860,580,61,68,89.7,30,35,85.7,15,17,88.2,0,0.0,0.0,0.0,0,10,0,0,6,Matches
99,100,Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,21,24,87.5,373,246,7,8,87.5,13,13,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
100,101,Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,3.5,175,211,82.9,2612,872,108,126,85.7,51,58,87.9,10,16,62.5,0,0.5,0.9,-0.5,8,24,8,0,27,Matches
101,102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,1081,1381,78.3,18917,5045,536,597,89.8,424,524,80.9,107,196,54.6,5,2.3,1.5,+2.7,18,55,23,10,70,Matches
102,103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,1260,1627,77.4,23631,8890,516,594,86.9,553,675,81.9,164,278,59.0,3,4.2,3.6,-1.2,28,125,31,18,146,Matches
103,104,Mathieu Cafaro,fr FRA,"MF,FW",Reims,24,1997,2.1,44,84,52.4,792,312,17,31,54.8,23,29,79.3,3,21,14.3,0,0.2,0.4,-0.2,2,2,5,2,5,Matches
104,105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,214,251,85.3,3284,758,114,127,89.8,87,101,86.1,8,12,66.7,0,0.0,0.2,0.0,1,21,2,0,14,Matches
105,106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,269,455,59.1,9691,8167,28,28,100.0,113,117,96.6,127,308,41.2,0,0.0,0.0,0.0,0,7,0,0,0,Matches
106,107,Jens Cajuste,se SWE,"MF,FW",Reims,21,1999,4.0,66,96,68.8,1141,304,31,37,83.8,25,40,62.5,7,9,77.8,0,0.1,0.1,-0.1,2,4,1,0,11,Matches
107,108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,1668,1820,91.6,32452,10224,573,603,95.0,878,913,96.2,195,269,72.5,0,0.9,0.8,-0.9,3,95,6,0,60,Matches
108,109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,2,2,100.0,27,9,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
109,110,Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,23,1998,34.1,1232,1501,82.1,18255,5379,682,781,87.3,425,493,86.2,65,112,58.0,0,1.5,1.3,-1.5,30,114,11,3,87,Matches
110,111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,9,13,69.2,153,6,1,2,50.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
111,112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,67,74,90.5,1373,236,25,30,83.3,27,28,96.4,13,13,100.0,0,0.0,0.0,0.0,1,6,0,0,3,Matches
112,113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,348,488,71.3,5944,2533,168,197,85.3,146,190,76.8,34,82,41.5,2,1.4,1.5,+0.6,12,16,4,3,15,Matches
113,114,Pierrick Capelle,fr FRA,"MF,DF",Angers,34,1987,13.3,456,563,81.0,7826,2216,206,239,86.2,192,216,88.9,44,66,66.7,1,2.0,0.6,-1.0,14,38,3,1,31,Matches
114,115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,1313,1548,84.8,20304,6564,694,779,89.1,473,527,89.8,85,122,69.7,0,2.1,2.4,-2.1,24,172,16,1,113,Matches
115,116,Irvin Cardona,fr FRA,"FW,MF",Brest,23,1997,14.8,209,324,64.5,2936,715,129,167,77.2,52,72,72.2,14,45,31.1,2,2.1,1.6,-0.1,15,10,6,2,12,Matches
116,117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,584,777,75.2,9338,3012,283,324,87.3,237,299,79.3,41,79,51.9,0,0.7,0.8,-0.7,10,32,12,7,35,Matches
117,118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,351,434,80.9,6813,1909,138,157,87.9,149,164,90.9,57,83,68.7,0,0.6,0.6,-0.6,8,47,4,0,34,Matches
118,119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,1036,1208,85.8,19254,7350,369,417,88.5,531,579,91.7,105,167,62.9,0,0.3,0.3,-0.3,6,97,5,1,68,Matches
119,120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,1390,1755,79.2,22094,8085,740,829,89.3,506,623,81.2,102,194,52.6,3,1.8,2.8,+1.2,23,109,34,12,115,Matches
120,121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,591,769,76.9,8827,3879,350,398,87.9,198,261,75.9,29,69,42.0,1,0.7,0.5,+0.3,11,41,11,5,38,Matches
121,122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches
122,123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,6,6,100.0,113,29,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
123,124,Nassim Chadli,fr FRA,"MF,DF",Troyes,20,2001,1.1,26,43,60.5,360,112,17,20,85.0,7,14,50.0,1,4,25.0,0,0.0,0.0,0.0,1,5,0,0,1,Matches
124,125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,2,6,33.3,38,13,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
125,126,Dylan Chambost,fr FRA,"MF,FW",Troyes,23,1997,8.4,379,492,77.0,6344,1758,178,208,85.6,152,187,81.3,33,63,52.4,1,0.7,0.7,+0.3,9,34,7,2,36,Matches
126,127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,1044,1287,81.1,23958,10118,250,277,90.3,549,600,91.5,232,374,62.0,0,0.9,0.6,-0.9,9,97,3,0,62,Matches
127,128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,785,1049,74.8,12517,4017,427,487,87.7,247,329,75.1,70,135,51.9,2,4.0,3.0,-2.0,25,66,19,5,68,Matches
128,129,Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,76,96,79.2,1297,447,39,42,92.9,27,32,84.4,8,16,50.0,0,0.3,0.3,-0.3,3,4,3,1,8,Matches
129,130,Rayan Cherki,fr FRA,"FW,MF",Lyon,17,2003,4.9,196,262,74.8,2933,766,122,142,85.9,53,66,80.3,15,37,40.5,1,1.0,0.7,0.0,12,16,6,0,18,Matches
