,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
42,43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,585,765,76.5,12568,3672,157,192,81.8,334,382,87.4,90,177,50.8,0,0.1,0.1,-0.1,2,29,1,1,30,Matches
43,44,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,7.6,200,268,74.6,3116,874,109,122,89.3,63,87,72.4,20,38,52.6,2,1.1,1.6,+0.9,9,16,8,5,20,Matches
44,45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,1256,1517,82.8,19850,4875,650,723,89.9,437,504,86.7,102,156,65.4,8,5.3,4.6,+2.7,38,104,37,3,115,Matches
45,46,George Bello,us USA,DF,Arminia,19,2002,4.8,130,171,76.0,2023,629,70,80,87.5,54,75,72.0,5,12,41.7,0,0.2,0.4,-0.2,2,9,1,0,9,Matches
46,47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,2.7,138,187,73.8,2401,748,65,82,79.3,55,64,85.9,16,33,48.5,0,0.6,0.8,-0.6,5,15,1,0,11,Matches
47,48,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,0.6,17,25,68.0,265,21,11,14,78.6,4,5,80.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
48,49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,22.4,1063,1322,80.4,18350,6360,486,548,88.7,458,532,86.1,97,171,56.7,1,1.3,1.3,-0.3,13,54,10,3,60,Matches
49,50,Louis Beyer,de GER,DF,M'Gladbach,21,2000,15.4,833,955,87.2,14207,4168,370,404,91.6,406,442,91.9,47,81,58.0,0,0.3,0.6,-0.3,5,25,6,2,26,Matches
50,51,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,2.0,23,42,54.8,348,38,13,19,68.4,6,12,50.0,3,5,60.0,0,0.1,0.1,-0.1,2,0,0,0,2,Matches
51,52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,0.1,3,3,100.0,36,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
52,53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,0.2,2,5,40.0,28,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
53,54,Danny Blum,de GER,FW,Bochum,30,1991,3.8,112,181,61.9,2006,693,54,70,77.1,30,50,60.0,19,39,48.7,0,1.3,1.0,-1.3,12,9,4,3,8,Matches
54,55,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,7.7,256,335,76.4,4464,1269,118,144,81.9,92,115,80.0,34,51,66.7,0,0.4,0.4,-0.4,7,30,1,0,24,Matches
55,56,Herbert Bockhorn,de GER,DF,Bochum,26,1995,9.4,261,374,69.8,4402,1200,133,154,86.4,95,139,68.3,26,49,53.1,0,0.4,0.5,-0.4,4,22,3,2,23,Matches
56,57,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,20.0,695,937,74.2,12816,4802,286,349,81.9,284,351,80.9,95,167,56.9,2,2.9,2.8,-0.9,26,84,24,4,97,Matches
57,58,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,0.2,4,8,50.0,29,0,2,4,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
58,59,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,0.1,3,3,100.0,64,13,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
59,60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,22.3,1007,1177,85.6,20537,7223,247,292,84.6,652,704,92.6,101,158,63.9,0,0.3,0.4,-0.3,3,33,0,0,28,Matches
60,61,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,26.4,489,694,70.5,6740,1241,292,370,78.9,146,207,70.5,20,30,66.7,4,4.1,2.7,-0.1,29,32,23,1,47,Matches
61,62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,21.1,675,805,83.9,13352,4078,198,226,87.6,410,446,91.9,63,116,54.3,0,0.3,0.2,-0.3,5,13,3,0,18,Matches
62,63,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,23.1,1022,1324,77.2,15112,4257,564,655,86.1,312,379,82.3,74,155,47.7,8,5.6,6.3,+2.4,44,72,40,6,107,Matches
63,64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
64,65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,116,129,89.9,2499,1696,39,39,100.0,56,57,98.2,20,32,62.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
65,66,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,0.2,12,17,70.6,219,32,4,4,100.0,4,7,57.1,2,2,100.0,1,0.4,0.4,+0.6,1,0,0,0,0,Matches
66,67,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,1.5,28,32,87.5,349,68,19,21,90.5,5,6,83.3,2,2,100.0,2,0.7,0.1,+1.3,3,2,0,0,3,Matches
67,68,John Brooks,us USA,DF,Wolfsburg,28,1993,29.1,1443,1736,83.1,29973,11427,416,470,88.5,829,908,91.3,187,311,60.1,1,0.6,1.2,+0.4,7,101,8,1,108,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,160,243,65.8,2871,1634,76,83,91.6,62,98,63.3,20,48,41.7,0,0.8,0.6,-0.8,8,16,8,4,20,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,731,1126,64.9,13580,6256,306,365,83.8,332,476,69.7,82,233,35.2,1,1.8,1.7,-0.8,16,61,25,13,58,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,207,286,72.4,3045,690,119,146,81.5,74,101,73.3,8,14,57.1,0,2.6,1.5,-2.6,15,15,16,1,26,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,334,560,59.6,11556,9168,31,31,100.0,129,133,97.0,174,392,44.4,0,0.1,0.0,-0.1,1,13,0,0,2,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,3,3,100.0,17,4,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,399,602,66.3,5907,1265,203,272,74.6,144,199,72.4,22,39,56.4,3,3.5,2.4,-0.5,32,32,19,4,47,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,16,23,69.6,262,207,8,8,100.0,7,7,100.0,1,8,12.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,29,43,67.4,409,179,21,24,87.5,7,15,46.7,1,2,50.0,0,0.1,0.6,-0.1,2,2,3,0,7,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,629,931,67.6,10766,4627,324,387,83.7,222,308,72.1,67,158,42.4,2,2.5,2.2,-0.5,23,56,17,2,64,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,1223,1436,85.2,22156,7240,507,554,91.5,575,637,90.3,118,193,61.1,1,0.9,1.4,+0.1,6,82,7,0,98,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,843,1079,78.1,24035,16224,144,145,99.3,389,395,98.5,307,532,57.7,0,0.0,0.0,0.0,0,13,0,0,1,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,112,169,66.3,1813,538,55,64,85.9,40,57,70.2,10,28,35.7,1,0.4,0.4,+0.6,4,10,3,1,12,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,124,158,78.5,2552,857,37,46,80.4,69,79,87.3,17,29,58.6,0,0.0,0.1,0.0,0,6,1,0,5,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,352,562,62.6,5961,2590,161,220,73.2,156,236,66.1,26,65,40.0,0,0.9,0.7,-0.9,10,20,7,3,37,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,22,27,81.5,417,120,10,12,83.3,10,11,90.9,2,2,100.0,0,0.0,0.1,0.0,0,2,0,0,1,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,739,935,79.0,12869,3469,333,406,82.0,324,381,85.0,66,102,64.7,0,0.7,0.4,-0.7,12,57,5,2,67,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,547,707,77.4,8957,1828,291,340,85.6,199,252,79.0,45,72,62.5,2,3.4,4.8,-1.4,24,23,39,11,51,Matches
