,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,275,248,25,8,2,5,29,4,11,2,9,0,190,2,10,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,65,54,11,2,0,0,3,9,0,0,0,0,49,0,2,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,49,40,8,2,0,2,5,2,4,1,3,0,34,1,2,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,156,156,0,0,0,4,0,0,0,0,0,0,138,0,2,Matches
68,69,Hugo Ayala,mx MEX,DF,UANL,34,1987,13.0,522,504,18,18,0,9,0,0,0,0,0,0,435,0,1,Matches
69,70,Ettson Ayon,mx MEX,FW,Tijuana,20,2001,0.3,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
70,71,Rafael Baca,mx MEX,MF,Cruz Azul,31,1989,26.0,1136,1113,19,11,3,9,8,8,0,0,0,0,934,4,8,Matches
71,72,Claudio Baeza,cl CHI,MF,Toluca,27,1993,30.4,1591,1541,48,40,1,28,16,7,1,0,1,0,1395,2,21,Matches
72,73,Kevin Balanta,co COL,"MF,DF",Querétaro,24,1997,20.6,897,868,28,23,1,14,3,5,0,0,0,0,724,1,12,Matches
73,74,Miguel Barbieri,ar ARG,DF,Toluca,27,1993,6.5,273,249,22,20,0,8,0,2,0,0,0,0,204,2,2,Matches
74,75,David Barbona,ar ARG,"FW,MF",Tijuana,26,1995,11.9,517,458,56,12,3,7,82,10,34,10,21,0,363,3,12,Matches
75,76,Diego Barbosa,mx MEX,DF,Atlas,24,1996,22.1,945,702,240,5,3,10,81,235,0,0,0,0,614,3,41,Matches
76,77,Adam Bareiro,py PAR,FW,Atlético,25,1996,6.8,158,151,7,0,0,4,5,1,0,0,0,0,106,0,4,Matches
77,78,Sergio Bareiro,py PAR,FW,Necaxa,22,1998,2.5,83,80,3,0,0,3,1,1,0,0,0,0,59,0,5,Matches
78,79,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30.0,884,493,387,92,0,0,0,0,0,0,0,0,598,4,1,Matches
79,80,Martín Barragán,mx MEX,"MF,DF",Puebla,30,1991,3.0,103,99,4,1,0,3,1,2,0,0,0,0,79,0,4,Matches
80,81,Jaine Barreiro,co COL,DF,León,27,1994,27.0,1444,1346,91,85,1,45,5,6,0,0,0,0,1197,7,14,Matches
81,82,Pablo Barrera,mx MEX,"MF,FW",Querétaro,34,1987,29.2,1026,882,138,42,2,13,236,25,71,18,39,1,659,6,45,Matches
82,83,Damián Batallini,ar ARG,FW,Atlético,25,1996,2.2,66,58,8,1,0,1,12,6,1,1,0,0,47,0,3,Matches
83,84,Facundo Batista,uy URU,"FW,MF",Necaxa,22,1999,3.9,67,63,4,0,1,0,4,0,0,0,0,0,42,0,2,Matches
84,85,Cristian Battocchio,it ITA,MF,UNAM,29,1992,7.8,350,316,33,12,2,4,28,6,13,5,8,0,279,1,5,Matches
85,86,Eduard Bello,ve VEN,"MF,FW",Mazatlán,25,1995,5.4,108,97,10,3,0,0,6,3,3,1,1,0,73,1,5,Matches
86,87,Fernando Beltrán,mx MEX,MF,Guadalajara,23,1998,16.9,922,894,27,22,2,10,5,5,0,0,0,0,801,1,15,Matches
87,88,Nicolás Benedetti,co COL,"MF,FW",América,24,1997,2.7,96,91,5,1,0,0,5,3,1,0,0,0,74,0,0,Matches
88,89,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,24,1997,14.4,473,422,50,19,2,2,63,8,19,8,7,0,329,1,13,Matches
89,90,Pablo Bennevendo Peña,mx MEX,DF,UNAM,21,2000,2.0,86,60,26,0,0,2,2,26,0,0,0,0,74,0,1,Matches
90,91,Germán Berterame,ar ARG,FW,Atlético,22,1998,31.7,690,639,48,0,1,5,59,9,0,0,0,0,458,3,27,Matches
91,92,Unai Bilbao,es ESP,DF,Atlético,27,1994,32.6,1261,1168,91,84,2,16,1,7,0,0,0,0,1017,2,5,Matches
92,93,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1.0,39,32,7,2,0,0,0,0,0,0,0,0,36,0,0,Matches
93,94,Antonio Briseño,mx MEX,DF,Guadalajara,27,1994,17.3,867,820,46,37,0,13,0,9,0,0,0,0,710,1,4,Matches
94,95,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,30,1990,21.2,924,804,119,15,2,3,32,103,0,0,0,0,734,1,19,Matches
95,96,Gil Burón,mx MEX,"DF,MF",León,27,1994,0.5,26,24,2,0,0,0,1,2,0,0,0,0,21,0,1,Matches
96,97,Gustavo Cabral,ar ARG,DF,Pachuca,35,1985,29.6,1143,1072,70,58,0,18,0,12,0,0,0,0,935,1,7,Matches
97,98,David Cabrera Pujol,mx MEX,MF,Querétaro,31,1989,8.4,589,500,86,39,3,13,26,35,12,4,5,1,443,3,13,Matches
98,99,Sebastián Cáceres,uy URU,DF,América,21,1999,17.5,698,681,17,15,0,1,0,2,0,0,0,0,572,0,3,Matches
99,100,José Caicedo,co COL,DF,UNAM,19,2002,1.0,37,37,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
100,101,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,24,1997,12.8,500,407,92,12,0,10,31,75,2,2,0,0,371,1,15,Matches
101,102,Luis Calzadilla,mx MEX,"MF,FW",Atlético,21,2000,1.0,30,25,5,0,0,0,5,2,3,0,0,0,22,0,0,Matches
102,103,Joel Campbell,cr CRC,"FW,MF",Monterrey,29,1992,17.0,649,576,66,21,2,6,57,11,32,13,13,0,499,7,10,Matches
103,104,Karel Campos,mx MEX,"MF,DF",América,18,2003,0.4,20,18,1,0,0,0,0,1,0,0,0,0,17,1,1,Matches
104,105,Omar Campos,mx MEX,DF,Santos,19,2002,23.3,921,702,219,16,0,4,80,199,4,1,0,0,659,0,31,Matches
