,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
411,412,Rodri,es ESP,MF,Manchester City,25,1996,32.0,2640,2887,91.4,48233,11298,1107,1185,93.4,1207,1271,95.0,294,358,82.1,2,1.9,2.7,+0.1,29,284,37,3,179,Matches
412,413,Rodrigo,es ESP,"MF,FW",Leeds United,30,1991,25.2,681,914,74.5,10329,2668,371,453,81.9,188,243,77.4,63,96,65.6,1,4.3,2.7,-3.3,38,54,31,6,75,Matches
413,414,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,185,313,59.1,2439,672,127,185,68.6,39,78,50.0,9,19,47.4,2,1.6,0.5,+0.4,12,16,3,1,14,Matches
414,415,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,230,358,64.2,3857,1221,107,138,77.5,100,149,67.1,17,45,37.8,1,0.6,0.8,+0.4,7,16,8,7,19,Matches
415,416,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,1149,1325,86.7,20261,7100,473,517,91.5,551,590,93.4,93,159,58.5,0,0.3,0.5,-0.3,6,57,7,0,60,Matches
416,417,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,1377,1691,81.4,23235,6192,676,787,85.9,535,614,87.1,133,198,67.2,2,3.0,2.5,-1.0,37,148,23,3,117,Matches
417,418,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,726,904,80.3,8929,1337,469,541,86.7,174,218,79.8,20,29,69.0,3,3.2,2.0,-0.2,26,46,16,0,38,Matches
418,419,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,117,193,60.6,1410,190,77,116,66.4,23,41,56.1,5,5,100.0,1,1.0,0.7,0.0,8,4,1,0,2,Matches
419,420,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,227,340,66.8,4251,2343,104,118,88.1,90,128,70.3,29,71,40.8,0,1.0,0.5,-1.0,5,29,7,1,25,Matches
420,421,Jon Rowe,eng ENG,"FW,MF",Norwich City,18,2003,2.5,48,72,66.7,534,142,34,42,81.0,8,10,80.0,1,7,14.3,1,0.6,0.2,+0.4,5,4,2,0,4,Matches
421,422,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,22,33,66.7,458,296,11,12,91.7,6,6,100.0,4,14,28.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
422,423,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,2217,2534,87.5,41765,13322,865,926,93.4,1079,1167,92.5,247,369,66.9,0,0.8,1.5,-0.8,12,219,24,3,119,Matches
423,424,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,322,391,82.4,4884,1244,170,191,89.0,116,129,89.9,22,35,62.9,0,1.5,1.1,-1.5,9,24,5,1,24,Matches
424,425,José Sá,pt POR,GK,Wolves,28,1993,36.5,770,1109,69.4,20016,12866,161,164,98.2,379,386,98.2,223,548,40.7,1,0.4,0.0,+0.6,3,14,1,0,2,Matches
425,426,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,31.2,529,747,70.8,7953,1853,299,359,83.3,165,225,73.3,38,75,50.7,5,4.9,3.8,+0.1,50,51,32,8,52,Matches
426,427,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,1437,1808,79.5,26860,12451,585,658,88.9,691,812,85.1,148,298,49.7,0,0.5,0.3,-0.5,7,159,1,0,102,Matches
427,428,Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,33.1,893,1196,74.7,13040,2831,527,612,86.1,289,374,77.3,46,106,43.4,7,8.3,6.9,-1.3,68,40,31,6,62,Matches
428,429,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,875,1136,77.0,11516,3063,567,648,87.5,233,309,75.4,29,49,59.2,13,9.7,7.4,+3.3,62,46,57,4,96,Matches
429,430,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,1388,1850,75.0,24588,11438,583,673,86.6,664,828,80.2,116,280,41.4,0,0.7,0.7,-0.7,9,150,5,2,101,Matches
430,431,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,727,824,88.2,12262,3171,331,367,90.2,324,352,92.0,54,78,69.2,0,1.4,1.1,-1.4,18,68,14,1,58,Matches
431,432,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,994,1133,87.7,17192,5242,398,433,91.9,515,546,94.3,59,111,53.2,0,0.3,1.0,-0.3,5,70,6,1,46,Matches
432,433,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,1082,1525,71.0,28041,17004,200,200,100.0,601,612,98.2,277,699,39.6,0,0.4,0.2,-0.4,3,26,0,0,1,Matches
433,434,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,21.1,805,984,81.8,10392,2336,525,602,87.2,218,271,80.4,21,30,70.0,3,4.9,3.6,-1.9,41,31,39,7,65,Matches
434,435,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,123,162,75.9,1851,506,72,78,92.3,40,53,75.5,6,15,40.0,0,0.0,0.1,0.0,1,18,1,1,12,Matches
435,436,Samir Santos,br BRA,DF,Watford,26,1994,18.6,538,669,80.4,10401,3672,185,202,91.6,292,328,89.0,55,125,44.0,0,0.1,0.1,-0.1,2,27,2,0,21,Matches
436,437,Josh Sargent,us USA,"FW,MF",Norwich City,21,2000,17.5,292,410,71.2,3577,820,208,258,80.6,63,96,65.6,8,16,50.0,1,0.9,1.2,+0.1,11,8,5,0,11,Matches
437,438,Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,19,2002,0.5,14,20,70.0,156,37,8,12,66.7,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,1,Matches
438,439,Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,20.7,332,478,69.5,4981,1253,182,225,80.9,105,144,72.9,21,41,51.2,2,3.1,2.3,-1.1,21,21,22,4,38,Matches
439,440,Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,432,493,87.6,7202,2241,191,206,92.7,211,226,93.4,26,48,54.2,0,0.4,0.3,-0.4,3,36,2,1,15,Matches
440,441,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
441,442,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24.0,698,1012,69.0,15904,7291,199,251,79.3,332,402,82.6,156,326,47.9,2,1.2,0.9,+0.8,9,69,15,1,41,Matches
442,443,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,28,1992,20.6,493,668,73.8,7971,2386,249,302,82.5,201,253,79.4,29,55,52.7,1,2.1,1.2,-1.1,18,46,12,2,48,Matches
443,444,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37.0,945,1294,73.0,26527,17896,149,150,99.3,462,474,97.5,329,660,49.8,0,0.0,0.0,0.0,1,8,1,0,2,Matches
444,445,Ken Sema,se SWE,"MF,FW",Watford,27,1993,9.5,140,224,62.5,2280,758,84,108,77.8,35,53,66.0,15,39,38.5,0,1.5,1.1,-1.5,12,7,3,2,8,Matches
445,446,Nélson Semedo,pt POR,"MF,DF",Wolves,27,1993,23.7,916,1169,78.4,12766,4408,567,628,90.3,290,367,79.0,31,92,33.7,1,2.2,1.4,-1.2,18,62,12,2,56,Matches
446,447,Ryan Sessegnon,eng ENG,"DF,MF",Tottenham,21,2000,11.6,315,428,73.6,4537,1156,185,218,84.9,96,132,72.7,20,41,48.8,2,2.9,2.4,-0.9,14,13,12,4,22,Matches
447,448,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,21,1999,7.9,353,409,86.3,5216,1417,180,194,92.8,151,166,91.0,9,18,50.0,0,0.0,0.1,0.0,1,23,2,0,16,Matches
448,449,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,944,1193,79.1,14230,5275,551,612,90.0,294,361,81.4,64,134,47.8,3,4.1,2.7,-1.1,39,74,16,5,66,Matches
449,450,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22.0,743,948,78.4,15780,5306,260,303,85.8,299,351,85.2,165,256,64.5,1,1.4,1.5,-0.4,16,91,9,1,66,Matches
450,451,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,0.2,5,5,100.0,69,14,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
451,452,Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,142,183,77.6,3070,927,16,26,61.5,111,121,91.7,13,30,43.3,0,0.0,0.0,0.0,0,1,0,0,3,Matches
