,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
80,81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,41,26,14,2,0,1,0,0,0,0,0,0,35,1,0,Matches
81,82,Nick Besler,us USA,"MF,DF",Real Salt Lake,28,1993,2.8,126,125,1,1,0,0,1,0,0,0,0,0,110,0,0,Matches
82,83,Victor Bezerra,us USA,"FW,DF",Chicago Fire,21,2000,0.5,14,12,2,0,0,0,0,0,0,0,0,0,10,0,0,Matches
83,84,David Bingham,us USA,GK,Portland Timbers,32,1989,2.0,71,44,27,11,0,0,0,0,0,0,0,0,31,0,0,Matches
84,85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,1409,1349,56,41,0,9,2,6,0,0,0,0,1148,4,6,Matches
85,86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,679,647,28,10,1,8,5,18,0,0,0,0,543,4,6,Matches
86,87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,1186,1093,91,40,1,9,2,51,0,0,0,0,948,2,5,Matches
87,88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34.0,954,593,360,76,0,0,0,0,0,0,0,0,627,1,0,Matches
88,89,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,33,1988,20.2,1039,931,105,33,5,11,138,14,34,17,13,1,693,3,25,Matches
89,90,Latif Blessing,gh GHA,"MF,FW",Los Angeles FC,25,1996,14.8,558,554,4,3,1,2,5,1,0,0,0,0,463,0,13,Matches
90,91,Emmanuel Boateng,gh GHA,"FW,MF",New England,28,1994,11.1,438,410,24,2,0,3,60,15,6,0,4,0,334,4,15,Matches
91,92,Blake Bodily,us USA,"FW,DF",Portland Timbers,24,1998,0.2,12,10,2,0,0,0,0,2,0,0,0,0,12,0,0,Matches
92,93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,76,42,34,5,0,1,0,0,0,0,0,0,51,0,1,Matches
93,94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34.0,1205,889,312,78,0,2,0,0,0,0,0,0,938,4,1,Matches
94,95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,122,77,45,6,0,2,5,39,0,0,0,0,83,0,3,Matches
95,96,Alex Bono,us USA,GK,Toronto FC,27,1994,24.0,871,586,283,57,0,1,0,1,0,0,0,0,588,2,0,Matches
96,97,Jonathan Bornstein,us USA,"DF,MF",Chicago Fire,37,1984,13.3,517,439,77,4,0,1,20,72,1,0,1,0,408,1,14,Matches
97,98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,191,185,4,0,4,3,19,2,2,0,0,0,138,2,5,Matches
98,99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,490,432,58,8,3,22,33,10,9,2,3,0,333,0,19,Matches
99,100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,176,170,6,1,0,3,16,5,0,0,0,0,124,0,7,Matches
100,101,Ousseni Bouda,bf BFA,"FW,MF",San Jose,21,2000,1.3,50,47,3,0,1,0,5,2,0,0,0,0,37,0,3,Matches
101,102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31.0,1159,1109,49,44,0,7,0,5,0,0,0,0,988,1,9,Matches
102,103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,2067,1943,120,118,6,15,5,1,1,1,0,0,1768,4,18,Matches
103,104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1.0,35,22,13,2,0,0,0,0,0,0,0,0,21,0,0,Matches
104,105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7.0,383,321,61,2,0,1,33,58,1,0,0,0,302,1,13,Matches
105,106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,1426,1205,219,25,2,21,66,188,6,1,5,0,1078,2,31,Matches
106,107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,656,609,44,0,5,7,11,3,3,2,0,0,537,3,23,Matches
107,108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23.0,614,418,195,33,0,1,0,0,0,0,0,0,491,1,0,Matches
108,109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0.0,6,5,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches
109,110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,1606,1377,221,22,4,4,91,198,1,0,0,1,1261,8,38,Matches
110,111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,1601,1553,44,40,3,15,8,2,0,0,0,0,1356,4,17,Matches
111,112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,1061,920,139,26,3,6,51,113,0,0,0,0,807,2,24,Matches
112,113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,971,940,25,24,6,7,3,1,0,0,0,0,851,6,9,Matches
113,114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,208,197,11,1,0,0,5,1,0,0,0,0,160,0,10,Matches
114,115,Noel Buck,us USA,"MF,FW",New England,16,2005,3.2,94,93,1,1,1,2,0,0,0,0,0,0,69,0,4,Matches
115,116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,168,149,18,0,0,0,3,0,0,0,0,0,119,1,4,Matches
116,117,Teal Bunbury,us USA,"FW,MF",Nashville,31,1990,7.3,174,165,7,0,0,1,5,0,0,0,0,0,122,2,3,Matches
117,118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,263,255,3,1,4,5,7,1,0,0,0,0,145,5,5,Matches
118,119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2.0,87,83,3,3,0,0,0,0,0,0,0,0,71,1,2,Matches
119,120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1,Matches
120,121,Brandon Bye,us USA,DF,New England,26,1995,28.5,1567,1301,262,16,1,11,148,245,0,0,0,0,1162,4,47,Matches
121,122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,187,158,28,7,1,1,5,21,0,0,0,0,151,1,2,Matches
122,123,Kevin Cabral,fr FRA,"FW,MF",LA Galaxy,22,1999,18.7,533,518,14,2,0,5,37,8,1,0,0,0,406,1,24,Matches
123,124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,325,315,10,6,0,4,1,3,0,0,0,0,313,0,1,Matches
124,125,Deiber Caicedo,co COL,"FW,MF",Vancouver,21,2000,10.9,304,270,33,8,1,5,54,2,21,12,8,0,234,1,11,Matches
125,126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,627,601,24,8,0,1,2,1,0,0,0,0,526,2,7,Matches
126,127,Drake Callender,us USA,GK,Inter Miami,24,1997,24.0,800,556,240,42,0,3,0,0,0,0,0,0,572,4,0,Matches
127,128,Alexander Callens,pe PER,DF,NYCFC,29,1992,26.5,1623,1529,92,56,1,17,8,36,0,0,0,0,1428,2,13,Matches
128,129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13.0,956,896,58,39,1,15,2,19,0,0,0,0,796,2,7,Matches
129,130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,27.5,1818,1687,128,126,1,8,2,2,0,0,0,0,1601,3,8,Matches
130,131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,23.5,840,819,21,17,0,1,1,4,0,0,0,0,672,0,7,Matches
131,132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,17.6,357,334,21,1,1,8,9,0,0,0,0,0,277,2,12,Matches
132,133,George Campbell,us USA,DF,Atlanta Utd,20,2001,16.4,974,940,32,20,2,10,0,9,0,0,0,0,837,2,17,Matches
133,134,Russell Canouse,us USA,MF,D.C. United,26,1995,13.2,426,404,20,9,0,3,5,9,1,1,0,0,332,2,11,Matches
134,135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,25.2,1446,1397,48,46,1,11,0,2,0,0,0,0,1257,1,16,Matches
135,136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,18.1,871,819,52,51,0,15,2,1,0,0,0,0,758,0,5,Matches
136,137,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,18,2003,0.5,15,15,0,0,0,0,1,0,0,0,0,0,13,0,1,Matches
137,138,Julián Carranza,ar ARG,FW,Philadelphia,21,2000,24.6,602,560,40,3,3,1,6,2,0,0,0,0,439,2,29,Matches
138,139,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23,1998,26.6,1292,1251,29,18,14,29,26,2,9,1,6,0,1031,12,19,Matches
139,140,Wilder Cartagena,pe PER,MF,Orlando City,27,1994,3.7,181,178,2,1,0,5,1,1,0,0,0,0,154,1,3,Matches
140,141,Javier Casas,us USA,MF,Chicago Fire,18,2003,0.4,25,24,1,0,0,0,0,0,0,0,0,0,20,0,1,Matches
141,142,Julio Cascante,cr CRC,DF,Austin,28,1993,30.2,1876,1803,67,56,1,33,4,11,0,0,0,0,1594,6,12,Matches
142,143,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,22,2000,24.4,967,925,37,16,5,3,28,11,4,3,0,0,685,5,31,Matches
143,144,Valentín Castellanos,ar ARG,FW,NYCFC,23,1998,16.2,436,418,15,0,7,2,18,4,0,0,0,0,271,3,20,Matches
144,145,Lucas Cavallini,ca CAN,FW,Vancouver,29,1992,16.8,396,365,28,3,1,11,12,1,0,0,0,0,287,3,9,Matches
145,146,Roman Celentano,us USA,GK,FC Cincinnati,21,2000,27.0,680,409,270,47,0,1,0,0,0,0,0,0,404,1,0,Matches
146,147,Darwin Cerén,sv SLV,MF,Houston Dynamo,32,1989,12.5,540,521,18,13,2,10,7,5,0,0,0,0,471,1,3,Matches
147,148,Edwin Cerrillo,us USA,MF,FC Dallas,21,2000,21.0,1083,1051,31,28,0,6,3,3,0,0,0,0,968,1,16,Matches
148,149,Maikel Chang,cu CUB,"MF,FW",Real Salt Lake,30,1991,20.4,703,665,35,5,2,6,72,24,2,1,1,0,503,3,22,Matches
149,150,Maxime Chanot,lu LUX,DF,NYCFC,32,1989,16.0,854,803,49,47,1,10,0,2,0,0,0,0,733,2,7,Matches
150,151,Diego Chará,co COL,MF,Portland Timbers,35,1986,27.1,1377,1316,60,54,4,15,3,5,1,0,0,0,1208,1,15,Matches
151,152,Yimmi Chará,co COL,"MF,FW",Portland Timbers,30,1991,30.7,1404,1301,98,32,6,18,67,18,34,11,16,1,1163,5,17,Matches
152,153,Giorgio Chiellini,it ITA,DF,Los Angeles FC,37,1984,7.9,419,403,13,12,1,10,1,1,0,0,0,0,346,3,0,Matches
153,154,Mathieu Choiniere,ca CAN,"DF,MF",CF Montréal,22,1999,15.3,800,720,79,8,0,3,20,67,4,0,1,0,678,1,16,Matches
154,155,Léo Chú,br BRA,"FW,MF",Seattle,21,2000,9.1,224,222,1,0,3,0,33,1,0,0,0,0,161,1,11,Matches
