,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
60,61,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,37.3,3,0,0,1,7,0,0,0,0,0,1,1,34,6,1,85.7,Matches
61,62,Sander Berge,no NOR,MF,Sheffield Utd,23,1998,23.1,2,0,0,20,24,2,48,8,21,0,0,0,112,33,30,52.4,Matches
62,63,Di'Shon Bernard,eng ENG,DF,Hull City,20,2000,23.8,8,0,0,29,17,3,6,34,25,0,0,0,124,53,43,55.2,Matches
63,64,Luke Berry,eng ENG,MF,Luton Town,29,1992,7.9,2,0,0,10,7,0,4,2,6,0,0,0,40,20,14,58.8,Matches
64,65,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46.0,1,0,0,0,11,0,0,1,0,0,0,0,36,2,4,33.3,Matches
65,66,Jake Bidwell,eng ENG,DF,Coventry City,28,1993,12.6,4,0,0,12,6,0,34,18,5,0,0,0,46,36,21,63.2,Matches
66,67,Jake Bidwell,eng ENG,DF,Swansea City,28,1993,15.1,2,0,0,12,10,11,49,6,8,0,0,0,39,25,30,45.5,Matches
67,68,Krystian Bielik,pl POL,MF,Derby County,23,1998,11.1,1,0,0,14,14,0,1,14,10,0,0,0,72,28,8,77.8,Matches
68,69,Philip Billing,dk DEN,MF,Bournemouth,25,1996,36.7,13,0,0,50,25,5,43,35,45,0,0,0,137,85,41,67.5,Matches
69,70,Max Bird,eng ENG,MF,Derby County,20,2000,40.2,2,1,0,19,15,0,104,43,35,0,0,0,246,41,41,50.0,Matches
70,71,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
71,72,Jayden Bogle,eng ENG,DF,Sheffield Utd,21,2000,16.3,5,0,0,26,13,3,48,22,21,0,0,0,101,22,22,50.0,Matches
72,73,Marc Bola,eng ENG,DF,Middlesbrough,23,1997,19.6,4,0,0,18,7,0,66,30,17,0,0,0,78,20,16,55.6,Matches
73,74,Gaëtan Bong,cm CMR,"DF,MF",Nott'ham Forest,33,1988,4.9,0,0,0,2,0,0,11,3,7,0,0,0,28,2,8,20.0,Matches
74,75,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15.0,0,0,0,0,3,0,0,0,0,0,0,0,21,3,0,100.0,Matches
75,76,Sam Bowen,wls WAL,MF,Cardiff City,20,2001,2.7,0,0,0,4,1,0,1,1,2,0,0,0,14,1,1,50.0,Matches
76,77,Josh Bowler,eng ENG,MF,Blackpool,22,1999,31.4,6,0,0,28,60,6,93,16,24,1,0,0,134,1,23,4.2,Matches
77,78,Caolan Boyd-Munce,nir NIR,DF,Middlesbrough,21,2000,0.2,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,100.0,Matches
78,79,Sonny Bradley,eng ENG,DF,Luton Town,29,1991,19.7,4,1,1,18,19,3,0,27,17,0,1,0,128,78,29,72.9,Matches
79,80,Tom Bradshaw,wls WAL,"FW,MF",Millwall,29,1992,15.0,2,0,0,16,20,4,12,6,4,1,0,0,40,62,106,36.9,Matches
80,81,Robbie Brady,ie IRL,"DF,FW",Bournemouth,29,1992,2.2,0,0,0,4,2,1,19,3,5,0,0,0,16,2,5,28.6,Matches
81,82,James Bree,eng ENG,"DF,FW",Luton Town,23,1997,41.4,5,0,0,34,22,6,277,35,45,1,0,0,201,60,66,47.6,Matches
82,83,David Bremang,eng ENG,"DF,MF",Barnsley,21,2000,0.4,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,,Matches
83,84,Ben Brereton,cl CHI,FW,Blackburn,22,1999,34.1,8,0,0,37,48,46,15,8,12,2,0,0,108,24,84,22.2,Matches
84,85,Rhian Brewster,eng ENG,FW,Sheffield Utd,21,2000,8.9,2,0,0,15,12,4,7,3,5,1,0,0,27,13,13,50.0,Matches
85,86,Ethan Bristow,eng ENG,"DF,FW",Reading,19,2001,5.5,2,0,0,9,3,0,17,2,7,0,0,0,15,5,8,38.5,Matches
