,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
524,525,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,1692,81,49.5,18.8,19,87,17,2,23,4,1.14,15,23,-8,-0.43,+0.15,20.7,31.6,-10.9,-0.58,-0.11,Matches
525,526,Haydon Roberts,eng ENG,DF,Brighton,19,2002,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
526,527,Tyler Roberts,wls WAL,"MF,FW",Leeds United,22,1999,23,987,43,28.9,11.0,7,84,4,16,25,4,0.83,10,26,-16,-1.46,-0.68,13.8,23.0,-9.2,-0.83,-0.33,Matches
527,528,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,2537,87,74.2,28.2,29,87,25,0,,4,2.41,71,20,+51,+1.81,+0.08,69.1,28.3,+40.8,+1.45,-0.28,Matches
528,529,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,89,30,2.6,1.0,0,,0,3,30,29,2.00,0,3,-3,-3.03,-3.90,0.1,2.6,-2.4,-2.47,-3.11,Matches
529,530,Rodri,es ESP,MF,Manchester City,25,1996,33,2884,87,84.3,32.0,33,87,29,0,,2,2.52,83,22,+61,+1.90,-0.11,80.5,19.5,+61.0,+1.90,+0.31,Matches
530,531,Rodrigo,es ESP,"MF,FW",Leeds United,30,1991,31,2265,73,66.2,25.2,27,78,16,4,37,2,1.06,25,37,-12,-0.48,+1.47,32.7,45.0,-12.3,-0.49,+0.33,Matches
531,532,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,29,1382,48,40.4,15.4,13,80,5,16,21,2,0.90,13,15,-2,-0.13,+0.62,19.7,23.6,-4.0,-0.26,+0.45,Matches
532,533,Mads Roerslev,dk DEN,DF,Brentford,22,1999,21,1240,59,36.3,13.8,12,89,11,9,19,15,1.29,17,27,-10,-0.73,-0.81,14.4,20.6,-6.2,-0.45,-0.59,Matches
533,534,Cristian Romero,ar ARG,DF,Tottenham,23,1998,22,1844,84,53.9,20.5,21,88,19,1,1,2,1.64,38,25,+13,+0.63,-0.28,31.6,25.1,+6.5,+0.32,-0.52,Matches
534,535,Oriol Romeu,es ESP,MF,Southampton,29,1991,36,2889,80,84.5,32.1,34,84,21,2,14,1,1.08,40,52,-12,-0.37,+1.66,43.8,49.5,-5.7,-0.18,+1.12,Matches
535,536,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,2456,82,71.8,27.3,27,88,21,3,28,0,1.63,40,41,-1,-0.04,-0.13,48.8,43.7,+5.1,+0.19,+0.47,Matches
536,537,Salomón Rondón,ve VEN,FW,Everton,31,1989,20,790,40,23.1,8.8,8,78,5,12,14,10,0.85,8,16,-8,-0.91,-0.40,12.8,14.5,-1.6,-0.19,+0.22,Matches
537,538,Danny Rose,eng ENG,DF,Watford,31,1990,8,689,86,20.1,7.7,7,87,6,1,79,7,0.50,5,16,-11,-1.44,-0.38,6.5,17.6,-11.1,-1.45,-0.89,Matches
538,539,Jon Rowe,eng ENG,"FW,MF",Norwich City,18,2003,13,223,17,6.5,2.5,0,,0,13,17,8,0.23,2,5,-3,-1.21,+0.42,2.7,5.6,-2.9,-1.18,+0.05,Matches
539,540,John Ruddy,eng ENG,GK,Wolves,34,1986,2,135,68,3.9,1.5,1,90,1,1,45,36,0.50,1,3,-2,-1.33,-1.25,1.4,3.1,-1.7,-1.12,-0.55,Matches
540,541,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,34,3035,89,88.7,33.7,34,89,33,0,,1,1.91,68,27,+41,+1.22,+0.75,63.4,32.9,+30.4,+0.90,+0.42,Matches
541,542,Lukas Rupp,de GER,MF,Norwich City,30,1991,19,769,40,22.5,8.5,7,69,2,12,24,7,0.58,3,16,-13,-1.52,+0.11,10.9,14.8,-3.9,-0.45,+1.00,Matches
542,543,José Sá,pt POR,GK,Wolves,28,1993,37,3285,89,96.1,36.5,37,89,36,0,,1,1.35,37,40,-3,-0.08,+1.25,39.8,60.6,-20.8,-0.57,+0.55,Matches
543,544,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24,1997,35,2804,80,82.0,31.2,31,87,20,4,29,0,1.20,35,54,-19,-0.61,-0.76,34.9,54.3,-19.4,-0.62,-0.83,Matches
544,545,Romain Saïss,ma MAR,DF,Wolves,31,1990,31,2705,87,79.1,30.1,31,87,27,0,,2,1.32,26,30,-4,-0.13,-0.01,32.0,49.2,-17.2,-0.57,+0.09,Matches
545,546,Bukayo Saka,eng ENG,"FW,MF",Arsenal,19,2001,38,2978,78,87.1,33.1,36,81,16,2,27,0,1.82,53,39,+14,+0.42,+0.63,60.1,43.1,+17.0,+0.52,+0.72,Matches
546,547,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,2762,79,80.8,30.7,30,87,25,5,28,0,2.37,78,22,+56,+1.82,+0.18,80.2,30.2,+49.9,+1.63,+0.55,Matches
547,548,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,2972,87,86.9,33.0,33,88,32,1,54,2,1.09,42,57,-15,-0.45,+1.35,45.9,52.4,-6.5,-0.20,+1.20,Matches
548,549,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,1134,60,33.2,12.6,12,83,9,7,20,18,1.74,11,12,-1,-0.08,-0.63,20.0,15.9,+4.1,+0.33,-0.14,Matches
549,550,Davinson Sánchez,co COL,DF,Tottenham,25,1996,23,1631,71,47.7,18.1,17,90,17,6,17,14,2.00,33,16,+17,+0.94,+0.33,37.1,20.8,+16.4,+0.90,+0.66,Matches
550,551,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,3329,90,97.3,37.0,37,90,36,0,,0,1.38,42,42,0,0.00,+1.98,52.5,49.0,+3.5,+0.09,+0.35,Matches
551,552,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,21,2000,29,1900,66,55.6,21.1,20,81,11,9,31,3,1.55,29,28,+1,+0.05,+0.11,32.7,32.8,-0.1,0.00,-0.13,Matches
552,553,Dion Sanderson,eng ENG,DF,Wolves,21,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
553,554,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,356,36,10.4,4.0,3,71,0,7,20,17,1.30,2,8,-6,-1.52,-1.63,2.8,6.4,-3.6,-0.90,-0.81,Matches
554,555,Samir Santos,br BRA,DF,Watford,26,1994,19,1673,88,48.9,18.6,19,88,16,0,,0,0.53,11,36,-25,-1.34,-0.42,19.1,32.3,-13.1,-0.71,+0.07,Matches
555,556,Josh Sargent,us USA,"FW,MF",Norwich City,21,2000,26,1572,60,46.0,17.5,18,79,5,8,19,0,0.62,11,33,-22,-1.26,+0.64,15.5,32.6,-17.1,-0.98,+0.46,Matches
556,557,Jeremy Sarmiento,ec ECU,"FW,MF",Brighton,19,2002,5,48,10,1.4,0.5,1,12,0,4,9,7,0.80,0,2,-2,-3.75,-3.75,0.5,1.0,-0.5,-0.93,-1.03,Matches
557,558,Ismaila Sarr,sn SEN,"FW,MF",Watford,23,1998,22,1861,85,54.4,20.7,21,86,17,1,45,0,0.77,15,40,-25,-1.21,-0.17,23.4,42.5,-19.2,-0.93,-0.40,Matches
558,559,Malang Sarr,fr FRA,DF,Chelsea,22,1999,8,546,68,16.0,6.1,6,85,4,2,18,21,2.00,6,7,-1,-0.16,-1.54,5.3,6.6,-1.3,-0.22,-1.28,Matches
559,560,Charlie Savage,wls WAL,MF,Manchester Utd,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
560,561,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,1,4,4,0.1,0.0,0,,0,1,4,23,3.00,0,0,0,0.00,-0.76,0.0,0.6,-0.6,-13.36,-13.93,Matches
561,562,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,25,2158,86,63.1,24.0,25,86,22,0,,13,1.56,26,32,-6,-0.25,+0.61,28.5,34.7,-6.2,-0.26,+0.59,Matches
562,563,Kjell Scherpen,nl NED,GK,Brighton,21,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
563,564,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,28,1992,32,1851,58,54.1,20.6,20,84,13,12,14,4,1.25,23,19,+4,+0.19,+0.19,29.6,26.6,+3.0,+0.15,-0.13,Matches
