,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
61,62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,1,0,0,1,3,0,0,0,0,0,1,0,18,0,0,,Matches
62,63,Federico Bernardeschi,it ITA,"MF,FW",Juventus,27,1994,16.4,5,0,0,16,27,4,51,5,10,0,0,0,82,7,17,29.2,Matches
63,64,Nicolò Bertola,it ITA,"MF,DF",Spezia,18,2003,0.4,0,0,0,0,0,0,0,3,2,0,0,0,4,1,1,50.0,Matches
64,65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,5,1,1,21,12,2,17,5,2,0,0,0,84,8,7,53.3,Matches
65,66,Beto,gw GNB,FW,Udinese,23,1998,24.1,1,0,0,52,24,13,2,5,6,0,0,0,54,73,123,37.2,Matches
66,67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,3,0,0,7,6,0,1,17,4,0,0,0,35,19,13,59.4,Matches
67,68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0,Matches
68,69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,4,0,0,12,11,1,14,16,16,0,0,0,53,21,16,56.8,Matches
69,70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
70,71,Jeremie Boga,ci CIV,"FW,MF",Atalanta,24,1997,8.5,0,0,0,1,17,3,24,1,3,0,0,0,37,3,6,33.3,Matches
71,72,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24,1997,7.4,0,0,0,1,9,2,7,2,4,1,0,0,25,2,5,28.6,Matches
72,73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,0,0,0,2,1,0,1,6,3,0,0,0,18,6,8,42.9,Matches
73,74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,5,0,0,16,13,1,20,12,9,0,0,0,61,6,13,31.6,Matches
74,75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,8,1,1,31,49,2,36,14,17,2,0,0,141,16,16,50.0,Matches
75,76,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,24,1997,20.7,6,0,0,31,66,6,23,6,12,0,0,0,76,11,24,31.4,Matches
76,77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,4,1,1,15,10,0,3,16,16,0,1,1,97,34,18,65.4,Matches
77,78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,1,0,0,17,8,1,3,26,5,0,1,0,95,44,35,55.7,Matches
78,79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,0,0,0,6,6,0,3,3,1,0,0,0,20,1,2,33.3,Matches
79,80,Edoardo Bove,it ITA,"MF,DF",Roma,19,2002,0.8,0,0,0,1,3,0,2,1,1,0,0,0,4,0,3,0.0,Matches
80,81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,1,0,0,20,21,5,135,4,5,0,0,0,128,17,31,35.4,Matches
81,82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,7,0,0,66,20,5,1,105,24,0,0,0,284,131,147,47.1,Matches
82,83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,7,0,0,43,32,0,23,37,45,0,0,0,252,13,24,35.1,Matches
83,84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,50.0,Matches
84,85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,5,0,0,27,16,1,6,31,9,0,1,0,60,53,27,66.3,Matches
85,86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,8,0,0,31,17,0,38,21,28,0,0,0,99,31,33,48.4,Matches
86,87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,0,0,0,5,3,0,2,1,1,0,0,0,6,1,4,20.0,Matches
87,88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,1,0,0,9,6,0,11,8,6,0,0,0,29,2,6,25.0,Matches
88,89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,3,1,0,7,9,0,12,14,7,0,0,0,55,5,5,50.0,Matches
89,90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,1,0,0,6,2,4,0,0,3,1,0,0,10,15,17,46.9,Matches
90,91,Felipe Caicedo,ec ECU,"FW,DF",Inter,32,1988,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
91,92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,2,0,0,15,28,1,53,23,37,0,0,0,140,10,27,27.0,Matches
92,93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,0,0,3,0,0,0,2,0,0,0,0,2,1,0,100.0,Matches
93,94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,2,0,0,4,0,0,3,3,4,0,0,0,8,1,2,33.3,Matches
94,95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,9,0,0,28,22,3,2,62,28,1,1,0,170,49,51,49.0,Matches
95,96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,11,0,0,36,26,0,196,25,23,1,0,0,187,10,21,32.3,Matches
96,97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,0,0,0,3,17,3,62,3,6,0,1,0,72,8,18,30.8,Matches
97,98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,5,1,1,22,16,1,66,23,20,0,0,0,144,7,17,29.2,Matches
98,99,Matteo Cancellieri,it ITA,"MF,DF",Hellas Verona,19,2002,2.5,1,0,0,9,4,1,8,1,4,0,0,0,13,4,13,23.5,Matches
99,100,Antonio Candreva,it ITA,"MF,FW",Sampdoria,34,1987,34.7,6,1,0,19,48,14,343,33,16,0,0,0,193,2,7,22.2,Matches
100,101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,0,0,0,3,1,0,0,0,1,0,0,0,8,1,4,20.0,Matches
101,102,Gianluca Caprari,it ITA,"MF,FW",Hellas Verona,28,1993,30.4,4,0,0,42,74,14,108,4,25,1,0,0,164,8,27,22.9,Matches
102,103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,0,0,0,23,38,36,12,2,2,3,0,0,61,24,33,42.1,Matches
103,104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,1,0,0,0,3,0,0,0,0,0,0,0,2,2,1,66.7,Matches
104,105,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,6,0,0,18,9,0,25,27,24,0,0,1,110,41,38,51.9,Matches
105,106,Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,10,0,0,43,24,0,15,49,30,0,0,0,197,69,61,53.1,Matches
106,107,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,Matches
107,108,Samu Castillejo,es ESP,"FW,MF",Milan,26,1995,1.4,1,0,0,2,2,0,8,2,2,1,0,0,5,2,2,50.0,Matches
108,109,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,4,0,0,21,36,1,40,11,17,0,0,0,85,8,12,40.0,Matches
109,110,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,8,0,0,18,19,0,66,17,17,0,1,0,165,6,7,46.2,Matches
110,111,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,7,1,0,26,26,0,12,30,31,0,3,0,194,38,31,55.1,Matches
111,112,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,12,1,1,57,25,3,5,50,16,0,0,0,175,62,49,55.9,Matches
112,113,Emil Ceide,no NOR,"FW,MF",Sassuolo,19,2001,0.6,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
113,114,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,3,0,0,18,12,1,7,25,12,0,0,0,87,40,22,64.5,Matches
114,115,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
115,116,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,5,0,0,10,11,0,1,9,10,0,0,0,32,20,11,64.5,Matches
116,117,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,2,0,0,15,22,2,1,22,13,0,0,0,78,37,21,63.8,Matches
117,118,Federico Chiesa,it ITA,"MF,FW",Juventus,23,1997,9.6,0,0,0,9,16,1,32,4,19,1,0,0,47,0,8,0.0,Matches
118,119,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,4,0,0,28,13,1,0,41,15,0,3,0,165,34,53,39.1,Matches
119,120,Riccardo Ciervo,it ITA,"MF,DF",Sampdoria,19,2002,2.5,0,0,0,3,1,0,9,2,3,0,0,0,17,0,3,0.0,Matches
120,121,Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,0,0,0,2,1,2,0,0,0,0,0,0,1,4,2,66.7,Matches
121,122,Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
122,123,Ebrima Colley,gm GAM,"FW,MF",Spezia,21,2000,4.4,1,0,0,10,12,2,18,3,1,0,0,0,15,2,5,28.6,Matches
123,124,Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,6,1,0,25,31,1,1,80,36,0,1,0,182,56,38,59.6,Matches
124,125,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,2,0,0,2,7,0,0,0,0,0,2,0,41,7,1,87.5,Matches
125,126,Andrea Conti,it ITA,"DF,MF",Sampdoria,27,1994,2.6,1,0,0,5,4,0,0,7,2,0,0,0,5,0,3,0.0,Matches
126,127,Andrea Conti,it ITA,DF,Milan,27,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
127,128,Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,0,0,0,2,1,0,0,4,4,0,0,0,18,11,4,73.3,Matches
128,129,Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,2,0,0,15,16,1,1,3,5,0,0,0,32,8,11,42.1,Matches
129,130,Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,3,0,0,34,49,0,13,22,32,0,0,0,171,22,23,48.9,Matches
130,131,Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,1,0,0,16,9,0,8,11,12,1,0,0,74,9,8,52.9,Matches
131,132,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,3,0,0,1,8,0,0,1,3,0,1,0,39,3,3,50.0,Matches
132,133,Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,4,0,0,21,27,0,50,39,21,0,0,0,126,18,17,51.4,Matches
133,134,Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,9,0,0,40,14,1,14,40,39,0,1,1,190,87,61,58.8,Matches
134,135,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,3,0,0,26,12,1,30,24,13,0,1,0,106,25,43,36.8,Matches
135,136,Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
136,137,Juan Cuadrado,co COL,"DF,MF",Juventus,33,1988,27.6,9,0,0,19,52,1,134,29,23,0,0,0,162,20,14,58.8,Matches
137,138,Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,2,0,0,12,9,1,18,12,9,0,1,0,57,9,9,50.0,Matches
138,139,Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,1,0,0,13,16,20,21,5,2,1,0,0,40,9,30,23.1,Matches
139,140,Danilo D'Ambrosio,it ITA,DF,Inter,32,1988,11.1,2,0,0,13,5,1,7,8,15,0,0,0,63,18,16,52.9,Matches
140,141,Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,21,2000,6.4,1,0,0,10,8,0,5,7,13,0,0,0,41,7,5,58.3,Matches
141,142,Danilo,br BRA,"DF,MF",Juventus,30,1991,21.0,6,0,0,19,11,0,13,32,26,0,0,0,121,37,24,60.7,Matches
142,143,Ebrima Darboe,gm GAM,MF,Roma,20,2001,0.7,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,,Matches
143,144,Matteo Darmian,it ITA,DF,Inter,31,1989,16.7,4,0,0,23,18,0,37,19,16,1,0,0,54,18,5,78.3,Matches
144,145,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26,1995,13.3,3,0,0,26,14,0,6,21,18,0,1,0,70,22,25,46.8,Matches
145,146,Sebastien De Maio,fr FRA,DF,Udinese,34,1987,2.0,0,0,0,3,0,0,0,1,1,0,0,0,16,2,3,40.0,Matches
146,147,Tommaso De Nipoti,it ITA,FW,Atalanta,18,2003,0.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,100.0,Matches
147,148,Mattia De Sciglio,it ITA,DF,Juventus,28,1992,13.0,2,1,0,15,7,0,52,10,12,0,1,0,75,16,8,66.7,Matches
148,149,Lorenzo De Silvestri,it ITA,DF,Bologna,33,1988,25.5,7,0,0,28,28,3,57,26,14,1,0,0,97,75,46,62.0,Matches
149,150,Grégoire Defrel,mq MTQ,FW,Sassuolo,30,1991,15.1,3,0,0,16,18,3,1,4,9,0,0,0,43,9,36,20.0,Matches
150,151,Alessandro Deiola,it ITA,MF,Cagliari,25,1995,23.7,5,0,0,45,21,1,12,26,22,0,0,0,149,40,42,48.8,Matches
151,152,Filippo Delli Carri,it ITA,DF,Salernitana,22,1999,3.7,1,0,0,2,2,0,3,4,4,0,0,0,18,4,3,57.1,Matches
152,153,Merih Demiral,tr TUR,DF,Atalanta,23,1998,21.3,8,0,0,29,16,3,0,58,17,0,1,0,122,85,37,69.7,Matches
153,154,Diego Demme,de GER,MF,Napoli,29,1991,7.7,4,0,0,28,8,0,7,9,12,0,0,0,52,4,5,44.4,Matches
154,155,Fabio Depaoli,it ITA,DF,Hellas Verona,24,1997,7.8,3,0,0,20,10,4,32,8,7,0,0,0,39,9,12,42.9,Matches
155,156,Fabio Depaoli,it ITA,"MF,DF",Sampdoria,24,1997,1.2,1,0,0,8,1,0,3,1,1,0,0,0,4,1,3,25.0,Matches
156,157,Mattia Destro,it ITA,FW,Genoa,30,1991,19.4,4,0,0,40,31,19,2,2,4,0,0,0,30,62,110,36.0,Matches
157,158,Gerard Deulofeu,es ESP,"FW,MF",Udinese,27,1994,29.1,9,0,0,25,31,33,166,9,6,2,0,0,93,2,17,10.5,Matches
158,159,Jacopo Dezi,it ITA,MF,Venezia,29,1992,0.2,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,100.0,Matches
159,160,Samuel Di Carmine,it ITA,FW,Hellas Verona,32,1988,0.4,1,0,0,1,2,0,0,0,0,0,0,0,1,1,2,33.3,Matches
160,161,Federico Di Francesco,it ITA,"FW,MF",Empoli,27,1994,15.2,2,0,0,29,27,13,38,9,5,1,0,0,50,2,17,10.5,Matches
161,162,Giovanni Di Lorenzo,it ITA,DF,Napoli,27,1993,31.9,3,0,0,37,46,8,49,38,36,1,0,0,168,44,28,61.1,Matches
162,163,Francesco Di Mariano,it ITA,FW,Venezia,25,1996,0.7,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0.0,Matches
163,164,Francesco Di Tacchio,it ITA,MF,Salernitana,31,1990,13.9,3,0,0,24,24,0,7,22,7,0,0,1,85,15,17,46.9,Matches
164,165,Amadou Diawara,gn GUI,MF,Roma,24,1997,1.9,0,0,0,5,0,0,0,0,2,0,0,0,12,1,0,100.0,Matches
165,166,Brahim Díaz,es ESP,MF,Milan,21,1999,20.6,4,0,0,22,33,4,11,8,17,0,0,0,108,4,40,9.1,Matches
166,167,Mitchell Dijks,nl NED,"DF,FW",Bologna,28,1993,7.7,2,0,0,10,10,0,28,3,6,0,0,0,44,9,4,69.2,Matches
167,168,Federico Dimarco,it ITA,DF,Inter,23,1997,15.9,1,0,0,15,14,2,151,19,15,0,0,0,103,8,8,50.0,Matches
