,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
333,334,Håvard Nordtveit,no NOR,DF,Hoffenheim,31,1990,3.4,2,0.59,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
334,335,Connor Noß,ie IRL,MF,M'Gladbach,20,2001,0.6,1,1.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
335,336,Hugo Novoa,es ESP,"MF,FW",RB Leipzig,18,2003,1.5,3,1.99,2,0,0,0,1,0,1,0.66,0,0,0,0,1,0,Matches
336,337,Soma Novothny,hu HUN,"FW,MF",Bochum,27,1994,0.9,2,2.28,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
337,338,Kasim Nuhu,gh GHA,DF,Hoffenheim,26,1995,0.1,1,18.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
338,339,Hans Nunoo Sarpei,gh GHA,"DF,MF",Greuther Fürth,22,1998,7.1,6,0.84,3,0,0,0,0,3,1,0.14,0,0,0,0,0,1,Matches
339,340,Bastian Oczipka,de GER,DF,Union Berlin,32,1989,10.4,35,3.38,20,11,1,0,2,1,3,0.29,3,0,0,0,0,0,Matches
340,341,Masaya Okugawa,jp JPN,"MF,FW",Arminia,25,1996,28.1,42,1.49,33,0,2,2,3,2,3,0.11,2,0,0,1,0,0,Matches
341,342,Mathias Olesen,lu LUX,"MF,FW",Köln,20,2001,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
342,343,Dani Olmo,es ESP,"MF,FW",RB Leipzig,23,1998,8.3,31,3.75,21,1,3,1,5,0,6,0.73,5,0,0,0,1,0,Matches
343,344,Karim Onisiwo,at AUT,FW,Mainz 05,29,1992,26.2,90,3.43,62,0,14,5,9,0,12,0.46,10,0,1,1,0,0,Matches
344,345,Willi Orban,hu HUN,DF,RB Leipzig,28,1992,29.4,21,0.72,15,0,0,2,1,3,3,0.10,2,0,0,0,0,1,Matches
345,346,Stefan Ortega,de GER,GK,Arminia,28,1992,33.0,16,0.48,14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
346,347,Patrick Osterhage,de GER,MF,Bochum,21,2000,6.7,9,1.35,7,1,0,0,1,0,2,0.30,2,0,0,0,0,0,Matches
347,348,Tomáš Ostrák,cz CZE,"MF,FW",Köln,21,2000,0.3,3,8.71,3,0,0,0,0,0,1,2.90,1,0,0,0,0,0,Matches
348,349,Paulo Otávio,br BRA,"DF,MF",Wolfsburg,26,1994,4.0,6,1.49,4,0,0,1,1,0,1,0.25,1,0,0,0,0,0,Matches
349,350,Reece Oxford,eng ENG,DF,Augsburg,22,1998,29.9,18,0.60,14,0,0,2,1,1,2,0.07,1,0,0,1,0,0,Matches
