,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
149,150,Daniel Ginczek,de GER,"MF,FW",Wolfsburg,30,1991,0.1,4,4,0,0,1,0,0,0,0,0,0,0,1,0,1,Matches
150,151,Matthias Ginter,de GER,DF,M'Gladbach,27,1994,26.2,1773,1694,64,50,3,23,20,14,0,0,0,0,1460,15,22,Matches
151,152,Serge Gnabry,de GER,"FW,DF",Bayern Munich,26,1995,24.3,1356,1263,86,11,15,3,79,53,20,7,9,0,1063,7,29,Matches
152,153,Leon Goretzka,de GER,MF,Bayern Munich,26,1995,15.5,854,834,15,3,5,7,9,7,1,0,0,0,708,5,16,Matches
153,154,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,30,1991,28.6,1210,1131,64,60,2,25,6,4,0,0,0,0,861,15,9,Matches
154,155,Jens Grahl,de GER,GK,Eint Frankfurt,32,1988,1.0,29,18,11,0,0,0,0,0,0,0,0,0,24,0,0,Matches
155,156,Julian Green,us USA,MF,Greuther Fürth,26,1995,11.7,433,360,72,39,0,8,57,2,29,17,11,0,322,1,11,Matches
156,157,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,15.5,415,385,28,2,2,1,10,8,0,0,0,0,244,2,7,Matches
157,158,Sebastian Griesbeck,de GER,"DF,MF",Greuther Fürth,30,1990,27.1,878,845,31,31,1,5,1,0,0,0,0,0,689,2,19,Matches
158,159,Sebastian Griesbeck,de GER,MF,Union Berlin,30,1990,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
159,160,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,30.8,1428,1217,203,95,7,8,169,11,85,58,23,1,1043,8,27,Matches
160,161,Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,47,32,15,5,0,0,0,0,0,0,0,0,34,0,0,Matches
161,162,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,25,1995,16.6,1062,977,82,75,1,8,11,3,0,0,0,0,940,3,16,Matches
162,163,Carlos Gruezo,ec ECU,MF,Augsburg,26,1995,10.8,319,315,3,1,1,4,4,2,0,0,0,0,244,1,8,Matches
163,164,Raphaël Guerreiro,pt POR,DF,Dortmund,27,1993,19.9,1525,1324,196,39,2,2,39,140,17,4,8,1,1294,5,22,Matches
164,165,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30,1990,10.5,517,508,8,8,0,4,0,0,0,0,0,0,424,1,3,Matches
165,166,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,1176,901,273,75,0,2,0,0,0,0,0,0,950,2,0,Matches
166,167,Manuel Gulde,de GER,DF,Freiburg,30,1991,13.6,585,554,28,28,0,1,3,0,0,0,0,0,483,3,5,Matches
167,168,Robert Gumny,pl POL,DF,Augsburg,23,1998,25.2,965,797,165,14,0,8,28,151,0,0,0,0,720,3,24,Matches
168,169,Christian Günter,de GER,"DF,MF",Freiburg,28,1993,34.0,1667,1218,444,39,0,14,211,314,91,56,20,0,1142,5,52,Matches
169,170,Lasse Günther,de GER,DF,Augsburg,18,2003,1.8,69,58,11,0,0,0,3,11,0,0,0,0,48,0,4,Matches
170,171,Joško Gvardiol,hr CRO,DF,RB Leipzig,19,2002,26.8,2121,1992,118,54,10,13,8,54,0,0,0,0,1769,11,37,Matches
171,172,Erling Haaland,no NOR,FW,Dortmund,21,2000,21.2,476,416,55,0,3,0,8,3,0,0,0,0,331,5,17,Matches
172,173,Janik Haberer,de GER,MF,Freiburg,27,1994,9.1,323,319,4,3,0,2,4,1,0,0,0,0,244,0,15,Matches
173,174,Alexander Hack,de GER,DF,Mainz 05,27,1993,23.0,1135,1064,68,60,1,8,5,8,0,0,0,0,895,3,16,Matches
174,175,Robin Hack,de GER,"FW,MF",Arminia,22,1998,15.2,494,447,43,11,2,3,34,11,13,6,3,0,349,4,23,Matches
175,176,André Hahn,de GER,"MF,FW",Augsburg,30,1990,23.3,448,438,8,0,0,3,41,4,0,0,0,0,232,2,25,Matches
176,177,Amadou Haidara,ml MLI,MF,RB Leipzig,23,1998,14.7,788,767,18,9,2,3,6,5,0,0,0,0,655,3,16,Matches
177,178,Marcel Halstenberg,de GER,DF,RB Leipzig,29,1991,5.6,414,391,23,7,0,2,6,14,2,0,1,0,361,0,4,Matches
178,179,Genki Haraguchi,jp JPN,MF,Union Berlin,30,1991,19.5,546,539,4,4,1,1,12,0,0,0,0,0,395,3,16,Matches
179,180,Luis Hartwig,de GER,FW,Bochum,18,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
180,181,Makoto Hasebe,jp JPN,DF,Eint Frankfurt,37,1984,13.2,939,910,27,25,1,3,2,2,0,0,0,0,810,2,5,Matches
181,182,Thorgan Hazard,be BEL,"FW,DF",Dortmund,28,1993,14.9,835,716,115,14,1,13,71,65,36,14,18,0,613,4,25,Matches
182,183,Jonas Hector,de GER,DF,Köln,31,1990,28.4,1632,1356,272,39,2,10,71,233,0,0,0,0,1225,4,34,Matches
183,184,Hwang Hee-chan,kr KOR,FW,RB Leipzig,25,1996,0.5,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
184,185,Dominique Heintz,de GER,DF,Union Berlin,27,1993,5.2,260,249,10,8,0,2,1,2,0,0,0,0,205,1,6,Matches
185,186,Dominique Heintz,de GER,DF,Freiburg,27,1993,0.3,21,20,1,1,0,0,0,0,0,0,0,0,20,0,0,Matches
