,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
392,393,Andrés Mosquera Guardia,co COL,DF,León,31,1990,25.7,1,13,1,7.7,0.50,0.04,0.08,1.00,13.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
393,394,Alan Mozo,mx MEX,DF,UNAM,24,1997,27.3,0,17,4,23.5,0.62,0.15,0.00,0.00,23.6,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
394,395,Isaác Muniz,mx MEX,MF,León,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
395,396,Zahid Muñoz,mx MEX,"MF,FW",Atlético,20,2001,3.8,0,6,3,50.0,1.57,0.79,0.00,0.00,19.5,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
396,397,Jhon Murillo,ve VEN,"FW,MF",Atlético,26,1995,12.2,3,18,6,33.3,1.47,0.49,0.17,0.50,,,0,0,,,,,,Matches
397,398,Óscar Murillo,co COL,DF,Pachuca,33,1988,15.8,0,12,2,16.7,0.76,0.13,0.00,0.00,10.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
398,399,Ariel Nahuelpán,ar ARG,FW,Querétaro,33,1987,1.7,2,4,1,25.0,2.37,0.59,0.25,1.00,16.5,0,1,1,1.8,1.0,0.24,+0.2,0.0,Matches
399,400,Fernando Navarro Morán,mx MEX,"FW,MF",Pachuca,32,1989,2.7,0,3,0,0.0,1.12,0.00,0.00,,16.0,1,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
400,401,Fernando Navarro Morán,mx MEX,"MF,FW",León,32,1989,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
401,402,Santiago Naveda,mx MEX,MF,América,20,2001,4.8,0,2,0,0.0,0.41,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
402,403,Hugo Nervo,ar ARG,DF,Atlas,30,1991,34.0,3,13,3,23.1,0.38,0.09,0.23,1.00,11.0,0,0,0,1.0,1.0,0.08,+2.0,+2.0,Matches
403,404,Francisco Nevarez,mx MEX,"DF,FW",FC Juárez,20,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
404,405,Ygor Nogueira,br BRA,DF,Mazatlán,26,1995,8.1,0,3,1,33.3,0.37,0.12,0.00,0.00,16.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
405,406,Alberto Ocejo,mx MEX,"FW,MF",Santos,23,1998,9.0,1,26,6,23.1,2.90,0.67,0.04,0.17,15.8,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches
406,407,Guillermo Ochoa,mx MEX,GK,América,36,1985,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
407,408,Luis Olivas,mx MEX,DF,Guadalajara,21,2000,19.5,0,9,1,11.1,0.46,0.05,0.00,0.00,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
408,409,Araujo de Oliveira Henrique,mx MEX,"MF,DF",Santos,22,1998,1.4,0,2,1,50.0,1.43,0.71,0.00,0.00,28.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
409,410,Bryan Olivera,uy URU,MF,Querétaro,27,1994,11.0,1,18,4,22.2,1.64,0.36,0.06,0.25,27.4,4,0,1,1.7,0.8,0.05,-0.7,+0.2,Matches
410,411,Maximiliano Olivera,uy URU,DF,FC Juárez,29,1992,28.3,1,24,3,12.5,0.85,0.11,0.04,0.33,26.9,6,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
411,412,Agustín Oliveros,uy URU,DF,Necaxa,22,1998,20.7,0,10,2,20.0,0.48,0.10,0.00,0.00,15.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
412,413,Alejandro Organista,mx MEX,MF,Guadalajara,21,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
413,414,Santiago Ormeño,pe PER,"FW,MF",León,27,1994,8.5,1,19,6,31.6,2.24,0.71,0.05,0.17,11.8,0,0,0,2.8,2.8,0.15,-1.8,-1.8,Matches
414,415,Efraín Orona,mx MEX,DF,Atlético,22,1999,6.6,1,3,1,33.3,0.45,0.15,0.33,1.00,16.8,0,0,0,0.4,0.4,0.12,+0.6,+0.6,Matches
