,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
43,44,Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,24.1,1113,12,139,421,568,86,1113,37,80,46.3,62,30,794,131,Matches
44,45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,1173,59,254,740,192,14,1173,14,20,70.0,12,13,893,10,Matches
45,46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,448,38,61,196,195,71,448,9,13,69.2,39,17,339,83,Matches
46,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,473,20,78,175,226,22,473,14,22,63.6,15,19,295,40,Matches
47,48,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,6.3,257,5,33,91,142,40,257,10,20,50.0,28,14,198,53,Matches
48,49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,224,16,65,111,52,4,224,0,0,,6,4,124,6,Matches
49,50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,20,2,8,10,2,0,20,0,0,,2,1,9,0,Matches
50,51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1497,90,370,897,247,14,1497,34,51,66.7,32,25,972,14,Matches
51,52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,663,76,374,277,18,6,663,3,6,50.0,3,3,432,0,Matches
52,53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,1216,28,172,462,611,139,1216,50,88,56.8,66,51,761,141,Matches
53,54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,159,24,77,79,5,2,159,1,2,50.0,4,1,71,0,Matches
54,55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,670,15,51,271,362,102,670,33,70,47.1,68,50,480,98,Matches
55,56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,1526,76,320,824,403,31,1526,15,30,50.0,40,18,742,34,Matches
56,57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,25,0,0,21,4,1,25,1,1,100.0,1,2,22,2,Matches
57,58,Bryan,es ESP,"FW,MF",Tottenham,20,2001,1.0,77,2,10,13,54,4,77,4,6,66.7,6,2,59,9,Matches
58,59,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24,1996,21.1,1136,28,135,547,467,66,1136,40,64,62.5,42,41,798,80,Matches
59,60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,777,129,414,325,41,21,777,0,0,,4,3,382,2,Matches
60,61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,791,91,377,374,45,12,791,0,3,0.0,7,1,506,3,Matches
61,62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,295,258,294,1,0,0,295,0,0,,0,0,138,0,Matches
62,63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,663,79,304,249,115,16,663,3,8,37.5,8,4,331,9,Matches
63,64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,69,47,69,0,0,0,69,0,0,,0,0,31,0,Matches
64,65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,356,20,81,193,91,12,356,7,10,70.0,10,10,206,6,Matches
65,66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,445,15,42,194,211,52,442,2,11,18.2,50,13,325,50,Matches
66,67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,11,0,0,3,8,1,11,0,0,,0,0,9,1,Matches
67,68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,3726,66,611,1920,1224,101,3726,56,106,52.8,45,24,2739,129,Matches
68,69,Sergi Canós,es ESP,"DF,FW",Brentford,24,1997,23.1,1065,64,303,444,334,51,1065,23,50,46.0,47,25,595,52,Matches
69,70,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,4.9,204,4,47,101,57,5,204,5,10,50.0,15,8,143,15,Matches
70,71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,2073,141,709,862,529,92,2073,33,59,55.9,56,31,1018,99,Matches
71,72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1576,98,543,753,290,21,1576,6,19,31.6,27,11,937,62,Matches
72,73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,723,22,192,343,199,21,723,14,25,56.0,21,20,481,32,Matches
73,74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,1206,203,660,496,55,11,1206,0,1,0.0,6,2,636,0,Matches
74,75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,294,11,53,130,112,28,294,4,5,80.0,12,4,216,28,Matches
75,76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,3,0,0,1,2,0,3,0,0,,1,0,3,0,Matches
76,77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1443,68,479,834,138,10,1443,10,12,83.3,10,7,1071,6,Matches
77,78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,122,18,52,56,17,1,122,0,0,,1,1,67,2,Matches
78,79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,573,99,328,223,26,9,573,0,1,0.0,3,1,356,1,Matches
79,80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
80,81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,411,9,83,141,192,24,411,3,6,50.0,13,3,250,23,Matches
81,82,Chiquinho,pt POR,"DF,FW",Wolves,21,2000,2.3,146,2,23,52,73,16,146,10,17,58.8,9,6,101,16,Matches
