,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
101,102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2356,1994,356,17,5,12,115,334,5,3,0,0,1890,6,76,Matches
102,103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,105,103,2,0,2,1,2,0,2,2,0,0,96,0,0,Matches
103,104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,223,204,19,0,1,0,1,2,0,0,0,0,165,0,9,Matches
104,105,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30,1991,32.4,1685,1355,322,45,7,9,101,224,53,35,11,1,1306,8,44,Matches
105,106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,1193,1001,189,16,2,9,58,171,2,0,2,0,934,3,19,Matches
106,107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,250,151,98,36,0,4,0,0,0,0,0,0,155,1,0,Matches
107,108,Josh Dasilva,eng ENG,"MF,FW",Brentford,22,1998,2.9,93,88,5,2,0,0,4,2,0,0,0,0,75,0,2,Matches
108,109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1648,1567,80,34,1,19,19,46,0,0,0,0,1391,1,28,Matches
109,110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,82,81,0,0,1,0,0,0,0,0,0,0,60,1,8,Matches
110,111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
111,112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1285,1254,26,21,0,13,1,3,0,0,0,0,1035,5,8,Matches
112,113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1568,1389,169,49,20,19,180,20,96,44,15,3,1170,10,29,Matches
113,114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
114,115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
115,116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,309,304,4,3,2,0,1,1,0,0,0,0,259,1,5,Matches
116,117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,822,805,16,12,0,1,5,4,0,0,0,0,709,1,11,Matches
117,118,Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,28.7,628,593,31,1,6,0,39,10,6,0,3,0,411,4,35,Matches
118,119,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1250,1193,51,12,5,8,86,10,26,21,0,0,950,6,31,Matches
119,120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,453,446,5,5,0,1,7,0,0,0,0,0,361,2,11,Matches
120,121,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2287,2233,52,36,1,6,3,15,0,0,0,0,2133,2,8,Matches
121,122,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,455,453,2,0,0,2,14,2,0,0,0,0,392,0,11,Matches
122,123,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2341,2270,62,52,5,14,1,6,0,0,0,0,2056,9,7,Matches
123,124,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,838,645,192,18,1,6,101,135,39,15,11,1,629,1,21,Matches
124,125,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,702,539,161,19,0,1,71,121,21,4,13,0,497,2,22,Matches
125,126,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,478,465,13,5,2,0,0,1,0,0,0,0,407,0,0,Matches
126,127,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,147,145,2,1,1,0,6,1,0,0,0,0,109,0,6,Matches
127,128,Lewis Dobbin,eng ENG,"FW,MF",Everton,18,2003,0.4,8,7,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches
128,129,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,533,469,63,3,4,5,20,60,0,0,0,0,437,1,8,Matches
129,130,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34.0,2049,1968,75,39,3,18,1,4,0,0,0,0,1828,6,11,Matches
130,131,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1097,1078,17,11,3,3,11,1,0,0,0,0,864,2,32,Matches
131,132,Kieran Dowell,eng ENG,"FW,MF",Norwich City,23,1997,10.1,334,304,28,11,3,5,38,1,16,13,2,0,223,2,12,Matches
132,133,Cody Drameh,eng ENG,"DF,MF",Leeds United,19,2001,1.4,82,55,27,2,0,0,2,25,0,0,0,0,62,0,5,Matches
133,134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,846,501,340,104,0,1,0,0,0,0,0,0,534,5,0,Matches
134,135,Shane Duffy,ie IRL,DF,Brighton,29,1992,16.0,1039,1018,20,12,0,10,1,8,0,0,0,0,906,1,3,Matches
135,136,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,73,55,18,0,0,0,3,18,0,0,0,0,51,0,1,Matches
136,137,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,1958,1885,69,62,0,16,3,6,0,0,0,0,1726,4,4,Matches
