,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
39,40,Yoann Barbet,fr FRA,DF,QPR,28,1993,41.0,2107,2767,76.1,42040,15458,778,876,88.8,980,1158,84.6,323,641,50.4,1,1.8,1.7,-0.8,19,187,25,7,143,Matches
40,41,Brandon Barker,eng ENG,"FW,MF",Reading,24,1996,0.3,8,13,61.5,63,8,6,8,75.0,0,2,0.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
41,42,Tom Barkhuizen,eng ENG,"DF,FW",Preston,28,1993,8.8,221,364,60.7,3585,1543,120,155,77.4,71,132,53.8,25,54,46.3,2,1.3,1.2,+0.7,13,15,16,8,18,Matches
42,43,Kyle Bartley,eng ENG,DF,West Brom,30,1991,38.2,1019,1470,69.3,21258,8514,297,407,73.0,556,713,78.0,144,307,46.9,1,0.7,1.1,+0.3,8,67,7,0,65,Matches
43,44,Chris Basham,eng ENG,DF,Sheffield Utd,33,1988,24.5,1204,1468,82.0,20884,7563,565,612,92.3,513,604,84.9,107,207,51.7,1,0.7,0.9,+0.3,7,94,8,2,74,Matches
44,45,Amine Bassi,fr FRA,"MF,FW",Barnsley,23,1997,13.3,489,609,80.3,8547,2603,233,253,92.1,167,205,81.5,66,112,58.9,5,3.2,3.1,+1.8,45,42,21,3,47,Matches
45,46,Danny Batth,eng ENG,DF,Stoke City,30,1990,10.1,363,479,75.8,7161,2662,108,128,84.4,219,268,81.7,33,71,46.5,0,0.1,0.3,-0.1,1,16,1,0,22,Matches
46,47,Patrick Bauer,de GER,DF,Preston,28,1992,31.8,951,1216,78.2,19654,6978,263,310,84.8,540,630,85.7,135,232,58.2,0,0.8,1.0,-0.8,4,45,2,0,44,Matches
47,48,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16.0,323,528,61.2,9498,7205,74,75,98.7,126,128,98.4,118,318,37.1,0,0.0,0.0,0.0,1,7,0,0,0,Matches
48,49,Jake Beesley,eng ENG,FW,Blackpool,24,1996,3.8,45,83,54.2,518,166,28,48,58.3,10,20,50.0,1,2,50.0,1,0.3,0.1,+0.7,3,6,4,0,8,Matches
49,50,Mark Beevers,eng ENG,DF,P'borough Utd,31,1989,12.8,505,619,81.6,9575,3063,185,214,86.4,268,302,88.7,46,90,51.1,0,0.1,0.2,-0.1,1,24,1,1,21,Matches
50,51,Jérémie Bela,ao ANG,"DF,MF",Birmingham City,28,1993,25.6,540,896,60.3,10186,4373,255,316,80.7,191,302,63.2,82,214,38.3,4,5.0,3.9,-1.0,47,49,30,19,65,Matches
51,52,Amari'i Bell,jm JAM,"DF,FW",Luton Town,27,1994,39.8,1001,1573,63.6,16331,7100,523,645,81.1,379,590,64.2,80,239,33.5,2,2.0,2.0,0.0,23,87,20,7,76,Matches
52,53,Sam Bell,eng ENG,DF,Bristol City,19,2002,2.7,67,109,61.5,1089,414,30,37,81.1,30,48,62.5,4,19,21.1,0,0.8,0.2,-0.8,2,4,2,1,5,Matches
53,54,Jobe Bellingham,eng ENG,"MF,DF",Birmingham City,15,2005,0.4,8,10,80.0,129,21,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.1,0.0,1,0,1,0,1,Matches
54,55,Ayman Benarous,eng ENG,"MF,DF",Bristol City,18,2003,6.7,98,157,62.4,1370,384,64,75,85.3,24,50,48.0,5,14,35.7,0,0.3,0.2,-0.3,7,9,6,0,14,Matches
55,56,Steven Benda,de GER,GK,P'borough Utd,22,1998,9.0,148,288,51.4,4924,4195,41,42,97.6,41,43,95.3,65,201,32.3,0,0.0,0.0,0.0,0,9,0,0,0,Matches
56,57,Steven Benda,de GER,GK,Swansea City,22,1998,5.0,204,268,76.1,5159,4036,44,44,100.0,100,102,98.0,60,120,50.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
57,58,Mason Bennett,eng ENG,"FW,MF",Millwall,25,1996,15.4,187,317,59.0,2723,646,118,167,70.7,50,85,58.8,13,28,46.4,0,1.6,1.7,-1.6,12,16,7,4,12,Matches
58,59,Ryan Bennett,eng ENG,DF,Swansea City,31,1990,16.0,866,1024,84.6,14851,4461,378,422,89.6,408,456,89.5,63,112,56.3,0,0.2,0.3,-0.2,5,74,5,1,52,Matches
59,60,Josh Benson,eng ENG,MF,Barnsley,21,1999,15.1,538,772,69.7,9501,3317,265,307,86.3,198,250,79.2,63,166,38.0,1,1.7,2.2,-0.7,18,59,12,5,46,Matches
60,61,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,37.3,712,1289,55.2,28129,24269,64,64,100.0,241,246,98.0,406,967,42.0,0,0.0,0.1,0.0,0,18,0,0,0,Matches
61,62,Sander Berge,no NOR,MF,Sheffield Utd,23,1998,23.1,860,1078,79.8,14538,3650,398,467,85.2,350,408,85.8,77,113,68.1,3,3.1,3.3,-0.1,25,87,40,12,94,Matches
62,63,Di'Shon Bernard,eng ENG,DF,Hull City,20,2000,23.8,847,1099,77.1,16487,6947,278,330,84.2,465,538,86.4,95,191,49.7,0,0.8,0.5,-0.8,10,60,6,2,56,Matches
63,64,Luke Berry,eng ENG,MF,Luton Town,29,1992,7.9,107,166,64.5,1556,418,62,76,81.6,34,52,65.4,5,18,27.8,2,0.4,0.2,+1.6,6,18,2,1,14,Matches
64,65,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46.0,678,1238,54.8,24089,20187,92,92,100.0,221,227,97.4,362,914,39.6,0,0.1,0.1,-0.1,1,15,1,0,0,Matches
65,66,Jake Bidwell,eng ENG,DF,Coventry City,28,1993,12.6,395,582,67.9,6391,1974,204,247,82.6,155,216,71.8,28,80,35.0,0,0.7,0.9,-0.7,6,17,8,5,17,Matches
66,67,Jake Bidwell,eng ENG,DF,Swansea City,28,1993,15.1,461,608,75.8,6294,1539,299,344,86.9,132,180,73.3,17,39,43.6,1,1.6,1.3,-0.6,11,16,12,7,14,Matches
67,68,Krystian Bielik,pl POL,MF,Derby County,23,1998,11.1,438,534,82.0,7931,2349,185,222,83.3,186,208,89.4,50,66,75.8,0,0.8,0.5,-0.8,5,46,6,0,52,Matches
68,69,Philip Billing,dk DEN,MF,Bournemouth,25,1996,36.7,922,1275,72.3,12862,3064,557,688,81.0,268,366,73.2,48,86,55.8,10,6.8,5.8,+3.2,43,72,26,5,68,Matches
69,70,Max Bird,eng ENG,MF,Derby County,20,2000,40.2,1698,2119,80.1,27503,9623,845,947,89.2,668,775,86.2,120,269,44.6,2,3.2,3.7,-1.2,40,181,23,1,174,Matches
70,71,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1.0,23,27,85.2,520,367,6,6,100.0,13,14,92.9,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
71,72,Jayden Bogle,eng ENG,DF,Sheffield Utd,21,2000,16.3,661,850,77.8,9927,3557,369,409,90.2,234,293,79.9,38,88,43.2,1,1.9,1.9,-0.9,17,38,40,10,62,Matches
72,73,Marc Bola,eng ENG,DF,Middlesbrough,23,1997,19.6,705,984,71.6,10775,3787,393,447,87.9,254,352,72.2,39,111,35.1,1,2.5,2.7,-1.5,23,63,22,7,60,Matches
73,74,Gaëtan Bong,cm CMR,"DF,MF",Nott'ham Forest,33,1988,4.9,193,284,68.0,3117,1367,102,111,91.9,75,111,67.6,13,49,26.5,1,0.2,0.1,+0.8,3,19,3,2,16,Matches
74,75,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15.0,297,517,57.4,8032,6464,81,82,98.8,135,136,99.3,79,295,26.8,0,0.0,0.0,0.0,1,12,1,0,0,Matches
75,76,Sam Bowen,wls WAL,MF,Cardiff City,20,2001,2.7,79,92,85.9,1171,207,45,49,91.8,26,31,83.9,5,6,83.3,0,0.1,0.1,-0.1,1,6,1,0,7,Matches
76,77,Josh Bowler,eng ENG,MF,Blackpool,22,1999,31.4,387,584,66.3,6759,2194,188,239,78.7,155,215,72.1,38,90,42.2,3,4.8,5.1,-1.8,39,33,39,4,63,Matches
77,78,Caolan Boyd-Munce,nir NIR,DF,Middlesbrough,21,2000,0.2,20,25,80.0,346,117,10,12,83.3,8,9,88.9,2,2,100.0,0,0.1,0.2,-0.1,1,1,2,1,2,Matches
78,79,Sonny Bradley,eng ENG,DF,Luton Town,29,1991,19.7,693,905,76.6,15444,5742,165,202,81.7,405,472,85.8,120,211,56.9,0,1.2,0.9,-1.2,7,28,3,0,28,Matches
79,80,Tom Bradshaw,wls WAL,"FW,MF",Millwall,29,1992,15.0,148,262,56.5,1947,583,89,130,68.5,43,78,55.1,5,15,33.3,1,1.0,0.8,0.0,9,14,6,1,16,Matches
80,81,Robbie Brady,ie IRL,"DF,FW",Bournemouth,29,1992,2.2,97,144,67.4,1821,753,42,53,79.2,39,52,75.0,14,33,42.4,0,0.3,0.8,-0.3,3,18,7,3,20,Matches
81,82,James Bree,eng ENG,"DF,FW",Luton Town,23,1997,41.4,1245,1996,62.4,23181,9946,585,724,80.8,447,710,63.0,191,443,43.1,6,8.2,7.7,-2.2,65,116,66,38,124,Matches
82,83,David Bremang,eng ENG,"DF,MF",Barnsley,21,2000,0.4,5,8,62.5,70,14,3,3,100.0,2,5,40.0,0,0,,0,0.2,0.0,-0.2,1,0,0,0,0,Matches
83,84,Ben Brereton,cl CHI,FW,Blackburn,22,1999,34.1,442,612,72.2,6739,1256,256,321,79.8,128,182,70.3,36,53,67.9,3,2.8,1.3,+0.2,23,19,15,4,31,Matches
84,85,Rhian Brewster,eng ENG,FW,Sheffield Utd,21,2000,8.9,122,168,72.6,1715,326,75,93,80.6,38,47,80.9,4,11,36.4,0,0.1,0.8,-0.1,3,10,0,0,7,Matches
85,86,Ethan Bristow,eng ENG,"DF,FW",Reading,19,2001,5.5,118,193,61.1,1863,993,52,68,76.5,46,75,61.3,10,29,34.5,1,0.7,0.7,+0.3,7,11,6,4,11,Matches
86,87,Callum Brittain,eng ENG,"DF,MF",Barnsley,23,1998,34.1,1193,1838,64.9,20343,9107,606,729,83.1,453,667,67.9,115,321,35.8,3,4.5,3.6,-1.5,33,101,48,24,107,Matches
