,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
80,81,Robbie Brady,ie IRL,"DF,FW",Bournemouth,29,1992,2.2,9,5,2,4,3,2,7,28.6,5,2,0,2,3,12,3,0,Matches
81,82,James Bree,eng ENG,"DF,FW",Luton Town,23,1997,41.4,65,45,37,21,7,36,60,60.0,24,45,8,37,35,100,79,0,Matches
82,83,David Bremang,eng ENG,"DF,MF",Barnsley,21,2000,0.4,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
83,84,Ben Brereton,cl CHI,FW,Blackburn,22,1999,34.1,20,12,6,12,2,12,25,48.0,13,16,2,14,8,28,26,0,Matches
84,85,Rhian Brewster,eng ENG,FW,Sheffield Utd,21,2000,8.9,11,5,6,2,3,3,5,60.0,2,5,0,5,3,14,5,0,Matches
85,86,Ethan Bristow,eng ENG,"DF,FW",Reading,19,2001,5.5,11,7,9,1,1,3,10,30.0,7,3,0,3,2,13,13,1,Matches
86,87,Callum Brittain,eng ENG,"DF,MF",Barnsley,23,1998,34.1,71,42,38,24,9,40,67,59.7,27,65,14,51,40,111,82,1,Matches
87,88,David Brooks,wls WAL,"FW,MF",Bournemouth,24,1997,5.6,4,2,2,2,0,4,7,57.1,3,2,0,2,4,8,1,0,Matches
88,89,Ciaron Brown,nir NIR,DF,Cardiff City,23,1998,4.7,5,3,4,1,0,3,8,37.5,5,5,0,5,12,17,11,0,Matches
89,90,Jacob Brown,sct SCO,FW,Stoke City,23,1998,36.1,46,27,11,16,19,12,36,33.3,24,42,5,37,16,62,29,0,Matches
90,91,James Brown,ie IRL,DF,Blackburn,23,1998,1.0,7,4,5,1,1,1,4,25.0,3,0,0,0,3,10,1,0,Matches
91,92,Reece Brown,eng ENG,MF,P'borough Utd,25,1996,5.0,4,1,3,1,0,3,9,33.3,6,11,7,4,9,13,11,0,Matches
92,93,Alan Browne,ie IRL,MF,Preston,26,1995,35.7,71,43,21,40,10,35,84,41.7,49,49,10,39,41,112,39,0,Matches
93,94,Joe Bryan,eng ENG,DF,Fulham,27,1993,11.6,34,20,19,10,5,19,39,48.7,20,16,3,13,21,55,38,0,Matches
94,95,Kean Bryan,eng ENG,"DF,FW",West Brom,24,1996,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
95,96,Lee Buchanan,eng ENG,DF,Derby County,20,2001,24.7,41,28,31,9,1,19,28,67.9,9,32,11,21,24,65,86,3,Matches
96,97,John Buckley,eng ENG,"MF,FW",Blackburn,21,1999,34.8,84,52,30,45,9,32,82,39.0,50,47,7,40,41,125,15,0,Matches
97,98,Tyler Burey,eng ENG,"FW,MF",Millwall,19,2001,6.9,4,2,3,1,0,2,6,33.3,4,4,1,3,1,5,0,0,Matches
98,99,Oliver Burke,sct SCO,FW,Sheffield Utd,24,1997,1.9,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0,Matches
99,100,Oliver Burke,sct SCO,"FW,MF",Millwall,24,1997,9.0,12,7,3,7,2,5,13,38.5,8,9,0,9,4,16,4,1,Matches
100,101,Reece Burke,eng ENG,DF,Luton Town,24,1996,23.5,32,21,16,11,5,9,18,50.0,9,18,10,8,33,65,109,0,Matches
101,102,Finley Burns,eng ENG,DF,Swansea City,18,2003,2.3,2,2,2,0,0,0,0,,0,1,0,1,3,5,2,0,Matches
102,103,Harrison Burrows,eng ENG,"DF,MF",P'borough Utd,19,2002,29.0,74,38,45,25,4,48,92,52.2,44,24,1,23,36,110,39,0,Matches
103,104,Josef Bursik,eng ENG,GK,Stoke City,21,2000,19.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,7,2,Matches
104,105,Dan Butler,eng ENG,DF,P'borough Utd,26,1994,18.5,34,22,17,15,2,21,35,60.0,14,19,6,13,21,55,40,0,Matches
105,106,Daniel Butterworth,eng ENG,"FW,MF",Blackburn,21,1999,2.9,3,0,2,1,0,0,3,0.0,3,6,0,6,0,3,2,0,Matches
106,107,David Button,eng ENG,GK,West Brom,32,1989,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
107,108,Nathan Byrne,eng ENG,DF,Derby County,29,1992,40.7,63,39,42,18,3,39,60,65.0,21,24,10,14,35,98,77,1,Matches
108,109,Benjamin Cabango,wls WAL,DF,Swansea City,21,2000,34.1,51,28,25,21,5,28,49,57.1,21,35,14,21,47,98,114,1,Matches
109,110,Rafael Cabral,br BRA,GK,Reading,31,1990,6.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
110,111,Cafú,pt POR,MF,Nott'ham Forest,28,1993,4.0,5,2,0,5,0,2,6,33.3,4,2,1,1,1,6,7,0,Matches
111,112,Gary Cahill,eng ENG,DF,Bournemouth,35,1985,21.5,13,11,10,3,0,4,9,44.4,5,15,13,2,26,39,96,1,Matches
112,113,Tom Cairney,sct SCO,MF,Fulham,30,1991,17.2,23,12,6,14,3,14,23,60.9,9,17,2,15,4,27,4,1,Matches
113,114,Mamadi Camará,gw GNB,"FW,MF",Reading,17,2003,1.7,5,4,3,2,0,4,5,80.0,1,3,0,3,5,10,2,0,Matches
114,115,Allan Campbell,sct SCO,MF,Luton Town,23,1998,28.7,57,33,23,28,6,17,45,37.8,28,43,6,37,22,79,15,0,Matches
115,116,Fraizer Campbell,eng ENG,FW,Huddersfield,33,1987,6.8,13,8,2,7,4,3,9,33.3,6,6,1,5,7,20,8,0,Matches
116,117,Tyrese Campbell,eng ENG,FW,Stoke City,21,1999,11.7,2,1,0,1,1,1,10,10.0,9,11,0,11,3,5,5,0,Matches
117,118,Andy Cannon,eng ENG,MF,Hull City,25,1996,4.9,7,1,2,4,1,4,7,57.1,3,6,2,4,8,15,4,0,Matches
118,119,Todd Cantwell,eng ENG,MF,Bournemouth,23,1998,7.1,6,3,3,3,0,4,6,66.7,2,6,1,5,4,10,1,0,Matches
119,120,Sonny Carey,eng ENG,"MF,FW",Blackpool,20,2001,5.5,3,3,1,1,1,1,10,10.0,9,6,0,6,3,6,1,0,Matches
120,121,Ian Carlo Poveda,eng ENG,"FW,MF",Blackburn,21,2000,4.2,7,3,1,2,4,2,7,28.6,5,3,0,3,3,10,0,0,Matches
121,122,Andy Carroll,eng ENG,FW,West Brom,32,1989,11.5,1,1,1,0,0,0,1,0.0,1,10,3,7,3,4,18,0,Matches
122,123,Andy Carroll,eng ENG,FW,Reading,32,1989,6.6,4,3,1,3,0,0,2,0.0,2,3,1,2,1,5,14,0,Matches
123,124,Hayden Carter,eng ENG,DF,Blackburn,21,1999,6.5,13,11,6,5,2,6,9,66.7,3,8,6,2,3,16,26,0,Matches
124,125,Harvey Cartwright,eng ENG,GK,Hull City,19,2002,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
125,126,Fabio Carvalho,pt POR,MF,Fulham,18,2002,31.5,39,22,8,23,8,15,36,41.7,21,20,0,20,19,58,3,1,Matches
126,127,João Carvalho,pt POR,"MF,FW",Nott'ham Forest,24,1997,2.7,3,1,1,1,1,2,4,50.0,2,4,1,3,2,5,0,0,Matches
127,128,Oliver Casey,eng ENG,DF,Blackpool,20,2000,3.9,3,2,2,0,1,0,0,,0,1,1,0,9,12,8,0,Matches
128,129,Quevin Castro,,FW,West Brom,,,0.4,,1,,,,,,,,,,,0,,,,Matches
129,130,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27,1993,6.7,13,8,7,4,2,9,14,64.3,5,5,0,5,8,21,2,0,Matches
130,131,Ilias Chair,ma MAR,"MF,FW",QPR,23,1997,35.0,18,6,2,10,6,6,29,20.7,23,17,0,17,11,29,3,0,Matches
131,132,Nathaniel Chalobah,eng ENG,MF,Fulham,26,1994,10.5,7,5,1,5,1,3,15,20.0,12,11,3,8,18,25,11,0,Matches
132,133,Harry Chapman,eng ENG,"MF,FW",Blackburn,23,1997,0.5,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0,Matches
133,134,James Chester,wls WAL,DF,Stoke City,32,1989,15.9,27,17,16,9,2,14,22,63.6,8,15,8,7,25,52,48,1,Matches
134,135,Tahith Chong,nl NED,"FW,MF",Birmingham City,21,1999,17.3,20,7,9,7,4,9,32,28.1,23,12,0,12,4,24,3,0,Matches
135,136,Cyrus Christie,ie IRL,"DF,FW",Swansea City,28,1992,22.3,46,29,30,10,6,21,43,48.8,22,25,5,20,26,72,41,0,Matches
136,137,Ryan Christie,sct SCO,"FW,MF",Bournemouth,26,1995,33.3,60,36,23,28,9,24,71,33.8,47,32,3,29,40,100,18,0,Matches
137,138,Isaac Christie-Davies,wls WAL,MF,Barnsley,23,1997,0.9,1,1,0,1,0,1,2,50.0,1,1,1,0,3,4,1,0,Matches
138,139,Jordan Clark,eng ENG,"MF,FW",Luton Town,27,1993,18.7,33,17,10,18,5,15,39,38.5,24,18,2,16,21,54,17,0,Matches
139,140,Jahmari Clarke,jm JAM,FW,Reading,17,2003,1.9,3,1,0,3,0,0,2,0.0,2,1,0,1,0,3,0,0,Matches
140,141,Matthew Clarke,eng ENG,DF,West Brom,24,1996,30.5,51,33,25,23,3,18,39,46.2,21,29,11,18,62,113,105,1,Matches
141,142,Jonson Clarke-Harris,jm JAM,FW,P'borough Utd,27,1994,33.3,15,8,2,11,2,5,22,22.7,17,20,8,12,5,20,62,0,Matches
142,143,Jake Clarke-Salter,eng ENG,DF,Coventry City,23,1997,25.5,68,45,41,25,2,27,43,62.8,16,31,14,17,34,102,82,1,Matches
143,144,Leighton Clarkson,eng ENG,MF,Blackburn,19,2001,3.6,7,4,4,2,1,6,7,85.7,1,2,0,2,2,9,5,0,Matches
144,145,Sam Clucas,eng ENG,MF,Stoke City,30,1990,16.4,37,22,16,19,2,11,28,39.3,17,18,4,14,15,52,12,1,Matches
145,146,Josh Coburn,eng ENG,FW,Middlesbrough,18,2002,5.3,4,1,1,1,2,0,2,0.0,2,2,1,1,1,5,8,0,Matches
146,147,Jack Colback,eng ENG,"DF,MF",Nott'ham Forest,31,1989,34.5,82,52,49,27,6,30,60,50.0,30,35,4,31,43,125,40,0,Matches
147,148,Devante Cole,eng ENG,"FW,MF",Barnsley,26,1995,9.8,17,11,1,11,5,3,6,50.0,3,13,0,13,4,21,4,0,Matches
148,149,Maxime Colin,fr FRA,"DF,MF",Birmingham City,29,1991,30.8,75,48,38,30,7,37,51,72.5,14,42,9,33,40,115,75,0,Matches
149,150,Bradley Collins,eng ENG,GK,Barnsley,24,1997,39.3,1,1,1,0,0,1,5,20.0,4,0,0,0,1,2,32,5,Matches
150,151,James Collins,ie IRL,"FW,MF",Cardiff City,30,1990,14.3,11,10,4,5,2,3,12,25.0,9,12,4,8,4,15,15,0,Matches
151,152,Levi Colwill,eng ENG,DF,Huddersfield,18,2003,26.9,51,34,36,15,0,18,25,72.0,7,29,17,12,37,88,122,1,Matches
152,153,Rubin Colwill,wls WAL,"MF,FW",Cardiff City,19,2002,18.5,30,14,9,17,4,15,31,48.4,16,17,1,16,4,34,8,0,Matches
153,154,Cameron Congreve,wls WAL,FW,Swansea City,17,2004,1.4,2,2,1,0,1,1,3,33.3,2,1,0,1,0,2,0,0,Matches
154,155,Aaron Connolly,ie IRL,FW,Middlesbrough,21,2000,13.1,3,0,1,1,1,1,3,33.3,2,9,0,9,2,5,0,0,Matches
155,156,Callum Connolly,eng ENG,"DF,MF",Blackpool,23,1997,24.6,35,24,19,14,2,18,39,46.2,21,25,11,14,25,60,45,0,Matches
156,157,Tommy Conway,,"MF,DF",Bristol City,,,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
157,158,Lewis Cook,eng ENG,MF,Bournemouth,24,1997,24.1,44,22,23,19,2,23,37,62.2,14,18,5,13,33,77,31,0,Matches
158,159,Steve Cook,eng ENG,DF,Bournemouth,30,1991,2.7,1,1,1,0,0,1,1,100.0,0,5,4,1,5,6,18,0,Matches
159,160,Steve Cook,eng ENG,DF,Nott'ham Forest,30,1991,12.9,9,6,6,3,0,3,5,60.0,2,23,15,8,22,31,59,0,Matches
160,161,Brandon Cooper,wls WAL,DF,Swansea City,21,2000,3.9,0,0,0,0,0,0,0,,0,3,1,2,1,1,16,1,Matches
161,162,Jake Cooper,eng ENG,DF,Millwall,26,1995,40.9,53,27,37,15,1,26,49,53.1,23,62,44,18,58,111,178,2,Matches
162,163,Kai Corbett,eng ENG,FW,P'borough Utd,18,2002,0.6,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
163,164,David Cornell,wls WAL,GK,P'borough Utd,30,1991,30.0,2,1,2,0,0,1,4,25.0,3,0,0,0,0,2,11,1,Matches
164,165,Harry Cornick,eng ENG,FW,Luton Town,26,1995,26.2,24,13,11,8,5,10,39,25.6,29,30,0,30,11,35,7,0,Matches
165,166,Hayden Coulson,eng ENG,DF,P'borough Utd,23,1998,4.0,8,4,4,3,1,3,8,37.5,5,4,0,4,3,11,7,0,Matches
166,167,Conor Coventry,ie IRL,MF,P'borough Utd,21,2000,4.8,12,7,4,7,1,6,11,54.5,5,11,5,6,10,22,6,0,Matches
167,168,Lewie Coyle,eng ENG,DF,Hull City,25,1995,19.5,38,23,26,8,4,25,33,75.8,8,21,11,10,23,61,56,0,Matches
168,169,Matt Crooks,eng ENG,MF,Middlesbrough,27,1994,38.7,84,52,23,45,16,34,71,47.9,37,53,8,45,36,120,41,0,Matches
169,170,Liam Cullen,wls WAL,"MF,FW",Swansea City,22,1999,4.8,5,4,1,4,0,0,3,0.0,3,4,0,4,2,7,10,0,Matches
170,171,Robbie Cundy,eng ENG,DF,Bristol City,24,1997,10.0,12,6,8,3,1,6,10,60.0,4,12,7,5,18,30,38,0,Matches
171,172,Greg Cunningham,ie IRL,"DF,FW",Preston,30,1991,15.1,29,17,18,9,2,20,39,51.3,19,16,1,15,17,46,26,0,Matches
172,173,Fankaty Dabo,eng ENG,DF,Coventry City,25,1995,25.5,71,45,45,23,3,38,64,59.4,26,21,3,18,22,93,37,0,Matches
173,174,Bradley Dack,eng ENG,"MF,FW",Blackburn,27,1993,3.2,1,1,0,1,0,1,2,50.0,1,2,0,2,1,2,2,0,Matches
174,175,Julien Dacosta,fr FRA,DF,Coventry City,25,1996,1.2,3,3,2,1,0,1,5,20.0,4,3,0,3,3,6,2,0,Matches
