,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
45,46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,0,16,11,68.8,1.47,1.01,0.00,0.00,21.8,2,0,0,1.8,1.8,0.13,-1.8,-1.8,Matches
46,47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,1,9,2,22.2,0.35,0.08,0.11,0.50,20.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
47,48,Simone Bastoni,it ITA,"MF,DF",Spezia,24,1996,25.4,3,28,6,21.4,1.10,0.24,0.11,0.50,24.1,0,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
48,49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,2,19,5,26.3,0.55,0.14,0.11,0.40,13.5,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
49,50,Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,3.5,0,1,0,0.0,0.29,0.00,0.00,,13.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
50,51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,52,Raoul Bellanova,it ITA,"DF,FW",Cagliari,21,2000,27.7,1,23,5,21.7,0.83,0.18,0.04,0.20,15.3,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
52,53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,8,55,17,30.9,3.61,1.12,0.09,0.29,15.5,3,3,3,8.3,6.0,0.11,-0.3,-1.0,Matches
53,54,Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,1.8,0,3,0,0.0,1.71,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
54,55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,0,7,3,42.9,1.65,0.71,0.00,0.00,18.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
55,56,Filip Benković,hr CRO,"DF,FW",Udinese,24,1997,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
56,57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,2,16,6,37.5,0.94,0.35,0.13,0.33,23.9,2,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
