,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,11,6,6,3,2,6,15,40.0,9,21,1,20,14,25,11,0,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,12,6,4,8,0,6,13,46.2,7,6,0,6,7,19,3,0,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,105,59,48,49,8,49,98,50.0,49,31,5,26,71,176,59,0,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,58,29,21,30,7,22,45,48.9,23,18,3,15,26,84,21,0,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,11,7,1,9,1,7,13,53.8,6,2,0,2,4,15,5,0,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,47,24,18,23,6,14,39,35.9,25,26,1,25,20,67,20,0,Matches
58,59,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,28,18,13,14,1,12,21,57.1,9,17,5,12,23,51,20,1,Matches
59,60,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
60,61,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,3,3,2,0,1,2,5,40.0,3,3,0,3,0,3,1,0,Matches
61,62,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,4,3,1,2,1,1,11,9.1,10,12,2,10,2,6,23,0,Matches
62,63,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,1,1,1,0,0,1,5,20.0,4,1,0,1,1,2,1,0,Matches
63,64,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,27,14,20,6,1,10,18,55.6,8,12,9,3,27,54,64,1,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,10,4,4,5,1,5,9,55.6,4,3,0,3,2,12,0,0,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,12,8,10,2,0,3,3,100.0,0,1,0,1,2,14,3,0,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,5,3,3,1,1,2,3,66.7,1,3,2,1,1,6,0,0,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,8,7,3,4,1,3,6,50.0,3,3,1,2,7,15,5,0,Matches
68,69,Hugo Ayala,mx MEX,DF,UANL,34,1987,13.0,23,16,15,8,0,8,19,42.1,11,8,6,2,32,55,44,0,Matches
69,70,Ettson Ayon,mx MEX,FW,Tijuana,20,2001,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
70,71,Rafael Baca,mx MEX,MF,Cruz Azul,31,1989,26.0,31,19,10,16,5,15,35,42.9,20,18,6,12,26,57,34,0,Matches
71,72,Claudio Baeza,cl CHI,MF,Toluca,27,1993,30.4,92,51,46,38,8,44,95,46.3,51,30,9,21,40,132,34,0,Matches
72,73,Kevin Balanta,co COL,"MF,DF",Querétaro,24,1997,20.6,49,30,22,25,2,16,32,50.0,16,16,8,8,31,80,38,1,Matches
73,74,Miguel Barbieri,ar ARG,DF,Toluca,27,1993,6.5,6,4,2,4,0,3,8,37.5,5,12,6,6,7,13,31,2,Matches
74,75,David Barbona,ar ARG,"FW,MF",Tijuana,26,1995,11.9,14,7,3,6,5,6,15,40.0,9,13,0,13,6,20,5,0,Matches
75,76,Diego Barbosa,mx MEX,DF,Atlas,24,1996,22.1,75,46,33,38,4,25,44,56.8,19,14,1,13,19,94,32,0,Matches
76,77,Adam Bareiro,py PAR,FW,Atlético,25,1996,6.8,1,0,0,1,0,0,5,0.0,5,2,1,1,0,1,6,0,Matches
77,78,Sergio Bareiro,py PAR,FW,Necaxa,22,1998,2.5,1,1,0,0,1,1,3,33.3,2,2,2,0,1,2,5,0,Matches
78,79,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,3,Matches
79,80,Martín Barragán,mx MEX,"MF,DF",Puebla,30,1991,3.0,9,5,4,5,0,6,9,66.7,3,6,2,4,1,10,0,0,Matches
80,81,Jaine Barreiro,co COL,DF,León,27,1994,27.0,39,24,27,12,0,15,33,45.5,18,18,11,7,47,86,79,1,Matches
81,82,Pablo Barrera,mx MEX,"MF,FW",Querétaro,34,1987,29.2,25,12,11,8,6,15,50,30.0,35,15,1,14,31,56,11,0,Matches
82,83,Damián Batallini,ar ARG,FW,Atlético,25,1996,2.2,2,0,1,1,0,0,4,0.0,4,3,0,3,0,2,0,0,Matches
83,84,Facundo Batista,uy URU,"FW,MF",Necaxa,22,1999,3.9,1,1,0,0,1,1,4,25.0,3,4,0,4,0,1,9,0,Matches
84,85,Cristian Battocchio,it ITA,MF,UNAM,29,1992,7.8,14,10,7,6,1,7,10,70.0,3,3,2,1,4,18,5,0,Matches
85,86,Eduard Bello,ve VEN,"MF,FW",Mazatlán,25,1995,5.4,3,0,1,1,1,3,5,60.0,2,5,1,4,4,7,3,0,Matches
86,87,Fernando Beltrán,mx MEX,MF,Guadalajara,23,1998,16.9,34,23,10,20,4,11,27,40.7,16,12,0,12,9,43,7,1,Matches
87,88,Nicolás Benedetti,co COL,"MF,FW",América,24,1997,2.7,5,5,2,3,0,3,6,50.0,3,2,0,2,1,6,1,0,Matches
88,89,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,24,1997,14.4,20,9,5,10,5,13,33,39.4,20,8,1,7,5,25,3,0,Matches
89,90,Pablo Bennevendo Peña,mx MEX,DF,UNAM,21,2000,2.0,3,2,1,2,0,0,2,0.0,2,3,0,3,6,9,3,0,Matches
90,91,Germán Berterame,ar ARG,FW,Atlético,22,1998,31.7,21,13,4,12,5,9,32,28.1,23,24,4,20,20,41,33,0,Matches
91,92,Unai Bilbao,es ESP,DF,Atlético,27,1994,32.6,35,28,27,7,1,8,15,53.3,7,49,36,13,47,82,189,0,Matches
