,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
39,40,Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26,1994,26.0,876,1107,79.1,11982,3508,520,610,85.2,275,331,83.1,33,52,63.5,4,3.5,3.1,+0.5,28,81,22,1,94,Matches
40,41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,33,49,67.3,748,587,10,10,100.0,12,12,100.0,10,25,40.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
41,42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,1554,1876,82.8,24817,7894,824,916,90.0,552,641,86.1,125,191,65.4,11,9.0,7.5,+2.0,64,191,84,16,179,Matches
42,43,Musa Barrow,gm GAM,"FW,MF",Bologna,22,1998,23.7,698,923,75.6,11505,2723,379,423,89.6,206,276,74.6,79,161,49.1,6,4.5,4.1,+1.5,45,50,39,14,53,Matches
43,44,Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,1.7,64,89,71.9,1060,329,33,46,71.7,22,29,75.9,6,8,75.0,0,0.0,0.1,0.0,1,5,0,0,5,Matches
44,45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,110,151,72.8,1828,716,60,73,82.2,33,41,80.5,13,28,46.4,1,0.8,0.9,+0.2,8,11,4,1,13,Matches
45,46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,386,451,85.6,5589,990,215,236,91.1,136,156,87.2,17,28,60.7,2,1.0,0.7,+1.0,6,21,1,0,17,Matches
46,47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,1599,1810,88.3,29365,9419,666,723,92.1,720,777,92.7,177,237,74.7,2,1.6,1.7,+0.4,14,120,16,5,91,Matches
47,48,Simone Bastoni,it ITA,"MF,DF",Spezia,24,1996,25.4,876,1224,71.6,15095,6362,439,492,89.2,302,405,74.6,111,232,47.8,3,4.7,3.5,-1.7,47,92,32,13,78,Matches
48,49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,1117,1428,78.2,18775,7448,515,580,88.8,493,593,83.1,77,189,40.7,1,0.7,0.7,+0.3,10,52,5,1,50,Matches
49,50,Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,3.5,44,66,66.7,655,186,20,28,71.4,20,27,74.1,2,5,40.0,0,0.1,0.2,-0.1,1,5,1,0,3,Matches
50,51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,367,575,63.8,13133,11059,48,48,100.0,130,134,97.0,187,389,48.1,0,0.0,0.1,0.0,0,16,1,0,0,Matches
