,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
85,86,Zico Buurmeester,nl NED,"MF,DF",AZ Alkmaar,19,2002,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches
86,87,Marc Cardona,es ESP,FW,Go Ahead Eag,26,1995,8.8,392,9,43,144,211,65,392,12,29,41.4,49,32,251,57,Matches
87,88,João Carlos Teixeira,pt POR,MF,Feyenoord,28,1993,0.1,13,1,2,5,6,3,13,1,1,100.0,2,2,9,1,Matches
88,89,Gabi Caschili,nl NED,MF,Zwolle,18,2003,0.1,11,0,2,5,4,0,11,0,0,,2,0,5,0,Matches
89,90,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2.0,90,77,89,1,0,0,90,0,0,,0,0,35,0,Matches
90,91,Václav Černý,cz CZE,FW,Twente,23,1997,6.0,364,3,33,139,196,24,364,9,26,34.6,19,12,256,34,Matches
91,92,Ibrahim Cissoko,nl NED,FW,NEC Nijmegen,18,2003,1.0,55,1,9,14,33,10,55,4,9,44.4,1,1,38,6,Matches
92,93,Jordy Clasie,nl NED,MF,AZ Alkmaar,30,1991,26.8,2180,52,465,1383,343,10,2180,12,19,63.2,31,19,1478,36,Matches
93,94,Pelle Clement,nl NED,"MF,FW",Zwolle,25,1996,15.2,820,32,118,355,358,49,820,21,43,48.8,38,26,486,84,Matches
94,95,Denilho Cleonise,nl NED,"FW,MF",Twente,19,2001,2.1,95,2,14,31,51,17,95,13,19,68.4,16,7,59,11,Matches
95,96,Iñigo Córdoba,es ESP,"FW,MF",Go Ahead Eag,24,1997,25.7,1250,9,178,556,539,89,1250,55,98,56.1,99,46,806,137,Matches
96,97,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3.0,103,92,103,0,0,0,103,0,0,,0,0,50,0,Matches
97,98,Enzo Cornelisse,nl NED,DF,Vitesse,18,2003,9.3,474,44,223,230,26,3,474,6,7,85.7,6,3,259,3,Matches
98,99,George Cox,eng ENG,DF,Fortuna Sittard,23,1998,24.4,1382,114,548,548,307,21,1382,8,24,33.3,35,7,593,34,Matches
99,100,Vito van Crooy,nl NED,"FW,MF",Sparta R'dam,25,1996,24.2,,,,,,,,,,,,,,,Matches
100,101,Daniel Crowley,eng ENG,MF,Willem II,23,1997,9.5,527,11,89,286,160,14,527,16,29,55.2,15,10,345,15,Matches
101,102,Adrián Dalmau,es ESP,FW,Sparta R'dam,27,1994,6.5,183,5,16,74,95,29,183,0,2,0.0,29,8,137,39,Matches
102,103,Adrián Dalmau,es ESP,FW,Utrecht,27,1994,2.7,56,2,3,29,24,9,56,1,3,33.3,5,5,41,11,Matches
103,104,Wessel Dammers,nl NED,"DF,MF",Groningen,26,1995,13.3,783,118,449,299,40,23,783,2,3,66.7,6,0,436,1,Matches
104,105,Wessel Dammers,nl NED,DF,Willem II,26,1995,13.9,740,109,376,345,25,11,740,1,1,100.0,4,1,393,1,Matches
105,106,Lennerd Daneels,be BEL,"FW,MF",RKC Waalwijk,23,1998,6.3,280,8,41,83,158,26,280,7,13,53.8,20,9,170,48,Matches
106,107,Danilo,br BRA,"FW,MF",Ajax,22,1999,3.1,175,6,14,58,104,39,175,0,4,0.0,9,4,112,25,Matches
107,108,Damil Dankerlui,sr SUR,"DF,MF",Groningen,24,1996,16.6,1053,49,362,484,218,17,1053,16,31,51.6,27,5,539,35,Matches
108,109,Mohammed Daramy,dk DEN,"FW,MF",Ajax,19,2002,2.3,163,0,4,39,123,43,163,7,15,46.7,7,13,117,26,Matches
109,110,Oussama Darfalou,dz ALG,FW,Vitesse,27,1993,6.0,219,8,18,85,117,30,219,5,11,45.5,18,8,153,43,Matches
110,111,Oussama Darfalou,dz ALG,FW,Zwolle,27,1993,9.7,376,14,30,177,174,46,376,8,23,34.8,38,15,277,66,Matches
111,112,Eli Dasa,il ISR,"DF,MF",Vitesse,28,1992,29.1,1931,61,460,893,596,22,1931,19,36,52.8,44,35,1187,71,Matches
112,113,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2.0,89,78,89,0,0,0,89,0,0,,1,0,41,0,Matches
113,114,Mathias De Wolf,be BEL,FW,NEC Nijmegen,19,2002,0.1,5,0,2,2,1,0,5,0,0,,0,0,1,0,Matches
114,115,Mats Deijl,nl NED,"DF,MF",Go Ahead Eag,24,1997,27.1,1484,89,453,715,327,33,1484,12,29,41.4,36,16,755,56,Matches
115,116,Thomas van den Belt,nl NED,MF,Zwolle,20,2001,22.9,1357,72,329,785,260,20,1357,7,14,50.0,31,14,755,21,Matches
116,117,Connor van den Berg,nl NED,GK,Willem II,20,2001,0.8,34,33,34,0,0,0,34,0,0,,0,0,2,0,Matches
117,118,Rav van den Berg,nl NED,DF,Zwolle,17,2004,4.1,272,27,136,128,10,2,272,0,0,,1,1,158,1,Matches
118,119,Arjen van der Heide,nl NED,"FW,MF",Heerenveen,19,2001,5.5,241,7,38,82,123,31,241,5,16,31.3,12,8,139,40,Matches
119,120,Mike van der Hoorn,nl NED,DF,Utrecht,28,1992,28.6,1815,241,952,760,111,75,1815,1,3,33.3,12,2,1117,9,Matches
120,121,Djevencio van der Kust,nl NED,DF,Utrecht,20,2001,10.7,677,41,222,290,176,11,677,2,5,40.0,9,6,349,20,Matches
121,122,Mark van der Maarel,nl NED,DF,Utrecht,31,1989,22.7,1535,136,665,708,169,17,1535,4,8,50.0,12,6,851,26,Matches
122,123,Jhondly van der Meer,ht HAI,DF,Cambuur,19,2002,4.7,300,33,161,122,19,5,300,3,5,60.0,7,1,163,1,Matches
123,124,Richard van der Venne,nl NED,MF,RKC Waalwijk,29,1992,15.0,587,24,106,242,249,53,587,8,24,33.3,37,10,334,63,Matches
124,125,Maikel van der Werff,nl NED,DF,Zwolle,32,1989,5.5,393,53,200,171,24,5,393,1,1,100.0,6,0,204,2,Matches
125,126,Karim Dermane,tg TOG,MF,Feyenoord,17,2003,0.1,10,0,2,6,2,0,10,0,0,,0,0,6,0,Matches
126,127,Cyriel Dessers,ng NGA,FW,Feyenoord,26,1994,12.0,366,4,13,114,242,108,365,17,35,48.6,45,20,274,110,Matches
